x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date
-0.018338,-0.139196,0.147709,0.203788,107135.811291,2001-01-02 05:45:35.811 +0000
0.159075,-0.298741,0.194217,0.390220,107135.801312,2001-01-02 05:45:35.801 +0000
0.255257,-0.361504,0.201448,0.486233,107135.791333,2001-01-02 05:45:35.791 +0000
0.177884,-0.169928,0.154459,0.290475,107135.781354,2001-01-02 05:45:35.781 +0000
0.022722,0.058794,0.074789,0.097808,107135.771374,2001-01-02 05:45:35.771 +0000
-0.085734,0.114953,-0.013713,0.144057,107135.761365,2001-01-02 05:45:35.761 +0000
-0.204467,0.081640,-0.094562,0.239612,107135.751385,2001-01-02 05:45:35.751 +0000
-0.319185,0.079266,-0.158372,0.365026,107135.741406,2001-01-02 05:45:35.741 +0000
-0.382333,0.194151,-0.206125,0.475773,107135.731427,2001-01-02 05:45:35.731 +0000
-0.389155,0.281503,-0.204271,0.521931,107135.721448,2001-01-02 05:45:35.721 +0000
-0.189301,0.138960,-0.181165,0.296590,107135.711438,2001-01-02 05:45:35.711 +0000
0.015934,0.017663,-0.183724,0.185258,107135.701459,2001-01-02 05:45:35.701 +0000
0.069282,-0.002521,-0.176898,0.189998,107135.691479,2001-01-02 05:45:35.691 +0000
0.118397,-0.034416,-0.165795,0.206616,107135.681500,2001-01-02 05:45:35.681 +0000
0.186631,-0.036501,-0.167466,0.253393,107135.671521,2001-01-02 05:45:35.672 +0000
0.239743,0.015708,-0.179003,0.299609,107135.661511,2001-01-02 05:45:35.662 +0000
0.244987,0.065715,-0.204748,0.325974,107135.651532,2001-01-02 05:45:35.652 +0000
0.202120,0.127445,-0.214821,0.321314,107135.641553,2001-01-02 05:45:35.642 +0000
0.151656,0.188162,-0.201436,0.314612,107135.631573,2001-01-02 05:45:35.632 +0000
0.110810,0.239307,-0.184755,0.321995,107135.621594,2001-01-02 05:45:35.622 +0000
0.091400,0.278723,-0.178582,0.343413,107135.611584,2001-01-02 05:45:35.612 +0000
0.098924,0.282955,-0.192433,0.356202,107135.601605,2001-01-02 05:45:35.602 +0000
0.089616,0.255187,-0.218065,0.347425,107135.591626,2001-01-02 05:45:35.592 +0000
0.046144,0.215724,-0.224662,0.314864,107135.581647,2001-01-02 05:45:35.582 +0000
-0.002691,0.174144,-0.223810,0.283592,107135.571667,2001-01-02 05:45:35.572 +0000
-0.034558,0.142181,-0.216459,0.261274,107135.561688,2001-01-02 05:45:35.562 +0000
-0.055623,0.082524,-0.211096,0.233379,107135.551678,2001-01-02 05:45:35.552 +0000
-0.063922,0.023949,-0.202445,0.213644,107135.541699,2001-01-02 05:45:35.542 +0000
-0.043643,0.016510,-0.201219,0.206559,107135.531720,2001-01-02 05:45:35.532 +0000
-0.016052,0.053791,-0.210751,0.218099,107135.521741,2001-01-02 05:45:35.522 +0000
-0.010733,0.081441,-0.231092,0.245258,107135.511761,2001-01-02 05:45:35.512 +0000
-0.038310,0.076049,-0.249428,0.263563,107135.501752,2001-01-02 05:45:35.502 +0000
-0.071275,0.079183,-0.264618,0.285259,107135.491772,2001-01-02 05:45:35.492 +0000
-0.079722,0.075954,-0.275352,0.296552,107135.481793,2001-01-02 05:45:35.482 +0000
-0.060325,0.031227,-0.275099,0.283362,107135.471814,2001-01-02 05:45:35.472 +0000
-0.004737,-0.014516,-0.266052,0.266489,107135.461835,2001-01-02 05:45:35.462 +0000
0.072027,-0.013407,-0.270879,0.280612,107135.451825,2001-01-02 05:45:35.452 +0000
0.126237,0.044105,-0.292040,0.321198,107135.441846,2001-01-02 05:45:35.442 +0000
0.135432,0.150593,-0.310432,0.370659,107135.431866,2001-01-02 05:45:35.432 +0000
0.118965,0.267728,-0.323684,0.436580,107135.421887,2001-01-02 05:45:35.422 +0000
0.092043,0.327361,-0.325096,0.470451,107135.411908,2001-01-02 05:45:35.412 +0000
0.084567,0.319919,-0.316578,0.457954,107135.401898,2001-01-02 05:45:35.402 +0000
0.110126,0.304000,-0.300335,0.441298,107135.391919,2001-01-02 05:45:35.392 +0000
0.153722,0.294506,-0.275439,0.431545,107135.381940,2001-01-02 05:45:35.382 +0000
0.204740,0.279719,-0.239793,0.421500,107135.371960,2001-01-02 05:45:35.372 +0000
0.256003,0.240377,-0.225450,0.417308,107135.361990,2001-01-02 05:45:35.362 +0000
0.271321,0.159423,-0.227264,0.388175,107135.351980,2001-01-02 05:45:35.352 +0000
0.241070,0.056000,-0.254968,0.355330,107135.342001,2001-01-02 05:45:35.342 +0000
0.166123,-0.024096,-0.312956,0.355132,107135.332022,2001-01-02 05:45:35.332 +0000
0.027097,-0.081858,-0.367162,0.377151,107135.322043,2001-01-02 05:45:35.322 +0000
-0.145264,-0.088491,-0.413185,0.446827,107135.312063,2001-01-02 05:45:35.312 +0000
-0.321130,-0.060976,-0.434748,0.543920,107135.302084,2001-01-02 05:45:35.302 +0000
-0.477641,-0.080298,-0.447506,0.659432,107135.292074,2001-01-02 05:45:35.292 +0000
-0.579732,-0.114490,-0.458787,0.748119,107135.282095,2001-01-02 05:45:35.282 +0000
-0.638168,-0.152883,-0.459077,0.800864,107135.272116,2001-01-02 05:45:35.272 +0000
-0.626484,-0.143290,-0.460093,0.790379,107135.262137,2001-01-02 05:45:35.262 +0000
-0.536055,-0.095311,-0.470298,0.719457,107135.252157,2001-01-02 05:45:35.252 +0000
-0.395713,-0.037652,-0.457754,0.606255,107135.242148,2001-01-02 05:45:35.242 +0000
-0.224720,0.035021,-0.414057,0.472407,107135.232168,2001-01-02 05:45:35.232 +0000
-0.066686,0.119450,-0.351246,0.376947,107135.222189,2001-01-02 05:45:35.222 +0000
0.037947,0.217707,-0.281354,0.357766,107135.212210,2001-01-02 05:45:35.212 +0000
0.094854,0.299882,-0.238453,0.394698,107135.202231,2001-01-02 05:45:35.202 +0000
0.100240,0.289230,-0.239456,0.388641,107135.192221,2001-01-02 05:45:35.192 +0000
0.095262,0.242302,-0.260732,0.368465,107135.182242,2001-01-02 05:45:35.182 +0000
0.098736,0.208168,-0.279849,0.362489,107135.172262,2001-01-02 05:45:35.172 +0000
0.072540,0.106961,-0.274408,0.303319,107135.162283,2001-01-02 05:45:35.162 +0000
0.031408,-0.005946,-0.257283,0.259261,107135.152304,2001-01-02 05:45:35.152 +0000
-0.011939,-0.078419,-0.258447,0.270346,107135.142294,2001-01-02 05:45:35.142 +0000
-0.047961,-0.084915,-0.289659,0.305636,107135.132315,2001-01-02 05:45:35.132 +0000
-0.066084,-0.022201,-0.339103,0.346195,107135.122336,2001-01-02 05:45:35.122 +0000
-0.093468,-0.037242,-0.381988,0.395016,107135.112356,2001-01-02 05:45:35.112 +0000
-0.138444,-0.172652,-0.417184,0.472248,107135.102377,2001-01-02 05:45:35.102 +0000
-0.195034,-0.333633,-0.450252,0.593361,107135.092367,2001-01-02 05:45:35.092 +0000
-0.239957,-0.437171,-0.519727,0.720288,107135.082388,2001-01-02 05:45:35.082 +0000
-0.269410,-0.422472,-0.596899,0.779328,107135.072409,2001-01-02 05:45:35.072 +0000
-0.279406,-0.305364,-0.622929,0.747900,107135.062430,2001-01-02 05:45:35.062 +0000
-0.249674,-0.245758,-0.651740,0.739932,107135.052450,2001-01-02 05:45:35.052 +0000
-0.171941,-0.214839,-0.664122,0.718872,107135.042471,2001-01-02 05:45:35.042 +0000
-0.054715,-0.224315,-0.653688,0.693267,107135.032461,2001-01-02 05:45:35.032 +0000
0.070199,-0.316806,-0.615196,0.695529,107135.022482,2001-01-02 05:45:35.022 +0000
0.165423,-0.462540,-0.559663,0.744668,107135.012503,2001-01-02 05:45:35.013 +0000
0.214781,-0.570021,-0.529120,0.806859,107135.002524,2001-01-02 05:45:35.003 +0000
0.268343,-0.412302,-0.521707,0.717063,107134.992544,2001-01-02 05:45:34.993 +0000
0.379711,0.134296,-0.509619,0.649559,107134.982535,2001-01-02 05:45:34.983 +0000
0.475099,0.665995,-0.486913,0.952025,107134.972555,2001-01-02 05:45:34.973 +0000
0.453452,0.712896,-0.469022,0.966344,107134.962576,2001-01-02 05:45:34.963 +0000
0.386207,0.663982,-0.413780,0.872492,107134.952597,2001-01-02 05:45:34.953 +0000
0.308374,0.599083,-0.357498,0.762758,107134.942618,2001-01-02 05:45:34.943 +0000
0.232829,0.506479,-0.305399,0.635609,107134.932608,2001-01-02 05:45:34.933 +0000
0.180792,0.410678,-0.260613,0.518904,107134.922629,2001-01-02 05:45:34.923 +0000
0.156383,0.325564,-0.210326,0.417953,107134.912649,2001-01-02 05:45:34.913 +0000
0.145790,0.255360,-0.165329,0.337339,107134.902670,2001-01-02 05:45:34.903 +0000
0.138409,0.195785,-0.131025,0.273233,107134.892691,2001-01-02 05:45:34.893 +0000
0.129995,0.142574,-0.107430,0.220833,107134.882681,2001-01-02 05:45:34.883 +0000
0.127009,0.081883,-0.094463,0.178212,107134.872702,2001-01-02 05:45:34.873 +0000
