x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date
0.122574,-0.493423,-0.860458,1.004454,107135.8112,2001-01-02 05:45:35.811 +0000,,,,-0.018338,-0.139196,0.147709,0.203788,107135.8113,2001-01-02 05:45:35.811 +0000
0.12442,-0.500122,-0.864441,1.008943,107135.8014,2001-01-02 05:45:35.801 +0000,,,,0.159075,-0.298741,0.194217,0.39022,107135.8013,2001-01-02 05:45:35.801 +0000
0.136536,-0.500046,-0.921509,1.058433,107135.7916,2001-01-02 05:45:35.792 +0000,,,,0.255257,-0.361504,0.201448,0.486233,107135.7913,2001-01-02 05:45:35.791 +0000
0.144119,-0.499878,-0.986771,1.11672,107135.7818,2001-01-02 05:45:35.782 +0000,,,,0.177884,-0.169928,0.154459,0.290475,107135.7814,2001-01-02 05:45:35.781 +0000
0.154358,-0.52182,-0.947372,1.091214,107135.772,2001-01-02 05:45:35.772 +0000,,,,0.022722,0.058794,0.074789,0.097808,107135.7714,2001-01-02 05:45:35.771 +0000
0.162689,-0.542099,-0.877625,1.040083,107135.7622,2001-01-02 05:45:35.762 +0000,,,,-0.085734,0.114953,-0.013713,0.144057,107135.7614,2001-01-02 05:45:35.761 +0000
0.164322,-0.555328,-0.859207,1.0325,107135.7524,2001-01-02 05:45:35.752 +0000,,,,-0.204467,0.08164,-0.094562,0.239612,107135.7514,2001-01-02 05:45:35.751 +0000
0.15834,-0.567459,-0.847992,1.030362,107135.7426,2001-01-02 05:45:35.743 +0000,,,,-0.319185,0.079266,-0.158372,0.365026,107135.7414,2001-01-02 05:45:35.741 +0000
0.143478,-0.549591,-0.84993,1.024325,107135.7328,2001-01-02 05:45:35.733 +0000,,,,-0.382333,0.194151,-0.206125,0.475773,107135.7314,2001-01-02 05:45:35.731 +0000
0.145111,-0.530136,-0.838257,1.006783,107135.723,2001-01-02 05:45:35.723 +0000,,,,-0.389155,0.281503,-0.204271,0.521931,107135.7214,2001-01-02 05:45:35.721 +0000
0.153198,-0.505737,-0.725372,0.8989,107135.7132,2001-01-02 05:45:35.713 +0000,,,,-0.189301,0.13896,-0.181165,0.29659,107135.7114,2001-01-02 05:45:35.711 +0000
0.144699,-0.511353,-0.838043,0.99484,107135.7034,2001-01-02 05:45:35.703 +0000,,,,0.015934,0.017663,-0.183724,0.185258,107135.7015,2001-01-02 05:45:35.701 +0000
0.13295,-0.518066,-0.878555,1.032305,107135.6936,2001-01-02 05:45:35.694 +0000,,,,0.069282,-0.002521,-0.176898,0.189998,107135.6915,2001-01-02 05:45:35.691 +0000
0.139389,-0.526718,-0.883255,1.039211,107135.6838,2001-01-02 05:45:35.684 +0000,,,,0.118397,-0.034416,-0.165795,0.206616,107135.6815,2001-01-02 05:45:35.681 +0000
0.143341,-0.532471,-0.898697,1.054552,107135.674,2001-01-02 05:45:35.674 +0000,,,,0.186631,-0.036501,-0.167466,0.253393,107135.6715,2001-01-02 05:45:35.672 +0000
0.157516,-0.533798,-0.90799,1.062851,107135.6642,2001-01-02 05:45:35.664 +0000,,,,0.239743,0.015708,-0.179003,0.299609,107135.6615,2001-01-02 05:45:35.662 +0000
0.172897,-0.507217,-0.910797,1.051947,107135.6544,2001-01-02 05:45:35.654 +0000,,,,0.244987,0.065715,-0.204748,0.325974,107135.6515,2001-01-02 05:45:35.652 +0000
0.161514,-0.48111,-0.900253,1.030846,107135.6446,2001-01-02 05:45:35.645 +0000,,,,0.20212,0.127445,-0.214821,0.321314,107135.6416,2001-01-02 05:45:35.642 +0000
0.160965,-0.455185,-0.888351,1.007774,107135.6348,2001-01-02 05:45:35.635 +0000,,,,0.151656,0.188162,-0.201436,0.314612,107135.6316,2001-01-02 05:45:35.632 +0000
0.159378,-0.453278,-0.883713,1.001227,107135.625,2001-01-02 05:45:35.625 +0000,,,,0.11081,0.239307,-0.184755,0.321995,107135.6216,2001-01-02 05:45:35.622 +0000
0.149628,-0.454559,-0.883316,0.999332,107135.6152,2001-01-02 05:45:35.615 +0000,,,,0.0914,0.278723,-0.178582,0.343413,107135.6116,2001-01-02 05:45:35.612 +0000
