x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.09346,-0.502304,-0.889694,1.025963,107137.261,2001-01-02 05:45:37.261 +0000
0.095078,-0.486771,-0.895721,1.023866,107137.2512,2001-01-02 05:45:37.251 +0000
0.089203,-0.483734,-0.927643,1.049989,107137.2414,2001-01-02 05:45:37.241 +0000
0.088364,-0.474518,-0.909515,1.029657,107137.2316,2001-01-02 05:45:37.232 +0000
0.094559,-0.465927,-0.86644,0.988305,107137.2219,2001-01-02 05:45:37.222 +0000
0.096039,-0.482452,-0.81601,0.952814,107137.2121,2001-01-02 05:45:37.212 +0000
0.088303,-0.498001,-0.779007,0.928792,107137.2023,2001-01-02 05:45:37.202 +0000
0.095566,-0.502411,-0.857666,0.998569,107137.1925,2001-01-02 05:45:37.192 +0000
0.097427,-0.512848,-0.866562,1.011649,107137.1827,2001-01-02 05:45:37.183 +0000
0.092957,-0.522278,-0.859146,1.009726,107137.1729,2001-01-02 05:45:37.173 +0000
0.089569,-0.527527,-0.846725,1.001624,107137.1631,2001-01-02 05:45:37.163 +0000
0.08342,-0.526169,-0.839249,0.994058,107137.1533,2001-01-02 05:45:37.153 +0000
0.085495,-0.526352,-0.838333,0.993558,107137.1435,2001-01-02 05:45:37.143 +0000
0.088287,-0.520889,-0.830597,0.984384,107137.1337,2001-01-02 05:45:37.134 +0000
0.087036,-0.526703,-0.839767,0.995088,107137.1239,2001-01-02 05:45:37.124 +0000
0.08374,-0.543747,-0.853394,1.015359,107137.1141,2001-01-02 05:45:37.114 +0000
0.087296,-0.549164,-0.856201,1.020922,107137.1043,2001-01-02 05:45:37.104 +0000
0.085236,-0.550598,-0.855881,1.021252,107137.0945,2001-01-02 05:45:37.095 +0000
0.081589,-0.555023,-0.857697,1.024866,107137.0847,2001-01-02 05:45:37.085 +0000
0.079819,-0.552689,-0.866653,1.030982,107137.0749,2001-01-02 05:45:37.075 +0000
0.087372,-0.541122,-0.863892,1.023111,107137.0651,2001-01-02 05:45:37.065 +0000
0.07373,-0.518005,-0.871048,1.016115,107137.0553,2001-01-02 05:45:37.055 +0000
0.088989,-0.50267,-0.880402,1.017695,107137.0455,2001-01-02 05:45:37.046 +0000
0.088531,-0.47937,-0.890747,1.015413,107137.0357,2001-01-02 05:45:37.036 +0000
0.077606,-0.475418,-0.89447,1.015934,107137.0259,2001-01-02 05:45:37.026 +0000
0.065933,-0.476822,-0.889343,1.011256,107137.0161,2001-01-02 05:45:37.016 +0000
0.050705,-0.475662,-0.875961,0.998065,107137.0063,2001-01-02 05:45:37.006 +0000
0.046173,-0.470276,-0.870972,0.9909,107136.9965,2001-01-02 05:45:36.997 +0000
0.052139,-0.452835,-0.86116,0.974359,107136.9867,2001-01-02 05:45:36.987 +0000
0.062866,-0.432007,-0.863556,0.967632,107136.9769,2001-01-02 05:45:36.977 +0000
0.069427,-0.409271,-0.883087,0.97579,107136.9672,2001-01-02 05:45:36.967 +0000
0.071991,-0.3918,-0.900696,0.984857,107136.9574,2001-01-02 05:45:36.957 +0000
0.062408,-0.382584,-0.92598,1.003844,107136.9476,2001-01-02 05:45:36.948 +0000
0.04866,-0.383881,-0.939636,1.016193,107136.9378,2001-01-02 05:45:36.938 +0000
0.042953,-0.394501,-0.933502,1.014348,107136.928,2001-01-02 05:45:36.928 +0000
0.043121,-0.40947,-0.914734,1.003127,107136.9182,2001-01-02 05:45:36.918 +0000
0.047119,-0.439194,-0.910797,1.012256,107136.9084,2001-01-02 05:45:36.908 +0000
0.053131,-0.463669,-0.915771,1.027837,107136.8986,2001-01-02 05:45:36.899 +0000
0.058655,-0.467514,-0.918106,1.031954,107136.8888,2001-01-02 05:45:36.889 +0000
0.058762,-0.457748,-0.921494,1.0306,107136.879,2001-01-02 05:45:36.879 +0000
0.048279,-0.449387,-0.920837,1.025778,107136.8692,2001-01-02 05:45:36.869 +0000
0.038406,-0.446915,-0.909698,1.014278,107136.8594,2001-01-02 05:45:36.859 +0000
0.036911,-0.44931,-0.894516,1.001699,107136.8496,2001-01-02 05:45:36.850 +0000
0.032043,-0.465607,-0.885712,1.00115,107136.8398,2001-01-02 05:45:36.840 +0000
0.030579,-0.472763,-0.880859,1.000177,107136.83,2001-01-02 05:45:36.830 +0000
0.024261,-0.476486,-0.874283,0.995991,107136.8202,2001-01-02 05:45:36.820 +0000
0.020142,-0.468796,-0.873016,0.991127,107136.8104,2001-01-02 05:45:36.810 +0000
0.012619,-0.455292,-0.872025,0.983807,107136.8006,2001-01-02 05:45:36.801 +0000
0.011536,-0.441711,-0.872864,0.978332,107136.7908,2001-01-02 05:45:36.791 +0000
0.022293,-0.425735,-0.873474,0.971959,107136.781,2001-01-02 05:45:36.781 +0000
0.036682,-0.417023,-0.886703,0.980559,107136.7712,2001-01-02 05:45:36.771 +0000
0.034622,-0.415543,-0.902084,0.993796,107136.7614,2001-01-02 05:45:36.761 +0000
0.027634,-0.418686,-0.910583,1.002609,107136.7516,2001-01-02 05:45:36.752 +0000
0.011307,-0.424393,-0.912567,1.006487,107136.7418,2001-01-02 05:45:36.742 +0000
-0.007889,-0.430298,-0.904175,1.001374,107136.732,2001-01-02 05:45:36.732 +0000
-0.01297,-0.433868,-0.882004,0.983026,107136.7222,2001-01-02 05:45:36.722 +0000
-0.008408,-0.437408,-0.873016,0.976501,107136.7124,2001-01-02 05:45:36.712 +0000
-0.007095,-0.438217,-0.872818,0.976676,107136.7026,2001-01-02 05:45:36.703 +0000
-0.006012,-0.433578,-0.867355,0.969707,107136.6928,2001-01-02 05:45:36.693 +0000
-0.006165,-0.422272,-0.865097,0.962676,107136.683,2001-01-02 05:45:36.683 +0000
-0.001358,-0.408676,-0.870728,0.961865,107136.6732,2001-01-02 05:45:36.673 +0000
0.00148,-0.395462,-0.892456,0.976151,107136.6634,2001-01-02 05:45:36.663 +0000
-0.000763,-0.383759,-0.911789,0.989257,107136.6536,2001-01-02 05:45:36.654 +0000
0.006058,-0.386276,-0.939209,1.015559,107136.6438,2001-01-02 05:45:36.644 +0000
0.017746,-0.393051,-0.96228,1.039609,107136.6341,2001-01-02 05:45:36.634 +0000
0.024399,-0.400116,-0.973389,1.052698,107136.6243,2001-01-02 05:45:36.624 +0000
0.029999,-0.404175,-0.973587,1.054575,107136.6145,2001-01-02 05:45:36.614 +0000
0.022797,-0.404099,-0.973846,1.054605,107136.6047,2001-01-02 05:45:36.605 +0000
0.014267,-0.39624,-0.976151,1.053603,107136.5949,2001-01-02 05:45:36.595 +0000
0.002365,-0.395798,-0.992325,1.068349,107136.5851,2001-01-02 05:45:36.585 +0000
-0.010391,-0.383881,-0.988556,1.060526,107136.5752,2001-01-02 05:45:36.575 +0000
0.002274,-0.364609,-0.932983,1.0017,107136.5654,2001-01-02 05:45:36.565 +0000
-0.002441,-0.365845,-0.834152,0.910856,107136.5557,2001-01-02 05:45:36.556 +0000
-0.030319,-0.395096,-0.76683,0.863162,107136.5459,2001-01-02 05:45:36.546 +0000
-0.045059,-0.415924,-0.764664,0.871627,107136.5361,2001-01-02 05:45:36.536 +0000
-0.025818,-0.403732,-0.830139,0.92347,107136.5263,2001-01-02 05:45:36.526 +0000
0.03154,-0.392136,-0.986496,1.062045,107136.5165,2001-01-02 05:45:36.516 +0000
0.022217,-0.39473,-0.986221,1.062515,107136.5067,2001-01-02 05:45:36.507 +0000
0.026947,-0.389191,-0.977737,1.052695,107136.4969,2001-01-02 05:45:36.497 +0000
0.027756,-0.384583,-0.995483,1.067549,107136.4871,2001-01-02 05:45:36.487 +0000
0.013916,-0.370209,-0.993988,1.060783,107136.4773,2001-01-02 05:45:36.477 +0000
0.004013,-0.351074,-0.966675,1.02846,107136.4675,2001-01-02 05:45:36.467 +0000
0.000504,-0.341217,-0.953293,1.01252,107136.4577,2001-01-02 05:45:36.458 +0000
-0.008514,-0.33725,-0.935532,0.9945,107136.4479,2001-01-02 05:45:36.448 +0000
-0.021423,-0.334503,-0.92244,0.981451,107136.4381,2001-01-02 05:45:36.438 +0000
-0.034241,-0.327255,-0.924149,0.980979,107136.4283,2001-01-02 05:45:36.428 +0000
-0.035233,-0.312027,-0.927002,0.978741,107136.4185,2001-01-02 05:45:36.419 +0000
-0.039688,-0.288528,-0.924454,0.969246,107136.4087,2001-01-02 05:45:36.409 +0000
-0.049591,-0.27739,-0.915115,0.957518,107136.3989,2001-01-02 05:45:36.399 +0000
-0.05986,-0.282486,-0.899139,0.944369,107136.3891,2001-01-02 05:45:36.389 +0000
-0.069183,-0.300247,-0.888855,0.940743,107136.3793,2001-01-02 05:45:36.379 +0000
-0.07869,-0.318451,-0.879135,0.93834,107136.3695,2001-01-02 05:45:36.370 +0000
-0.077896,-0.333084,-0.870743,0.935524,107136.3598,2001-01-02 05:45:36.360 +0000
-0.070892,-0.333206,-0.873459,0.937541,107136.35,2001-01-02 05:45:36.350 +0000
-0.061172,-0.326645,-0.883484,0.943919,107136.3402,2001-01-02 05:45:36.340 +0000
-0.047302,-0.311386,-0.893631,0.94751,107136.3304,2001-01-02 05:45:36.330 +0000
-0.025848,-0.314774,-0.90181,0.955516,107136.3206,2001-01-02 05:45:36.321 +0000
-0.01796,-0.324615,-0.907776,0.964238,107136.3108,2001-01-02 05:45:36.311 +0000
-0.008896,-0.340164,-0.915909,0.977077,107136.301,2001-01-02 05:45:36.301 +0000
0.000031,-0.352173,-0.922058,0.987024,107136.2912,2001-01-02 05:45:36.291 +0000
0.002747,-0.357819,-0.932129,0.998452,107136.2814,2001-01-02 05:45:36.281 +0000
-0.003799,-0.36467,-0.946167,1.014017,107136.2716,2001-01-02 05:45:36.272 +0000
-0.004425,-0.368652,-0.9543,1.023041,107136.2618,2001-01-02 05:45:36.262 +0000
-0.011307,-0.380295,-0.948105,1.021594,107136.252,2001-01-02 05:45:36.252 +0000
-0.00972,-0.388855,-0.960754,1.036509,107136.2422,2001-01-02 05:45:36.242 +0000
-0.00798,-0.393997,-0.981873,1.058003,107136.2324,2001-01-02 05:45:36.232 +0000
-0.006836,-0.387787,-0.995865,1.068725,107136.2226,2001-01-02 05:45:36.223 +0000
-0.006866,-0.379852,-0.977692,1.048912,107136.2128,2001-01-02 05:45:36.213 +0000
-0.011612,-0.356369,-0.932739,0.998567,107136.203,2001-01-02 05:45:36.203 +0000
-0.021988,-0.340912,-0.896545,0.959426,107136.1932,2001-01-02 05:45:36.193 +0000
-0.020706,-0.330124,-0.867981,0.928871,107136.1835,2001-01-02 05:45:36.183 +0000
-0.006744,-0.319931,-0.837112,0.896191,107136.1737,2001-01-02 05:45:36.174 +0000
0.012711,-0.322372,-0.81955,0.880765,107136.1639,2001-01-02 05:45:36.164 +0000
0.029083,-0.344818,-0.834305,0.903222,107136.1541,2001-01-02 05:45:36.154 +0000
0.04364,-0.380844,-0.851578,0.93388,107136.1443,2001-01-02 05:45:36.144 +0000
