x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,,,,
-0.010528,-0.013883,-0.010718,0.020457,87406.39344,2001-01-02 00:16:46.393 +0000,,,,,-0.010718,,-0.10718
-0.005189,-0.01601,-0.010677,0.01993,87406.38343,2001-01-02 00:16:46.383 +0000,,,,,-0.021395,,-0.21395
-0.006245,-0.018141,-0.010678,0.021957,87406.37345,2001-01-02 00:16:46.373 +0000,,,,,-0.021355,,-0.21355
-0.008365,-0.01921,-0.011758,0.024026,87406.36347,2001-01-02 00:16:46.363 +0000,,,,,-0.022436,,-0.22436
-0.011571,-0.01602,-0.012857,0.023576,87406.35346,2001-01-02 00:16:46.353 +0000,,,,,-0.024615,,-0.24615
-0.012648,-0.014953,-0.011798,0.022864,87406.34348,2001-01-02 00:16:46.343 +0000,,,,,-0.024655,,-0.24655
-0.018005,-0.011755,-0.009706,0.023592,87406.3335,2001-01-02 00:16:46.333 +0000,,,,,-0.021504,,-0.21504
-0.014823,-0.008557,-0.009693,0.01967,87406.32349,2001-01-02 00:16:46.323 +0000,,,,,-0.019399,,-0.19399
-0.019071,-0.011756,-0.009713,0.024419,87406.31351,2001-01-02 00:16:46.314 +0000,,,,,-0.019406,,-0.19406
-0.024437,-0.005366,-0.008698,0.026488,87406.30353,2001-01-02 00:16:46.304 +0000,,,,,-0.018411,,-0.18411
-0.012666,-0.013882,-0.009664,0.021132,87406.29352,2001-01-02 00:16:46.294 +0000,,,,,-0.018362,,-0.18362
-0.012655,-0.01495,-0.01073,0.022333,87406.28354,2001-01-02 00:16:46.284 +0000,,,,,-0.020394,,-0.20394
-0.0105,-0.017084,-0.012847,0.023815,87406.27353,2001-01-02 00:16:46.274 +0000,,,,,-0.023577,,-0.23577
-0.010494,-0.017087,-0.013915,0.024407,87406.26355,2001-01-02 00:16:46.264 +0000,,,,,-0.026762,,-0.26762
-0.01156,-0.017088,-0.013922,0.024889,87406.25357,2001-01-02 00:16:46.254 +0000,,,,,-0.027837,,-0.27837
-0.010493,-0.016024,-0.014986,0.02432,87406.24357,2001-01-02 00:16:46.244 +0000,,,,,-0.028908,,-0.28908
-0.011565,-0.016022,-0.013925,0.024174,87406.23359,2001-01-02 00:16:46.234 +0000,,,,,-0.028911,,-0.28911
-0.011579,-0.01708,-0.010717,0.023252,87406.22361,2001-01-02 00:16:46.224 +0000,,,,,-0.024642,,-0.24642
-0.012643,-0.016018,-0.011795,0.02357,87406.2136,2001-01-02 00:16:46.214 +0000,,,,,-0.022512,,-0.22512
-0.011578,-0.016017,-0.011788,0.023012,87406.20362,2001-01-02 00:16:46.204 +0000,,,,,-0.023583,,-0.23583
-0.012653,-0.013887,-0.011801,0.022186,87406.19364,2001-01-02 00:16:46.194 +0000,,,,,-0.023589,,-0.23589
-0.012659,-0.012822,-0.011804,0.02154,87406.18363,2001-01-02 00:16:46.184 +0000,,,,,-0.023605,,-0.23605
-0.012643,-0.016018,-0.011795,0.02357,87406.17365,2001-01-02 00:16:46.174 +0000,,,,,-0.023599,,-0.23599
-0.013703,-0.016021,-0.012871,0.0247,87406.16364,2001-01-02 00:16:46.164 +0000,,,,,-0.024666,,-0.24666
-0.012631,-0.016023,-0.013932,0.024706,87406.15366,2001-01-02 00:16:46.154 +0000,,,,,-0.026803,,-0.26803
-0.012653,-0.013887,-0.011801,0.022186,87406.14368,2001-01-02 00:16:46.144 +0000,,,,,-0.025733,,-0.25733
-0.014803,-0.012818,-0.009682,0.021844,87406.13367,2001-01-02 00:16:46.134 +0000,,,,,-0.021483,,-0.21483
-0.012688,-0.010684,-0.008605,0.018686,87406.12369,2001-01-02 00:16:46.124 +0000,,,,,-0.018287,,-0.18287
-0.013747,-0.010687,-0.00968,0.019923,87406.11371,2001-01-02 00:16:46.114 +0000,,,,,-0.018285,,-0.18285
-0.013737,-0.012818,-0.009674,0.021133,87406.1037,2001-01-02 00:16:46.104 +0000,,,,,-0.019354,,-0.19354
-0.01266,-0.013885,-0.010733,0.021639,87406.09372,2001-01-02 00:16:46.094 +0000,,,,,-0.020407,,-0.20407
-0.013721,-0.014951,-0.010737,0.022958,87406.08374,2001-01-02 00:16:46.084 +0000,,,,,-0.02147,,-0.2147
-0.013703,-0.016021,-0.012871,0.0247,87406.07373,2001-01-02 00:16:46.074 +0000,,,,,-0.023608,,-0.23608
-0.011555,-0.018153,-0.013919,0.025628,87406.06376,2001-01-02 00:16:46.064 +0000,,,,,-0.02679,,-0.2679
-0.011565,-0.016022,-0.013925,0.024174,87406.05375,2001-01-02 00:16:46.054 +0000,,,,,-0.027844,,-0.27844
-0.011561,-0.01815,-0.012851,0.025065,87406.04377,2001-01-02 00:16:46.044 +0000,,,,,-0.026776,,-0.26776
-0.01262,-0.018154,-0.013926,0.02613,87406.03379,2001-01-02 00:16:46.034 +0000,,,,,-0.026777,,-0.26777
-0.011573,-0.017082,-0.011785,0.023762,87406.02378,2001-01-02 00:16:46.024 +0000,,,,,-0.025711,,-0.25711
-0.011578,-0.016017,-0.011788,0.023012,87406.0138,2001-01-02 00:16:46.014 +0000,,,,,-0.023573,,-0.23573
-0.012653,-0.013887,-0.011801,0.022186,87406.00382,2001-01-02 00:16:46.004 +0000,,,,,-0.023589,,-0.23589
-0.012655,-0.01495,-0.01073,0.022333,87405.99381,2001-01-02 00:16:45.994 +0000,,,,,-0.022531,,-0.22531
-0.011589,-0.014949,-0.010723,0.021743,87405.98383,2001-01-02 00:16:45.984 +0000,,,,,-0.021453,,-0.21453
-0.012653,-0.013887,-0.011801,0.022186,87405.97385,2001-01-02 00:16:45.974 +0000,,,,,-0.022524,,-0.22524
-0.011654,-0.015985,0.001033,0.019809,87405.96384,2001-01-02 00:16:45.964 +0000,,,,,-0.010768,,-0.10768
-0.013437,-0.01675,0.121765,0.123644,87405.95386,2001-01-02 00:16:45.954 +0000,,,,,0.122798,,1.22798
-0.014668,-0.014111,0.325835,0.32647,87405.94385,2001-01-02 00:16:45.944 +0000,,,,,0.4476,,4.476
-0.014993,-0.011404,0.556624,0.556943,87405.93387,2001-01-02 00:16:45.934 +0000,,,,,0.882459,,8.82459
-0.017506,-0.007613,0.795943,0.796172,87405.92389,2001-01-02 00:16:45.924 +0000,,,,,1.352567,,13.52567
-0.01893,-0.005956,1.033138,1.033329,87405.91388,2001-01-02 00:16:45.914 +0000,,,,,1.829081,,18.29081
-0.023442,-0.004348,1.252148,1.252375,87405.9039,2001-01-02 00:16:45.904 +0000,,,,,2.285286,,22.85286
