x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,,X,Y,Z,,X,Y,Z
-0.309036,-0.390152,-0.843552,0.979439,86395.8285,2001-01-01 23:59:55.828 +0000,,,,,-0.332508565,-0.434284848,-0.590024822,,-0.321008079,-0.409708639,-0.533052522
-0.328781,-0.382599,-0.808563,0.953023,86395.8187,2001-01-01 23:59:55.819 +0000,,,,,-0.367552471,-0.438331911,-0.623895797,,-0.352225397,-0.413108488,-0.557804888
-0.337967,-0.392212,-0.830856,0.978966,86395.8089,2001-01-01 23:59:55.809 +0000,,,,2001-01-01 23:59:57.615 +0000,-0.36784426,-0.437266436,-0.623137262,,-0.352482434,-0.412214384,-0.557258697
-0.320953,-0.442429,-0.869034,1.026632,86395.79911,2001-01-01 23:59:55.799 +0000,,,,,-0.32912397,-0.477574915,-0.628956018,,-0.317957355,-0.445547139,-0.561439036
-0.336441,-0.478943,-0.886719,1.062473,86395.78931,2001-01-01 23:59:55.789 +0000,,,,,-0.333837705,-0.505000894,-0.660076572,,-0.32220442,-0.467640316,-0.583426343
-0.36377,-0.453079,-0.842896,1.023759,86395.77952,2001-01-01 23:59:55.780 +0000,,,,,-0.380134607,-0.493527188,-0.689339459,,-0.363264627,-0.458455964,-0.60353535
-0.382736,-0.428513,-0.684143,0.893399,86395.76972,2001-01-01 23:59:55.770 +0000,,,,,-0.474115083,-0.546624958,-0.83981303,,-0.442726076,-0.500248316,-0.698550193
-0.362747,-0.419464,-0.8181,0.988344,86395.75992,2001-01-01 23:59:55.760 +0000,,,,,-0.394561232,-0.468719335,-0.677861843,,-0.375809009,-0.438311419,-0.595713116
-0.349442,-0.418137,-0.83902,1.000451,86395.75013,2001-01-01 23:59:55.750 +0000,,,,,-0.372762126,-0.460057039,-0.649483438,,-0.356807257,-0.431185817,-0.576011998
-0.334549,-0.407791,-0.838486,0.990593,86395.74033,2001-01-01 23:59:55.740 +0000,,,,,-0.35880777,-0.451714134,-0.629065187,,-0.344499736,-0.424278487,-0.561517256
-0.307266,-0.423035,-0.841003,0.990282,86395.73053,2001-01-01 23:59:55.731 +0000,,,,,-0.326390637,-0.472466239,-0.621696869,,-0.315489168,-0.441378986,-0.556220503
-0.285156,-0.422073,-0.861526,1.000844,86395.72074,2001-01-01 23:59:55.721 +0000,,,,,-0.297235487,-0.465098523,-0.591243598,,-0.288918618,-0.435338677,-0.53395609
-0.249832,-0.413727,-0.874741,0.999378,86395.71094,2001-01-01 23:59:55.711 +0000,,,,,-0.258184905,-0.454785712,-0.552514877,,-0.252667145,-0.426826593,-0.504771968
-0.225952,-0.426056,-0.886932,1.009568,86395.70115,2001-01-01 23:59:55.701 +0000,,,,,-0.229635967,-0.465502195,-0.543743416,,-0.225722617,-0.435670507,-0.498027005
-0.229355,-0.441772,-0.893387,1.022696,86395.69135,2001-01-01 23:59:55.691 +0000,,,,,-0.230126894,-0.478959428,-0.557161906,,-0.226188903,-0.446673914,-0.508325162
-0.229126,-0.438873,-0.90741,1.033683,86395.68155,2001-01-01 23:59:55.682 +0000,,,,,-0.227314428,-0.468936108,-0.545601291,,-0.223516254,-0.438489131,-0.499459812
-0.266846,-0.449936,-0.909607,1.049302,86395.67176,2001-01-01 23:59:55.672 +0000,,,,,-0.262953222,-0.474645695,-0.575099899,,-0.257132289,-0.443159215,-0.521909353
-0.277969,-0.451706,-0.896362,1.041523,86395.66196,2001-01-01 23:59:55.662 +0000,,,,,-0.276932011,-0.481320179,-0.591705147,,-0.270161497,-0.44859239,-0.534298018
-0.301178,-0.431473,-0.886917,1.031261,86395.65217,2001-01-01 23:59:55.652 +0000,,,,,-0.305360977,-0.460651135,-0.593281176,,-0.296367836,-0.431676026,-0.535464541
-0.314774,-0.39061,-0.903595,1.03351,86395.64237,2001-01-01 23:59:55.642 +0000,,,,,-0.319759531,-0.408223863,-0.555178039,,-0.309484797,-0.387575749,-0.506809979
-0.299255,-0.396317,-0.912613,1.038982,86395.63257,2001-01-01 23:59:55.633 +0000,,,,,-0.300773278,-0.412647557,-0.544161898,,-0.292166073,-0.391361673,-0.498349936
-0.245514,-0.403748,-0.877808,0.996913,86395.62278,2001-01-01 23:59:55.623 +0000,,,,,-0.254100371,-0.442951182,-0.538312774,,-0.248834097,-0.416976688,-0.493826035
-0.201248,-0.422455,-0.852509,0.972492,86395.61298,2001-01-01 23:59:55.613 +0000,,,,,-0.211519177,-0.482287138,-0.548898861,,-0.20844676,-0.449377173,-0.501997414
-0.188843,-0.460205,-0.855911,0.989967,86395.60318,2001-01-01 23:59:55.603 +0000,,,,,-0.194325268,-0.525050857,-0.581186346,,-0.19193318,-0.483486869,-0.526471054
-0.212738,-0.479218,-0.866898,1.013123,86395.59339,2001-01-01 23:59:55.593 +0000,,,,,-0.214770538,-0.536867043,-0.604818648,,-0.211556826,-0.492704447,-0.543955093
-0.222626,-0.424622,-0.886871,1.00817,86395.58359,2001-01-01 23:59:55.584 +0000,,,,,-0.22641108,-0.464379168,-0.540601298,,-0.222657122,-0.434747093,-0.495598691
-0.22612,-0.404556,-0.89035,1.003753,86395.5738,2001-01-01 23:59:55.574 +0000,,,,,-0.231218066,-0.44039781,-0.520537643,,-0.227224947,-0.414840111,-0.479942406
