x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,,,,
-0.330519,-0.236663,0.028331,0.407498,86397.61493,2001-01-01 23:59:57.615 +0000,,,,,-0.330519,-0.236663,0.028331
-0.235922,-0.38896,0.015493,0.45518,86397.60492,2001-01-01 23:59:57.605 +0000,,,,,-0.566441,-0.625623,0.043824
-0.153437,-0.323775,0.072503,0.365554,86397.59494,2001-01-01 23:59:57.595 +0000,,,,,-0.719878,-0.949398,0.116327
-0.189482,-0.20968,0.127512,0.310046,86397.58496,2001-01-01 23:59:57.585 +0000,,,,,-0.90936,-1.159078,0.243839
-0.306945,-0.06145,0.22462,0.385286,86397.57495,2001-01-01 23:59:57.575 +0000,,,,,-1.216305,-1.220528,0.468459
-0.308649,-0.014406,0.293934,0.426461,86397.56497,2001-01-01 23:59:57.565 +0000,,,,,-1.524954,-1.234934,0.762393
-0.185716,-0.177575,0.18515,0.316708,86397.55499,2001-01-01 23:59:57.555 +0000,,,,,-1.71067,-1.412509,0.947543
-0.116984,-0.22133,0.133376,0.283657,86397.54498,2001-01-01 23:59:57.545 +0000,,,,,-1.827654,-1.633839,1.080919
-0.049496,-0.27458,0.119017,0.30333,86397.535,2001-01-01 23:59:57.535 +0000,,,,,-1.87715,-1.908419,1.199936
0.011895,-0.370486,0.088705,0.381143,86397.525,2001-01-01 23:59:57.525 +0000,,,,,-1.865255,-2.278905,1.288641
0.077838,-0.501592,0.038218,0.509033,86397.51502,2001-01-01 23:59:57.515 +0000,,,,,-1.787417,-2.780497,1.326859
0.12447,-0.620966,-0.000678,0.633318,86397.50504,2001-01-01 23:59:57.505 +0000,,,,,-1.662947,-3.401463,1.326181
0.171678,-0.682724,-0.003397,0.703987,86397.49503,2001-01-01 23:59:57.495 +0000,,,,,-1.491269,-4.084187,1.322784
0.20061,-0.722104,0.002248,0.749456,86397.48506,2001-01-01 23:59:57.485 +0000,,,,,-1.290659,-4.806291,1.325032
0.18484,-0.742407,-0.018105,0.765285,86397.47508,2001-01-01 23:59:57.475 +0000,,,,,-1.105819,-5.548698,1.306927
0.143808,-0.744787,-0.105993,0.765913,86397.46507,2001-01-01 23:59:57.465 +0000,,,,,-0.962011,-6.293485,1.200934
0.09859,-0.736571,-0.215309,0.773702,86397.4551,2001-01-01 23:59:57.455 +0000,,,,,-0.863421,-7.030056,0.985625
0.040418,-0.783579,-0.252972,0.824394,86397.44512,2001-01-01 23:59:57.445 +0000,,,,,-0.823003,-7.813635,0.732653
0.027473,-0.871766,-0.156653,0.886156,86397.43511,2001-01-01 23:59:57.435 +0000,,,,,-0.79553,-8.685401,0.576
0.083613,-1.010853,0.012928,1.014387,86397.42513,2001-01-01 23:59:57.425 +0000,,,,,-0.711917,-9.696254,0.588928
0.19653,-1.138323,0.125162,1.161925,86397.41515,2001-01-01 23:59:57.415 +0000,,,,,-0.515387,-10.834577,0.71409
0.326838,-1.266984,0.181954,1.321052,86397.40514,2001-01-01 23:59:57.405 +0000,,,,,-0.188549,-12.101561,0.896044
0.398003,-1.277461,0.231614,1.357924,86397.39516,2001-01-01 23:59:57.395 +0000,,,,,0.209454,-13.379022,1.127658
0.37286,-1.151764,0.236445,1.233488,86397.38515,2001-01-01 23:59:57.385 +0000,,,,,0.582314,-14.530786,1.364103
0.318191,-0.973064,0.145836,1.034103,86397.37517,2001-01-01 23:59:57.375 +0000,,,,,0.900505,-15.50385,1.509939
0.291054,-0.723038,0.028505,0.779941,86397.36519,2001-01-01 23:59:57.365 +0000,,,,,1.191559,-16.226888,1.538444
0.274642,-0.505989,-0.073704,0.580418,86397.35518,2001-01-01 23:59:57.355 +0000,,,,,1.466201,-16.732877,1.46474
0.257535,-0.406042,-0.144613,0.502103,86397.3452,2001-01-01 23:59:57.345 +0000,,,,,1.723736,-17.138919,1.320127
0.266148,-0.387998,-0.173454,0.501462,86397.33522,2001-01-01 23:59:57.335 +0000,,,,,1.989884,-17.526917,1.146673
0.24929,-0.467829,-0.142364,0.548887,86397.32521,2001-01-01 23:59:57.325 +0000,,,,,2.239174,-17.994746,1.004309
0.192864,-0.561455,-0.078379,0.598808,86397.31523,2001-01-01 23:59:57.315 +0000,,,,,2.432038,-18.556201,0.92593
