x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,,X,Y,Z
-0.005178,-0.017078,-0.011742,0.021362,228675.0864,2001-01-03 15:31:15.086 +0000,,,,,-0.005178,-0.017078,-0.011742
-0.015848,-0.011765,-0.013966,0.024179,228675.0664,2001-01-03 15:31:15.066 +0000,,,,,-0.021026,-0.028843,-0.025708
-0.02759,-0.010703,-0.011911,0.0319,228675.0465,2001-01-03 15:31:15.046 +0000,,,,,-0.048616,-0.039546,-0.037619
-0.014774,-0.014957,-0.012881,0.024655,228675.0265,2001-01-03 15:31:15.026 +0000,,,,,-0.06339,-0.054503,-0.0505
-0.014779,-0.013892,-0.012884,0.024029,228675.0065,2001-01-03 15:31:15.007 +0000,,,,,-0.078169,-0.068395,-0.063384
-0.013713,-0.013891,-0.012877,0.023384,228674.9865,2001-01-03 15:31:14.987 +0000,,,,,-0.091882,-0.082286,-0.076261
-0.014785,-0.013889,-0.011816,0.023476,228674.9666,2001-01-03 15:31:14.967 +0000,,,,,-0.106667,-0.096175,-0.088077
-0.01585,-0.012827,-0.012894,0.024125,228674.9466,2001-01-03 15:31:14.947 +0000,,,,,-0.122517,-0.109002,-0.100971
-0.014784,-0.012826,-0.012887,0.023434,228674.9266,2001-01-03 15:31:14.927 +0000,,,,,-0.137301,-0.121828,-0.113858
-0.014784,-0.012826,-0.012887,0.023434,228674.9066,2001-01-03 15:31:14.907 +0000,,,,,-0.152085,-0.134654,-0.126745
-0.013718,-0.012826,-0.01288,0.022772,228674.8866,2001-01-03 15:31:14.887 +0000,,,,,-0.165803,-0.14748,-0.139625
-0.013718,-0.012826,-0.01288,0.022772,228674.8667,2001-01-03 15:31:14.867 +0000,,,,,-0.179521,-0.160306,-0.152505
-0.014779,-0.013892,-0.012884,0.024029,228674.8467,2001-01-03 15:31:14.847 +0000,,,,,-0.1943,-0.174198,-0.165389
-0.013718,-0.012826,-0.01288,0.022772,228674.8267,2001-01-03 15:31:14.827 +0000,,,,,-0.208018,-0.187024,-0.178269
-0.013712,-0.012828,-0.013948,0.023391,228674.8067,2001-01-03 15:31:14.807 +0000,,,,,-0.22173,-0.199852,-0.192217
-0.013713,-0.013891,-0.012877,0.023384,228674.7868,2001-01-03 15:31:14.787 +0000,,,,,-0.235443,-0.213743,-0.205094
-0.013723,-0.01176,-0.012883,0.022194,228674.7668,2001-01-03 15:31:14.767 +0000,,,,,-0.249166,-0.225503,-0.217977
-0.013718,-0.012826,-0.01288,0.022772,228674.7468,2001-01-03 15:31:14.747 +0000,,,,,-0.262884,-0.238329,-0.230857
-0.013713,-0.013891,-0.012877,0.023384,228674.7268,2001-01-03 15:31:14.727 +0000,,,,,-0.276597,-0.25222,-0.243734
-0.014784,-0.012826,-0.012887,0.023434,228674.7069,2001-01-03 15:31:14.707 +0000,,,,,-0.291381,-0.265046,-0.256621
-0.012652,-0.012825,-0.012873,0.022142,228674.6869,2001-01-03 15:31:14.687 +0000,,,,,-0.304033,-0.277871,-0.269494
-0.014772,-0.013894,-0.013953,0.024616,228674.6669,2001-01-03 15:31:14.667 +0000,,,,,-0.318805,-0.291765,-0.283447
-0.013723,-0.01176,-0.012883,0.022194,228674.6469,2001-01-03 15:31:14.647 +0000,,,,,-0.332528,-0.303525,-0.29633
-0.013719,-0.013888,-0.011808,0.022815,228674.627,2001-01-03 15:31:14.627 +0000,,,,,-0.346247,-0.317413,-0.308138
-0.014784,-0.012826,-0.012887,0.023434,228674.607,2001-01-03 15:31:14.607 +0000,,,,,-0.361031,-0.330239,-0.321025
-0.014784,-0.012826,-0.012887,0.023434,228674.587,2001-01-03 15:31:14.587 +0000,,,,,-0.375815,-0.343065,-0.333912
-0.013718,-0.012826,-0.01288,0.022772,228674.5671,2001-01-03 15:31:14.567 +0000,,,,,-0.389533,-0.355891,-0.346792
-0.013718,-0.012826,-0.01288,0.022772,228674.5471,2001-01-03 15:31:14.547 +0000,,,,,-0.403251,-0.368717,-0.359672
-0.014779,-0.013892,-0.012884,0.024029,228674.5271,2001-01-03 15:31:14.527 +0000,,,,,-0.41803,-0.382609,-0.372556
-0.014785,-0.013889,-0.011816,0.023476,228674.5071,2001-01-03 15:31:14.507 +0000,,,,,-0.432815,-0.396498,-0.384372
-0.014784,-0.012826,-0.012887,0.023434,228674.4872,2001-01-03 15:31:14.487 +0000,,,,,-0.447599,-0.409324,-0.397259
-0.013718,-0.012826,-0.01288,0.022772,228674.4672,2001-01-03 15:31:14.467 +0000,,,,,-0.461317,-0.42215,-0.410139
-0.021437,-0.008026,0.205031,0.206305,228674.4472,2001-01-03 15:31:14.447 +0000,,,,,-0.482754,-0.430176,-0.205108
-0.017233,-0.004537,0.747853,0.748066,228674.4272,2001-01-03 15:31:14.427 +0000,,,,,-0.499987,-0.434713,0.542745
-0.02645,-0.007521,2.115493,2.115672,228674.4073,2001-01-03 15:31:14.407 +0000,,,,,-0.526437,-0.442234,2.658238
-0.026002,-0.01018,2.75661,2.756751,228674.3873,2001-01-03 15:31:14.387 +0000,,,,,-0.552439,-0.452414,5.414848
-0.036295,-0.003245,3.404039,3.404234,228674.3673,2001-01-03 15:31:14.367 +0000,,,,,-0.588734,-0.455659,8.818887
-0.035703,-0.003838,4.019506,4.019667,228674.3474,2001-01-03 15:31:14.347 +0000,,,,,-0.624437,-0.459497,12.838393
-0.052257,0.003036,4.644455,4.64475,228674.3274,2001-01-03 15:31:14.327 +0000,,,,,-0.676694,-0.456461,17.482848
-0.038667,0.005555,5.222604,5.22275,228674.3074,2001-01-03 15:31:14.307 +0000,,,,,-0.715361,-0.450906,22.705452
-0.053577,0.004747,5.75676,5.757012,228674.2874,2001-01-03 15:31:14.287 +0000,,,,,-0.768938,-0.446159,28.462212
-0.032758,0.006305,6.374496,6.374583,228674.2675,2001-01-03 15:31:14.267 +0000,,,,,-0.801696,-0.439854,34.836708
-0.03058,0.00913,7.078651,7.078723,228674.2475,2001-01-03 15:31:14.247 +0000,,,,,-0.832276,-0.430724,41.915359
-0.051453,0.014343,7.892702,7.892883,228674.2275,2001-01-03 15:31:14.228 +0000,,,,,-0.883729,-0.416381,49.808061
-0.036479,0.022491,8.591587,8.591694,228674.2075,2001-01-03 15:31:14.208 +0000,,,,,-0.920208,-0.39389,58.399648
-0.041294,0.005436,8.162059,8.162166,228674.1876,2001-01-03 15:31:14.188 +0000,,,,,-0.961502,-0.388454,66.561707
-0.034916,0.018899,6.725987,6.726104,228674.1676,2001-01-03 15:31:14.168 +0000,,,,,-0.996418,-0.369555,73.287694
-0.040338,0.007932,5.321958,5.322117,228674.1476,2001-01-03 15:31:14.148 +0000,,,,,-1.036756,-0.361623,78.609652
-0.024665,-0.008686,3.781316,3.781407,228674.1276,2001-01-03 15:31:14.128 +0000,,,,,-1.061421,-0.370309,82.390968
-0.018068,-0.017196,2.504514,2.504638,228674.1077,2001-01-03 15:31:14.108 +0000,,,,,-1.079489,-0.387505,84.895482
-0.01977,-0.005953,1.887941,1.888054,228674.0877,2001-01-03 15:31:14.088 +0000,,,,,-1.099259,-0.393458,86.783423
-0.018331,-0.004253,1.288512,1.288649,228674.0677,2001-01-03 15:31:14.068 +0000,,,,,-1.11759,-0.397711,88.071935
-0.024688,-0.009861,0.751023,0.751494,228674.0477,2001-01-03 15:31:14.048 +0000,,,,,-1.142278,-0.407572,88.822958
-0.019316,-0.001641,0.201823,0.202752,228674.0278,2001-01-03 15:31:14.028 +0000,,,,,-1.161594,-0.409213,89.024781
-0.013699,-0.018149,-0.011797,0.025617,228674.0078,2001-01-03 15:31:14.008 +0000,,,,,-1.175293,-0.427362,89.012984
-0.011557,-0.020278,-0.011776,0.026143,228673.9878,2001-01-03 15:31:13.988 +0000,,,,,-1.18685,-0.44764,89.001208
-0.01155,-0.019218,-0.013916,0.026389,228673.9678,2001-01-03 15:31:13.968 +0000,,,,,-1.1984,-0.466858,88.987292
-0.013703,-0.016021,-0.012871,0.0247,228673.9478,2001-01-03 15:31:13.948 +0000,,,,,-1.212103,-0.482879,88.974421
-0.014804,-0.008565,-0.012899,0.021422,228673.9279,2001-01-03 15:31:13.928 +0000,,,,,-1.226907,-0.491444,88.961522
-0.014794,-0.010696,-0.012893,0.022349,228673.9079,2001-01-03 15:31:13.908 +0000,,,,,-1.241701,-0.50214,88.948629
-0.013713,-0.013891,-0.012877,0.023384,228673.8879,2001-01-03 15:31:13.888 +0000,,,,,-1.255414,-0.516031,88.935752
-0.015855,-0.011762,-0.012897,0.023581,228673.868,2001-01-03 15:31:13.868 +0000,,,,,-1.271269,-0.527793,88.922855
-0.014785,-0.013889,-0.011816,0.023476,228673.848,2001-01-03 15:31:13.848 +0000,,,,,-1.286054,-0.541682,88.911039
-0.017996,-0.009633,-0.012917,0.024156,228673.828,2001-01-03 15:31:13.828 +0000,,,,,-1.30405,-0.551315,88.898122
-0.01587,-0.008566,-0.012906,0.022176,228673.808,2001-01-03 15:31:13.808 +0000,,,,,-1.31992,-0.559881,88.885216
-0.018011,-0.006437,-0.012926,0.023085,228673.7881,2001-01-03 15:31:13.788 +0000,,,,,-1.337931,-0.566318,88.87229
-0.016951,-0.005371,-0.012922,0.021981,228673.7681,2001-01-03 15:31:13.768 +0000,,,,,-1.354882,-0.571689,88.859368
-0.01587,-0.008566,-0.012906,0.022176,228673.7481,2001-01-03 15:31:13.748 +0000,,,,,-1.370752,-0.580255,88.846462
-0.014785,-0.013889,-0.011816,0.023476,228673.7282,2001-01-03 15:31:13.728 +0000,,,,,-1.385537,-0.594144,88.834646
-0.014784,-0.012826,-0.012887,0.023434,228673.7082,2001-01-03 15:31:13.708 +0000,,,,,-1.400321,-0.60697,88.821759
-0.01478,-0.014954,-0.011813,0.024117,228673.6882,2001-01-03 15:31:13.688 +0000,,,,,-1.415101,-0.621924,88.809946
-0.014782,-0.011764,-0.013958,0.023489,228673.6682,2001-01-03 15:31:13.668 +0000,,,,,-1.429883,-0.633688,88.795988
-0.013717,-0.011763,-0.013951,0.022829,228673.6482,2001-01-03 15:31:13.648 +0000,,,,,-1.4436,-0.645451,88.782037
-0.013723,-0.01176,-0.012883,0.022194,228673.6283,2001-01-03 15:31:13.628 +0000,,,,,-1.457323,-0.657211,88.769154
-0.013713,-0.013891,-0.012877,0.023384,228673.6083,2001-01-03 15:31:13.608 +0000,,,,,-1.471036,-0.671102,88.756277
-0.013718,-0.012826,-0.01288,0.022772,228673.5883,2001-01-03 15:31:13.588 +0000,,,,,-1.484754,-0.683928,88.743397
-0.013729,-0.011758,-0.011814,0.021594,228673.5683,2001-01-03 15:31:13.568 +0000,,,,,-1.498483,-0.695686,88.731583
-0.01478,-0.014954,-0.011813,0.024117,228673.5484,2001-01-03 15:31:13.548 +0000,,,,,-1.513263,-0.71064,88.71977
-0.014797,-0.012821,-0.01075,0.022336,228673.5284,2001-01-03 15:31:13.528 +0000,,,,,-1.52806,-0.723461,88.70902
-0.011573,-0.017082,-0.011785,0.023762,228673.5084,2001-01-03 15:31:13.508 +0000,,,,,-1.539633,-0.740543,88.697235
-0.011596,-0.010693,-0.012871,0.020359,228673.4884,2001-01-03 15:31:13.488 +0000,,,,,-1.551229,-0.751236,88.684364
-0.01374,-0.009627,-0.01182,0.020522,228673.4685,2001-01-03 15:31:13.468 +0000,,,,,-1.564969,-0.760863,88.672544
-0.014789,-0.011761,-0.01289,0.022873,228673.4485,2001-01-03 15:31:13.448 +0000,,,,,-1.579758,-0.772624,88.659654
-0.013723,-0.01176,-0.012883,0.022194,228673.4285,2001-01-03 15:31:13.429 +0000,,,,,-1.593481,-0.784384,88.646771
-0.007268,-0.024539,-0.012804,0.028617,228673.4085,2001-01-03 15:31:13.409 +0000,,,,,-1.600749,-0.808923,88.633967
0.218273,-0.137339,-0.031277,0.259776,39945.43852,2001-01-01 11:05:45.439 +0000,,,,,-1.382476,-0.946262,88.60269
-0.11153,-0.09061,0.008042,0.143923,39945.41853,2001-01-01 11:05:45.419 +0000,,,,,-1.494006,-1.036872,88.610732
-0.296754,0.00316,0.072784,0.305566,39945.39861,2001-01-01 11:05:45.399 +0000,,,,,-1.79076,-1.033712,88.683516
-0.289858,0.119285,0.074652,0.32221,39945.37862,2001-01-01 11:05:45.379 +0000,,,,,-2.080618,-0.914427,88.758168
0.007779,0.067296,0.07146,0.098467,39945.35866,2001-01-01 11:05:45.359 +0000,,,,,-2.072839,-0.847131,88.829628
0.115866,0.010846,0.043493,0.124234,39945.33867,2001-01-01 11:05:45.339 +0000,,,,,-1.956973,-0.836285,88.873121
0.134631,-0.075525,0.004319,0.154428,39945.31871,2001-01-01 11:05:45.319 +0000,,,,,-1.822342,-0.91181,88.87744
0.017813,-0.034943,0.079285,0.088456,39945.29872,2001-01-01 11:05:45.299 +0000,,,,,-1.804529,-0.946753,88.956725
-0.052046,-0.029437,0.171759,0.181869,39945.27876,2001-01-01 11:05:45.279 +0000,,,,,-1.856575,-0.97619,89.128484
0.030699,-0.151921,0.156623,0.220347,39945.25877,2001-01-01 11:05:45.259 +0000,,,,,-1.825876,-1.128111,89.285107
0.067623,-0.241485,0.113306,0.275184,39945.23879,2001-01-01 11:05:45.239 +0000,,,,,-1.758253,-1.369596,89.398413
-0.038935,-0.094414,0.169887,0.198221,39945.21883,2001-01-01 11:05:45.219 +0000,,,,,-1.797188,-1.46401,89.5683
-0.070575,0.020689,0.200347,0.21342,39945.19884,2001-01-01 11:05:45.199 +0000,,,,,-1.867763,-1.443321,89.768647
0.046486,-0.096542,0.145894,0.181014,39945.17888,2001-01-01 11:05:45.179 +0000,,,,,-1.821277,-1.539863,89.914541
0.092829,-0.310861,0.05276,0.328687,39945.15889,2001-01-01 11:05:45.159 +0000,,,,,-1.728448,-1.850724,89.967301
0.081293,-0.324769,0.032418,0.336354,39945.13893,2001-01-01 11:05:45.139 +0000,,,,,-1.647155,-2.175493,89.999719
0.140496,-0.285186,0.081862,0.328286,39945.11894,2001-01-01 11:05:45.119 +0000,,,,,-1.506659,-2.460679,90.081581
0.205434,-0.309559,0.114421,0.388744,39945.09898,2001-01-01 11:05:45.099 +0000,,,,,-1.301225,-2.770238,90.196002
0.175533,-0.27022,0.092742,0.335308,39945.079,2001-01-01 11:05:45.079 +0000,,,,,-1.125692,-3.040458,90.288744
0.078319,-0.267009,0.127339,0.306011,39945.05901,2001-01-01 11:05:45.059 +0000,,,,,-1.047373,-3.307467,90.416083
0.077751,-0.276341,0.229937,0.367805,39945.03905,2001-01-01 11:05:45.039 +0000,,,,,-0.969622,-3.583808,90.64602
0.183056,-0.26448,0.25626,0.411252,39945.01906,2001-01-01 11:05:45.019 +0000,,,,,-0.786566,-3.848288,90.90228
0.20839,-0.148474,0.204827,0.327758,39944.9991,2001-01-01 11:05:44.999 +0000,,,,,-0.578176,-3.996762,91.107107
0.046698,-0.055167,0.077398,0.105899,39944.97911,2001-01-01 11:05:44.979 +0000,,,,,-0.531478,-4.051929,91.184505
-0.146875,-0.025711,-0.014812,0.149843,39944.95915,2001-01-01 11:05:44.959 +0000,,,,,-0.678353,-4.07764,91.169693
-0.206059,0.059533,0.01127,0.214782,39944.93916,2001-01-01 11:05:44.939 +0000,,,,,-0.884412,-4.018107,91.180963
-0.107094,0.125587,-0.014955,0.165725,39944.91921,2001-01-01 11:05:44.919 +0000,,,,,-0.991506,-3.89252,91.166008
0.10142,-0.116324,-0.11333,0.191471,39944.89922,2001-01-01 11:05:44.899 +0000,,,,,-0.890086,-4.008844,91.052678
0.148143,-0.270819,-0.139308,0.338668,39944.87923,2001-01-01 11:05:44.879 +0000,,,,,-0.741943,-4.279663,90.91337
0.058998,-0.146829,0.054223,0.167271,39944.85927,2001-01-01 11:05:44.859 +0000,,,,,-0.682945,-4.426492,90.967593
-0.072787,0.0069,0.224946,0.23653,39944.83928,2001-01-01 11:05:44.839 +0000,,,,,-0.755732,-4.419592,91.192539
-0.075414,0.050694,0.272892,0.287623,39944.81932,2001-01-01 11:05:44.819 +0000,,,,,-0.831146,-4.368898,91.465431
0.004477,-0.072999,0.201109,0.213994,39944.79933,2001-01-01 11:05:44.799 +0000,,,,,-0.826669,-4.441897,91.66654
-0.058597,-0.011303,0.183419,0.192883,39944.77937,2001-01-01 11:05:44.779 +0000,,,,,-0.885266,-4.4532,91.849959
-0.261155,0.339237,0.268717,0.505463,39944.75939,2001-01-01 11:05:44.759 +0000,,,,,-1.146421,-4.113963,92.118676
-0.253863,0.513052,0.336679,0.664094,39944.73943,2001-01-01 11:05:44.739 +0000,,,,,-1.400284,-3.600911,92.455355
0.090964,-0.006639,0.300883,0.314403,39944.71944,2001-01-01 11:05:44.719 +0000,,,,,-1.30932,-3.60755,92.756238
0.275888,-0.613615,0.339042,0.753384,39944.69945,2001-01-01 11:05:44.699 +0000,,,,,-1.033432,-4.221165,93.09528
0.268826,-0.743047,0.554117,0.965107,39944.67949,2001-01-01 11:05:44.679 +0000,,,,,-0.764606,-4.964212,93.649397
-0.062191,-0.635658,0.569756,0.855891,39944.6595,2001-01-01 11:05:44.660 +0000,,,,,-0.826797,-5.59987,94.219153
-0.403035,-0.442507,0.377804,0.707803,39944.63954,2001-01-01 11:05:44.640 +0000,,,,,-1.229832,-6.042377,94.596957
