x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,,,,,,,X_Angle,Y_angle,Z_angle
-0.258331,-0.497192,-0.807526,0.98287,217445.1516,2001-01-03 12:24:05.152 +0000,,,,,,-0.272411025,-0.58642177,-0.693846192,,-0.265957672,-0.530375677,-0.606583941
-0.251816,-0.479248,-0.856064,1.012885,217445.1418,2001-01-03 12:24:05.142 +0000,,,,,,-0.256671405,-0.537073486,-0.632403441,,-0.25124771,-0.492864687,-0.563905433
-0.215027,-0.457031,-0.893631,1.026494,217445.132,2001-01-03 12:24:05.132 +0000,,,,,,-0.214230079,-0.497239214,-0.565208747,,-0.21104014,-0.461436542,-0.514444761
-0.183105,-0.452301,-0.926529,1.047167,217445.1222,2001-01-03 12:24:05.122 +0000,,,,,,-0.177593472,-0.478904761,-0.526652313,,-0.17576096,-0.446629446,-0.484741418
-0.186691,-0.472992,-0.916672,1.048266,217445.1124,2001-01-03 12:24:05.112 +0000,,,,,,-0.180988397,-0.505608957,-0.554726954,,-0.179050151,-0.4681247,-0.506465105
-0.21077,-0.486816,-0.821487,0.977883,217445.1026,2001-01-03 12:24:05.103 +0000,,,,,,-0.220725083,-0.574011264,-0.645761291,,-0.217241809,-0.521090901,-0.573389687
-0.260284,-0.510651,-0.79541,0.980403,217445.0928,2001-01-03 12:24:05.093 +0000,,,,,,-0.275368595,-0.61015956,-0.720584154,,-0.268708858,-0.547856295,-0.624407663
-0.272934,-0.569672,-0.655228,0.910133,217445.083,2001-01-03 12:24:05.083 +0000,,,,,,-0.314351251,-0.802580483,-0.964060801,,-0.304570528,-0.676312428,-0.767101791
-0.218536,-0.500198,-0.845901,1.00673,217445.0732,2001-01-03 12:24:05.073 +0000,,,,,,-0.22237779,-0.572522389,-0.645292393,,-0.218817187,-0.519970296,-0.573058709
-0.212372,-0.503922,-0.845596,1.007011,217445.0634,2001-01-03 12:24:05.063 +0000,,,,,,-0.215745674,-0.57798705,-0.646697492,,-0.212488779,-0.524076229,-0.574050093
-0.203125,-0.504944,-0.841385,1.002076,217445.0536,2001-01-03 12:24:05.054 +0000,,,,,,-0.207001468,-0.583374806,-0.646872131,,-0.204118587,-0.528105391,-0.574173224
-0.198257,-0.503601,-0.838165,0.997718,217445.0438,2001-01-03 12:24:05.044 +0000,,,,,,-0.202753812,-0.584703158,-0.645720905,,-0.200042048,-0.529095885,-0.573361185
-0.196671,-0.500214,-0.837784,0.995377,217445.0341,2001-01-03 12:24:05.034 +0000,,,,,,-0.201557953,-0.581266473,-0.641559358,,-0.198893141,-0.526530947,-0.57041865
-0.190567,-0.496399,-0.846405,0.999564,217445.0243,2001-01-03 12:24:05.024 +0000,,,,,,-0.194212257,-0.572156685,-0.628211666,,-0.191824279,-0.519694828,-0.560905495
-0.189941,-0.4944,-0.851318,1.002623,217445.0145,2001-01-03 12:24:05.014 +0000,,,,,,-0.192938061,-0.566810027,-0.622130567,,-0.190596105,-0.515657516,-0.556533242
-0.188217,-0.495468,-0.851486,1.002967,217445.0047,2001-01-03 12:24:05.005 +0000,,,,,,-0.191054506,-0.568171078,-0.622456946,,-0.188779514,-0.51668702,-0.556768512
-0.191986,-0.487106,-0.860046,1.006882,217444.9949,2001-01-03 12:24:04.995 +0000,,,,,,-0.194237503,-0.552767109,-0.608775687,,-0.191848607,-0.504965188,-0.546847237
-0.19545,-0.482483,-0.866882,1.011175,217444.9851,2001-01-03 12:24:04.985 +0000,,,,,,-0.197005166,-0.542944006,-0.600505634,,-0.19451426,-0.497409805,-0.540791207
-0.189301,-0.476639,-0.867065,1.007384,217444.9753,2001-01-03 12:24:04.975 +0000,,,,,,-0.191321848,-0.537064733,-0.591483188,,-0.189037429,-0.492857893,-0.534133602
-0.186325,-0.470947,-0.870453,1.007073,217444.9655,2001-01-03 12:24:04.965 +0000,,,,,,-0.188266676,-0.529051942,-0.581842178,,-0.186088485,-0.486618139,-0.526961155
-0.181946,-0.471558,-0.874771,1.010295,217444.9557,2001-01-03 12:24:04.956 +0000,,,,,,-0.183085477,-0.527769465,-0.577798855,,-0.181079967,-0.485615591,-0.52393515
-0.180847,-0.475494,-0.864243,1.002854,217444.9459,2001-01-03 12:24:04.946 +0000,,,,,,-0.183338023,-0.538521578,-0.588635456,,-0.181324312,-0.493987912,-0.532021307
-0.180191,-0.479523,-0.856216,0.997756,217444.9361,2001-01-03 12:24:04.936 +0000,,,,,,-0.183615397,-0.548044312,-0.598284519,,-0.181592652,-0.501340483,-0.539157162
-0.180954,-0.493423,-0.840332,0.991145,217444.9263,2001-01-03 12:24:04.926 +0000,,,,,,-0.185691625,-0.574018519,-0.625416413,,-0.183600421,-0.521096358,-0.558898702
-0.179535,-0.50264,-0.82663,0.98397,217444.9165,2001-01-03 12:24:04.916 +0000,,,,,,-0.185575024,-0.59420604,-0.645683449,,-0.183487704,-0.536148344,-0.573334751
-0.182922,-0.509567,-0.822342,0.984564,217444.9067,2001-01-03 12:24:04.907 +0000,,,,,,-0.189081954,-0.604869665,-0.658369196,,-0.186875739,-0.543992445,-0.582236181
-0.183151,-0.508575,-0.826675,0.987717,217444.8969,2001-01-03 12:24:04.897 +0000,,,,,,-0.188701174,-0.600640843,-0.653882878,,-0.186508077,-0.540890575,-0.579099995
-0.183365,-0.511139,-0.829895,0.991772,217444.8871,2001-01-03 12:24:04.887 +0000,,,,,,-0.188129631,-0.601403084,-0.654340471,,-0.185956128,-0.541450541,-0.579420469
-0.183517,-0.509033,-0.849579,1.007262,217444.8773,2001-01-03 12:24:04.877 +0000,,,,,,-0.185295187,-0.585651619,-0.636907904,,-0.18321717,-0.529802409,-0.567116512
-0.185226,-0.507523,-0.854355,1.010846,217444.8675,2001-01-03 12:24:04.868 +0000,,,,,,-0.186394435,-0.580554993,-0.632368099,,-0.184279719,-0.525998983,-0.563880187
-0.187592,-0.508286,-0.855225,1.0124,217444.8577,2001-01-03 12:24:04.858 +0000,,,,,,-0.188559486,-0.580528549,-0.633515527,,-0.186371257,-0.525979205,-0.564699418
-0.188126,-0.509613,-0.863815,1.020428,217444.8479,2001-01-03 12:24:04.848 +0000,,,,,,-0.187575172,-0.576444081,-0.628870916,,-0.185420568,-0.522918867,-0.561378054
-0.192932,-0.508591,-0.865372,1.022133,217444.8381,2001-01-03 12:24:04.838 +0000,,,,,,-0.192209354,-0.573630366,-0.628579938,,-0.189893454,-0.520804354,-0.561169512
-0.195404,-0.507233,-0.864716,1.021372,217444.8283,2001-01-03 12:24:04.828 +0000,,,,,,-0.194915464,-0.572162383,-0.628610687,,-0.192501837,-0.51969912,-0.561191552
-0.200256,-0.503387,-0.862961,1.018922,217444.8185,2001-01-03 12:24:04.819 +0000,,,,,,-0.200446499,-0.568226324,-0.62778882,,-0.197824849,-0.516728783,-0.560602246
-0.204117,-0.497635,-0.861572,1.015682,217444.8087,2001-01-03 12:24:04.809 +0000,,,,,,-0.205150805,-0.562032176,-0.624289312,,-0.202343316,-0.512034009,-0.558088096
-0.200836,-0.493317,-0.855423,1.007693,217444.7989,2001-01-03 12:24:04.799 +0000,,,,,,-0.203383033,-0.561427803,-0.62265326,,-0.20064635,-0.511574599,-0.556909991
-0.186584,-0.491043,-0.858139,1.006151,217444.7891,2001-01-03 12:24:04.789 +0000,,,,,,-0.188716682,-0.559154046,-0.612134962,,-0.186523051,-0.509844093,-0.549294519
-0.181366,-0.492615,-0.857239,1.005197,217444.7793,2001-01-03 12:24:04.779 +0000,,,,,,-0.183438807,-0.562208051,-0.612362603,,-0.181421817,-0.512167655,-0.549460094
-0.17395,-0.494507,-0.852051,1.000393,217444.7695,2001-01-03 12:24:04.770 +0000,,,,,,-0.176571408,-0.568643253,-0.615232736,,-0.174769972,-0.517043894,-0.551544813
-0.168396,-0.494659,-0.847458,0.995605,217444.7597,2001-01-03 12:24:04.760 +0000,,,,,,-0.171611884,-0.572504247,-0.616593189,,-0.169956348,-0.519956632,-0.552531114
-0.162704,-0.491333,-0.843063,0.989261,217444.7499,2001-01-03 12:24:04.750 +0000,,,,,,-0.166741039,-0.572235871,-0.613918456,,-0.165221038,-0.519754482,-0.550590849
-0.16069,-0.491028,-0.846725,0.991904,217444.7401,2001-01-03 12:24:04.740 +0000,,,,,,-0.164170217,-0.569745217,-0.610177411,,-0.162718721,-0.517876204,-0.547869302
-0.158585,-0.483978,-0.848434,0.989558,217444.7303,2001-01-03 12:24:04.730 +0000,,,,,,-0.16235694,-0.560725824,-0.600279413,,-0.160952522,-0.511040697,-0.540624926
-0.154373,-0.478195,-0.853439,0.990384,217444.7205,2001-01-03 12:24:04.721 +0000,,,,,,-0.157800687,-0.551367926,-0.588788718,,-0.156510113,-0.503892835,-0.532135123
-0.147064,-0.473709,-0.857269,0.990424,217444.7107,2001-01-03 12:24:04.711 +0000,,,,,,-0.150150509,-0.544623372,-0.578595673,,-0.149037141,-0.498705912,-0.524532324
-0.136688,-0.475143,-0.86055,0.992467,217444.701,2001-01-03 12:24:04.701 +0000,,,,,,-0.139050574,-0.545302741,-0.574531716,,-0.138164646,-0.499229718,-0.521482281
-0.134705,-0.475296,-0.86235,0.993831,217444.6912,2001-01-03 12:24:04.691 +0000,,,,,,-0.136803673,-0.54455993,-0.572871706,,-0.135959692,-0.498656982,-0.520233339
-0.130966,-0.479874,-0.852173,0.986727,217444.6814,2001-01-03 12:24:04.681 +0000,,,,,,-0.133912494,-0.556583439,-0.583713068,,-0.133120533,-0.50788362,-0.528357727
-0.130707,-0.487793,-0.845673,0.984981,217444.6716,2001-01-03 12:24:04.672 +0000,,,,,,-0.133883948,-0.570041824,-0.597159088,,-0.13309249,-0.518100095,-0.538327976
-0.135086,-0.496353,-0.843475,0.98796,217444.6618,2001-01-03 12:24:04.662 +0000,,,,,,-0.138028641,-0.581057328,-0.609866288,,-0.137161958,-0.526374607,-0.547642557
-0.141983,-0.500076,-0.841736,0.98932,217444.652,2001-01-03 12:24:04.652 +0000,,,,,,-0.145016913,-0.585825113,-0.617582583,,-0.144012986,-0.529931584,-0.553247653
-0.153107,-0.501511,-0.850357,0.99903,217444.6422,2001-01-03 12:24:04.642 +0000,,,,,,-0.155087687,-0.580432027,-0.616636955,,-0.153861928,-0.52590701,-0.552562824
-0.157028,-0.496979,-0.878159,1.02118,217444.6324,2001-01-03 12:24:04.632 +0000,,,,,,-0.155621977,-0.557096377,-0.59351054,,-0.154383627,-0.508275155,-0.535634175
-0.152603,-0.497757,-0.909073,1.047599,217444.6226,2001-01-03 12:24:04.623 +0000,,,,,,-0.147239861,-0.539988127,-0.57269806,,-0.146189459,-0.495124071,-0.52010259
-0.152893,-0.489838,-0.923645,1.056616,217444.6128,2001-01-03 12:24:04.613 +0000,,,,,,-0.146239715,-0.523211662,-0.55556491,,-0.145210394,-0.482044039,-0.507105652
-0.167282,-0.500092,-0.922333,1.062437,217444.603,2001-01-03 12:24:04.603 +0000,,,,,,-0.159439873,-0.533499704,-0.571733238,,-0.158109069,-0.490086845,-0.519375756
-0.183685,-0.49617,-0.904694,1.048044,217444.5932,2001-01-03 12:24:04.593 +0000,,,,,,-0.178020108,-0.537473219,-0.58481569,,-0.176174521,-0.493174878,-0.529179742
-0.19545,-0.506332,-0.883865,1.037204,217444.5834,2001-01-03 12:24:04.583 +0000,,,,,,-0.191876993,-0.559348677,-0.614059398,,-0.189572916,-0.509992353,-0.550693205
-0.192596,-0.521637,-0.858017,1.022444,217444.5736,2001-01-03 12:24:04.574 +0000,,,,,,-0.191801827,-0.593195988,-0.648071184,,-0.189500417,-0.535401529,-0.575018092
-0.186188,-0.528351,-0.82753,0.999313,217444.5638,2001-01-03 12:24:04.564 +0000,,,,,,-0.189636542,-0.622896117,-0.676950762,,-0.187411129,-0.55708498,-0.595088609
-0.200455,-0.539917,-0.801132,0.986664,217444.554,2001-01-03 12:24:04.554 +0000,,,,,,-0.207491803,-0.653787339,-0.718892239,,-0.204588729,-0.579033067,-0.623293111
-0.219009,-0.548767,-0.758575,0.961534,217444.5442,2001-01-03 12:24:04.544 +0000,,,,,,-0.233919202,-0.695031118,-0.778901822,,-0.229787479,-0.607383354,-0.661743153
-0.231903,-0.535065,-0.746613,0.947367,217444.5344,2001-01-03 12:24:04.534 +0000,,,,,,-0.25246767,-0.684402091,-0.781071666,,-0.247299825,-0.600180682,-0.663092241
-0.215683,-0.558441,-0.793564,0.994042,217444.5246,2001-01-03 12:24:04.525 +0000,,,,,,-0.222270922,-0.679077732,-0.754374852,,-0.218715353,-0.596545734,-0.64629514
-0.175095,-0.485672,-0.819733,0.968761,217444.5148,2001-01-03 12:24:04.515 +0000,,,,,,-0.183767713,-0.57940558,-0.629803621,,-0.181739997,-0.525138887,-0.562046149
-0.179306,-0.526947,-0.830658,0.999908,217444.505,2001-01-03 12:24:04.505 +0000,,,,,,-0.182277102,-0.620090713,-0.670093066,,-0.180297698,-0.55506125,-0.590370976
-0.141342,-0.496124,-0.857117,1.000383,217444.4952,2001-01-03 12:24:04.495 +0000,,,,,,-0.142719572,-0.571115615,-0.601860527,,-0.141762232,-0.518910161,-0.541786412
-0.119949,-0.492661,-0.863876,1.001691,217444.4854,2001-01-03 12:24:04.485 +0000,,,,,,-0.12061442,-0.564872173,-0.586950998,,-0.12003458,-0.51418964,-0.530769389
-0.101135,-0.489502,-0.871399,1.004578,217444.4756,2001-01-03 12:24:04.476 +0000,,,,,,-0.101188217,-0.557997119,-0.573606891,,-0.100844967,-0.508962293,-0.520786691
-0.093399,-0.48584,-0.873276,1.00368,217444.4658,2001-01-03 12:24:04.466 +0000,,,,,,-0.093462039,-0.553186959,-0.566528991,,-0.093191321,-0.505286719,-0.515444789
-0.091522,-0.486206,-0.868271,0.999333,217444.456,2001-01-03 12:24:04.456 +0000,,,,,,-0.091969564,-0.556885193,-0.569804744,,-0.091711567,-0.508113974,-0.517921142
-0.093384,-0.486588,-0.862656,0.994818,217444.4463,2001-01-03 12:24:04.446 +0000,,,,,,-0.09428672,-0.560781806,-0.574351669,,-0.094008799,-0.511083287,-0.521346905
