x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,X_Gangle,Y_Gangle,Z_Gangle
-0.004963,-0.019293,-0.045927,0.050061,5194.609228,2001-01-01 01:26:34.609 +0000,,,,-0.004963,-0.019293,-0.045927
-0.008364,-0.018148,-0.012829,0.023746,5194.589239,2001-01-01 01:26:34.589 +0000,,,,-0.013327,-0.037441,-0.058756
-0.02439,-0.008575,-0.014032,0.029416,5194.569281,2001-01-01 01:26:34.569 +0000,,,,-0.037717,-0.046016,-0.072788
-0.024416,-0.004311,-0.012975,0.027984,5194.549292,2001-01-01 01:26:34.549 +0000,,,,-0.062133,-0.050327,-0.085763
-0.012664,-0.011757,-0.011807,0.020928,5194.529333,2001-01-01 01:26:34.529 +0000,,,,-0.074797,-0.062084,-0.09757
-0.013729,-0.011758,-0.011814,0.021594,5194.509344,2001-01-01 01:26:34.509 +0000,,,,-0.088526,-0.073842,-0.109384
-0.013729,-0.011758,-0.011814,0.021594,5194.489386,2001-01-01 01:26:34.489 +0000,,,,-0.102255,-0.0856,-0.121198
-0.012652,-0.012825,-0.012873,0.022142,5194.469397,2001-01-01 01:26:34.469 +0000,,,,-0.114907,-0.098425,-0.134071
-0.014779,-0.013892,-0.012884,0.024029,5194.449408,2001-01-01 01:26:34.449 +0000,,,,-0.129686,-0.112317,-0.146955
-0.014774,-0.014957,-0.012881,0.024655,5194.429449,2001-01-01 01:26:34.429 +0000,,,,-0.14446,-0.127274,-0.159836
-0.014774,-0.014957,-0.012881,0.024655,5194.40946,2001-01-01 01:26:34.409 +0000,,,,-0.159234,-0.142231,-0.172717
-0.014785,-0.013889,-0.011816,0.023476,5194.389502,2001-01-01 01:26:34.390 +0000,,,,-0.174019,-0.15612,-0.184533
-0.014785,-0.013889,-0.011816,0.023476,5194.36953,2001-01-01 01:26:34.370 +0000,,,,-0.188804,-0.170009,-0.196349
-0.016927,-0.01176,-0.011836,0.023768,5194.349571,2001-01-01 01:26:34.350 +0000,,,,-0.205731,-0.181769,-0.208185
-0.012647,-0.01389,-0.01287,0.022771,5194.329582,2001-01-01 01:26:34.330 +0000,,,,-0.218378,-0.195659,-0.221055
-0.013746,-0.009624,-0.010752,0.019929,5194.309624,2001-01-01 01:26:34.310 +0000,,,,-0.232124,-0.205283,-0.231807
-0.015865,-0.009631,-0.012903,0.022604,5194.289635,2001-01-01 01:26:34.290 +0000,,,,-0.247989,-0.214914,-0.24471
-0.016942,-0.008564,-0.011845,0.022376,5194.269676,2001-01-01 01:26:34.270 +0000,,,,-0.264931,-0.223478,-0.256555
-0.014828,-0.007492,-0.009696,0.019236,5194.249687,2001-01-01 01:26:34.250 +0000,,,,-0.279759,-0.23097,-0.266251
-0.017986,-0.011763,-0.012912,0.025072,5194.229698,2001-01-01 01:26:34.230 +0000,,,,-0.297745,-0.242733,-0.279163
-0.016931,-0.009632,-0.01291,0.023369,5194.20974,2001-01-01 01:26:34.210 +0000,,,,-0.314676,-0.252365,-0.292073
-0.015798,-0.012848,-0.021442,0.029571,5194.189751,2001-01-01 01:26:34.190 +0000,,,,-0.330474,-0.265213,-0.313515
-0.010459,-0.014975,-0.0214,0.028136,5194.169792,2001-01-01 01:26:34.170 +0000,,,,-0.340933,-0.280188,-0.334915
-0.013049,-0.017975,0.05766,0.061791,5194.149803,2001-01-01 01:26:34.150 +0000,,,,-0.353982,-0.298163,-0.277255
-0.024019,-0.007221,0.101366,0.104423,5194.129845,2001-01-01 01:26:34.130 +0000,,,,-0.378001,-0.305384,-0.175889
-0.020551,-0.005206,0.054369,0.058356,5194.109856,2001-01-01 01:26:34.110 +0000,,,,-0.398552,-0.31059,-0.12152
-0.331563,0.374296,0.251051,0.559515,5194.089897,2001-01-01 01:26:34.090 +0000,,,,-0.730115,0.063706,0.129531
-0.074754,-0.046773,0.061596,0.107564,5194.069908,2001-01-01 01:26:34.070 +0000,,,,-0.804869,0.016933,0.191127
-0.104415,0.01311,0.161673,0.192906,5194.049919,2001-01-01 01:26:34.050 +0000,,,,-0.909284,0.030043,0.3528
-0.018189,0.000016,0.011631,0.02159,5194.029961,2001-01-01 01:26:34.030 +0000,,,,-0.927473,0.030059,0.364431
-0.020323,0.00852,0.005182,0.022638,5194.009972,2001-01-01 01:26:34.010 +0000,,,,-0.947796,0.038579,0.369613
-0.021234,-0.001113,-0.012962,0.024903,5193.990013,2001-01-01 01:26:33.990 +0000,,,,-0.96903,0.037466,0.356651
-0.022225,-0.01284,-0.016143,0.030322,5193.970024,2001-01-01 01:26:33.970 +0000,,,,-0.991255,0.024626,0.340508
-0.02329,-0.011778,-0.017221,0.031268,5193.950066,2001-01-01 01:26:33.950 +0000,,,,-1.014545,0.012848,0.323287
-0.019008,-0.017099,-0.016109,0.030219,5193.930077,2001-01-01 01:26:33.930 +0000,,,,-1.033553,-0.004251,0.307178
-0.019059,-0.007509,-0.015067,0.02543,5193.910118,2001-01-01 01:26:33.910 +0000,,,,-1.052612,-0.01176,0.292111
-0.023326,-0.000068,-0.020459,0.031027,5193.890129,2001-01-01 01:26:33.890 +0000,,,,-1.075938,-0.011828,0.271652
-0.028653,-0.008578,-0.014061,0.03305,5193.87014,2001-01-01 01:26:33.870 +0000,,,,-1.104591,-0.020406,0.257591
-0.028691,-0.008562,-0.00765,0.030903,5193.850182,2001-01-01 01:26:33.850 +0000,,,,-1.133282,-0.028968,0.249941
