x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X_angle,Y_angle,Z_angle,,X_angle,Y_angle,Z_angle,,,X_Gangle,Y_Gangle,Z_Gangle,,,z_times_g,,Z_axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015472,-0.016525,-1.001648,1.001904,5194.594702,2001-01-01 01:26:34.595 +0000,,,,0.015444442,-0.016495844,-0.022600299,,0.015443215,-0.016494348,-0.022596452,,,-0.013327,-0.037441,-0.058756,,,-1.001648,,-62.41229576,,9 = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.016479,-0.022156,-1.015869,1.016244,5194.57511,2001-01-01 01:26:34.575 +0000,,,,0.016217723,-0.02180703,-0.027181084,,0.016216301,-0.021803574,-0.027174393,,,-0.037717,-0.046016,-0.072788,,,-1.015869,,-63.29840072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.018646,-0.020859,-1.003189,1.003579,5194.555518,2001-01-01 01:26:34.556 +0000,,,,0.01858271,-0.020789101,-0.02788911,,0.018580572,-0.020786107,-0.027881883,,,-0.062133,-0.050327,-0.085763,,,-1.003189,,-62.50831487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015182,-0.022003,-1.008072,1.008426,5194.535925,2001-01-01 01:26:34.536 +0000,,,,0.015056846,-0.021824339,-0.026518417,,0.015055708,-0.021820875,-0.026512203,,,-0.074797,-0.062084,-0.09757,,,-1.008072,,-62.81257269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x_rad_per_sec
0.015732,-0.020157,-1.00589,1.006215,5194.516333,2001-01-01 01:26:34.516 +0000,,,,0.015636742,-0.02003652,-0.0254198,,0.015635468,-0.020033839,-0.025414327,,,-0.088526,-0.073842,-0.109384,,,-1.00589,,-62.67661313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010284,-0.01709,-1.00563,1.005828,5194.49671,2001-01-01 01:26:34.497 +0000,,,,0.010224949,-0.016993433,-0.01983398,,0.010224592,-0.016991798,-0.01983138,,,-0.102255,-0.0856,-0.121198,,,-1.00563,,-62.66041263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.012466,-0.016098,-0.998108,0.998316,5194.477118,2001-01-01 01:26:34.477 +0000,,,,0.012488006,-0.016127257,-0.020399016,,0.012487357,-0.016125859,-0.020396188,,,-0.114907,-0.098425,-0.134071,,,-0.998108,,-62.19171975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01416,-0.016953,-1.005386,1.005629,5194.457526,2001-01-01 01:26:34.458 +0000,,,,0.014082141,-0.016860508,-0.021970348,,0.01408121,-0.016858911,-0.021966814,,,-0.129686,-0.112317,-0.146955,,,-1.005386,,-62.64520908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.012039,-0.013657,-1.004028,1.004193,5194.437933,2001-01-01 01:26:34.438 +0000,,,,0.011989592,-0.013601233,-0.018132762,,0.011989018,-0.013600394,-0.018130775,,,-0.14446,-0.127274,-0.159836,,,-1.004028,,-62.56059263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.012634,-0.018723,-1.003433,1.003687,5194.418341,2001-01-01 01:26:34.418 +0000,,,,0.012588585,-0.018657465,-0.022509638,,0.01258792,-0.018655301,-0.022505838,,,-0.159234,-0.142231,-0.172717,,,-1.003433,,-62.52351842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
