x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-axis,Y-axis,Z-axis
0.020554,-1.009384,-0.023773,1.009873,39661.16874,2001-01-01 11:01:01.169 +0000,,,,1.155065161,-89.94394103,-1.336087881
-0.00444,-1.005219,-0.022614,1.005483,39661.14914,2001-01-01 11:01:01.149 +0000,,,,-0.251629585,-89.96972936,-1.282028529
0.001343,-1.007446,-0.008759,1.007485,39661.12955,2001-01-01 11:01:01.130 +0000,,,,0.075809218,-89.99553571,-0.494449634
-0.007111,-1.005402,-0.064514,1.007494,39661.10996,2001-01-01 11:01:01.110 +0000,,,,-0.401404474,-89.7599343,-3.651630436
0.048569,-1.016129,-0.008759,1.017326,39661.09037,2001-01-01 11:01:01.090 +0000,,,,2.692972221,-89.86266344,-0.48492885
-0.003128,-1.003693,0.063553,1.005708,39661.07077,2001-01-01 11:01:01.071 +0000,,,,-0.177193777,-89.768879,3.60975349
0.030777,-1.012787,-0.11496,1.019755,39661.05118,2001-01-01 11:01:01.051 +0000,,,,1.696781447,-89.19881758,-6.388914169
-0.011917,-1.004196,-0.116882,1.011046,39661.03159,2001-01-01 11:01:01.032 +0000,,,,-0.668019024,-89.21247825,-6.610572478
0.011185,-1.006912,-0.00499,1.006987,39661.012,2001-01-01 11:01:01.012 +0000,,,,0.632043999,-89.99146592,-0.281957117
-0.005722,-1.005814,0.014359,1.005932,39660.99241,2001-01-01 11:01:00.992 +0000,,,,-0.323997761,-89.98639143,0.81314551
0.01532,-1.010345,-0.057907,1.012119,39660.97281,2001-01-01 11:01:00.973 +0000,,,,0.857008924,-89.79653442,-3.246007226
0.01236,-1.008331,-0.055771,1.009948,39660.95325,2001-01-01 11:01:00.953 +0000,,,,0.694363743,-89.81458082,-3.139241309
0.00618,-1.007889,-0.057449,1.009544,39660.93366,2001-01-01 11:01:00.934 +0000,,,,0.34743349,-89.81021293,-3.236689611
-0.005081,-1.001587,-0.033005,1.002143,39660.91407,2001-01-01 11:01:00.914 +0000,,,,-0.289880789,-89.93620961,-1.884331137
0.012375,-1.010071,-0.026154,1.010485,39660.89447,2001-01-01 11:01:00.894 +0000,,,,0.69446713,-89.95251336,-1.468238789
0.011398,-1.007507,-0.022125,1.007815,39660.87488,2001-01-01 11:01:00.875 +0000,,,,0.643024509,-89.96477526,-1.248491099
0.015503,-1.007614,-0.029694,1.008171,39660.85529,2001-01-01 11:01:00.855 +0000,,,,0.874056096,-89.93619711,-1.674852003
-0.000229,-1.002655,-0.058594,1.004366,39660.8357,2001-01-01 11:01:00.836 +0000,,,,-0.013006919,-89.80380906,-3.335659156
0.006653,-1.008026,-0.135178,1.017071,39660.81611,2001-01-01 11:01:00.816 +0000,,,,0.368510671,-88.95896529,-7.577463894
0.012161,-1.008072,-0.11763,1.014985,39660.79651,2001-01-01 11:01:00.797 +0000,,,,0.676417978,-89.20520385,-6.601862418
-0.007965,-0.999222,-0.09053,1.003346,39660.77692,2001-01-01 11:01:00.777 +0000,,,,-0.453341054,-89.52643103,-5.180573197
0.005005,-1.002823,-0.046188,1.003898,39660.75737,2001-01-01 11:01:00.757 +0000,,,,0.284547169,-89.87668371,-2.629585719
-0.006302,-0.999496,-0.073975,1.00225,39660.73778,2001-01-01 11:01:00.738 +0000,,,,-0.359468405,-89.68403024,-4.234833838
0.013107,-1.006332,-0.136078,1.015576,39660.71819,2001-01-01 11:01:00.718 +0000,,,,0.728199997,-88.93605976,-7.651764876
0.006104,-1.003418,-0.112,1.009668,39660.6986,2001-01-01 11:01:00.699 +0000,,,,0.343076435,-89.28164162,-6.347155926
0.008286,-1.001404,-0.073868,1.004159,39660.679,2001-01-01 11:01:00.679 +0000,,,,0.470849892,-89.68388142,-4.212569367
