x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-axis,Y-aixs,Z-aixs,,Action1,Minimum,Maximum
-0.000259,-0.004532,-1.006927,1.006938,39127.40333,2001-01-01 10:52:07.403 +0000,,,,-0.014635839,-0.256102399,-89.99882901,,X-axis,,
-0.003159,-0.00029,-1.008713,1.008718,39127.38374,2001-01-01 10:52:07.384 +0000,,,,-0.177883472,-0.01632981,-89.99942993,,Y-aixs,,
0.001465,-0.001785,-1.008087,1.00809,39127.36415,2001-01-01 10:52:07.364 +0000,,,,0.082596677,-0.100638341,-89.99969846,,Z-aixs,,
0.003769,0.000259,-1.0224,1.022407,39127.34455,2001-01-01 10:52:07.345 +0000,,,,0.206588045,0.014196288,-89.9992017,,,,
-0.00322,-0.001114,-1.008591,1.008596,39127.32496,2001-01-01 10:52:07.325 +0000,,,,-0.181362024,-0.062744123,-89.99934203,,,,
-0.002182,-0.002365,-1.005768,1.005773,39127.30537,2001-01-01 10:52:07.305 +0000,,,,-0.123588677,-0.133953888,-89.99941168,,,,
0.000473,-0.004745,-1.001846,1.001858,39127.28578,2001-01-01 10:52:07.286 +0000,,,,0.027000516,-0.270865434,-89.9987011,,,,
-0.003525,-0.00415,-1.007462,1.007476,39127.26618,2001-01-01 10:52:07.266 +0000,,,,-0.19898269,-0.234264052,-89.9983154,,,,
-0.000656,-0.001846,-1.005585,1.005587,39127.24661,2001-01-01 10:52:07.247 +0000,,,,-0.037169557,-0.104596246,-89.99978285,,,,
-0.033203,-0.042694,-1.006119,1.007571,39127.22702,2001-01-01 10:52:07.227 +0000,,,,-1.875274418,-2.412466598,-89.83341875,,,,
0.002243,-0.017166,-0.999313,0.999463,39127.20743,2001-01-01 10:52:07.207 +0000,,,,0.128653018,-0.984790195,-89.98281804,,,,
0.008316,0.020065,-1.010254,1.010487,39127.18784,2001-01-01 10:52:07.188 +0000,,,,0.46665409,1.126199382,-89.97324603,,,,
0.00119,0.006165,-1.005859,1.005879,39127.16825,2001-01-01 10:52:07.168 +0000,,,,0.067387427,0.34912064,-89.9977559,,,,
0.015991,-0.002029,-1.03093,1.031056,39127.14865,2001-01-01 10:52:07.149 +0000,,,,0.86199641,-0.109355675,-89.98556108,,,,
0.020508,-0.041885,-1.001907,1.002992,39127.12906,2001-01-01 10:52:07.129 +0000,,,,1.168348969,-2.388321433,-89.87562453,,,,
-0.031799,0.052704,-1.044174,1.045987,39127.10947,2001-01-01 10:52:07.109 +0000,,,,-1.666337067,2.764907313,-89.79209908,,,,
-0.022751,-0.03035,-1.288696,1.289254,39127.08988,2001-01-01 10:52:07.090 +0000,,,,-0.784430046,-1.046638549,-89.93603521,,,,
0.023621,0.025101,-0.617661,0.618621,39127.07028,2001-01-01 10:52:07.070 +0000,,,,3.537135474,3.758849416,-89.88979872,,,,
0.01416,0.02005,-1.058975,1.05926,39127.05069,2001-01-01 10:52:07.051 +0000,,,,0.723162272,1.024098445,-89.96740287,,,,
0.037018,-0.02446,-1.001266,1.002249,39127.0311,2001-01-01 10:52:07.031 +0000,,,,2.113394287,-1.395728732,-89.88735045,,,,
-0.004913,-0.017151,-1.065704,1.065854,39127.01151,2001-01-01 10:52:07.012 +0000,,,,-0.247788437,-0.865160446,-89.98288898,,,,
0.04924,0.047333,-0.894852,0.897454,39126.99191,2001-01-01 10:52:06.992 +0000,,,,3.508984168,3.372634286,-89.7013132,,,,
-0.083878,0.023529,-1.073593,1.077122,39126.97235,2001-01-01 10:52:06.972 +0000,,,,-4.160242493,1.162369729,-89.59498954,,,,
0.024612,-0.092422,-0.962799,0.967538,39126.95273,2001-01-01 10:52:06.953 +0000,,,,1.507004566,-5.689996861,-89.45564932,,,,
0.040695,-0.061066,-1.015091,1.01774,39126.93317,2001-01-01 10:52:06.933 +0000,,,,2.253516993,-3.386169333,-89.69604566,,,,
0.05954,0.045517,-1.177765,1.180147,39126.91358,2001-01-01 10:52:06.914 +0000,,,,2.454145471,1.87462967,-89.72675771,,,,
-0.023621,-0.001617,-0.984848,0.985133,39126.89398,2001-01-01 10:52:06.894 +0000,,,,-1.395068389,-0.09546498,-89.96738931,,,,
-0.051971,0.037689,-1.133163,1.134981,39126.87439,2001-01-01 10:52:06.874 +0000,,,,-2.315167006,1.677705654,-89.79161104,,,,
0.09346,-0.024353,-1.128677,1.132802,39126.8548,2001-01-01 10:52:06.855 +0000,,,,4.194017943,-1.08771705,-89.52649696,,,,
0.070511,-0.149887,-0.904434,0.919478,39126.83521,2001-01-01 10:52:06.835 +0000,,,,4.795601051,-10.32207174,-88.26234608,,,,
-0.0345,-0.110794,-0.96785,0.974781,39126.81561,2001-01-01 10:52:06.816 +0000,,,,-2.081997597,-6.736950576,-89.20290486,,,,
0.015121,-0.014481,-1.142548,1.142739,39126.79602,2001-01-01 10:52:06.796 +0000,,,,0.663536885,-0.635445659,-89.97801974,,,,
0.078918,-0.089645,-0.996262,1.003395,39126.77643,2001-01-01 10:52:06.776 +0000,,,,4.509737473,-5.128882663,-89.17970825,,,,
0.033432,-0.238663,-1.007431,1.035855,39126.75684,2001-01-01 10:52:06.757 +0000,,,,1.786484178,-13.21892906,-86.70058985,,,,
-0.050751,-0.202896,-0.912003,0.935677,39126.73725,2001-01-01 10:52:06.737 +0000,,,,-3.327407878,-13.66819826,-87.25402519,,,,
-0.031174,-0.215927,-1.025299,1.048253,39126.71765,2001-01-01 10:52:06.718 +0000,,,,-1.626486771,-11.59683035,-87.34213291,,,,
0.016388,-0.231674,-1.098145,1.122436,39126.69809,2001-01-01 10:52:06.698 +0000,,,,0.745406313,-10.8724345,-87.18786561,,,,
0.029388,-0.309937,-1.048492,1.093737,39126.6785,2001-01-01 10:52:06.678 +0000,,,,1.408293742,-15.73305459,-84.71848069,,,,
-0.000488,-0.331985,-0.868576,0.92986,39126.65891,2001-01-01 10:52:06.659 +0000,,,,-0.032337612,-23.75192655,-82.76834347,,,,
-0.06929,-0.308777,-0.905258,0.958977,39126.63931,2001-01-01 10:52:06.639 +0000,,,,-4.331336182,-20.53575424,-83.68731275,,,,
-0.053299,-0.425262,-1.033951,1.11926,39126.61972,2001-01-01 10:52:06.620 +0000,,,,-2.441757633,-21.64012493,-79.9261159,,,,
0.04776,-0.53978,-0.959854,1.102254,39126.60013,2001-01-01 10:52:06.600 +0000,,,,2.255358483,-30.30329838,-72.98981273,,,,
0.004395,-0.465622,-0.888245,1.002897,39126.58054,2001-01-01 10:52:06.581 +0000,,,,0.250365482,-30.54668591,-76.28220119,,,,
-0.019302,-0.509521,-0.838364,0.981243,39126.56095,2001-01-01 10:52:06.561 +0000,,,,-1.148897834,-35.92510457,-72.77086785,,,,
0.002396,-0.552139,-0.826614,0.99406,39126.54135,2001-01-01 10:52:06.541 +0000,,,,0.138926958,-38.94001136,-69.75554042,,,,
0.025192,-0.66127,-0.845062,1.073333,39126.52176,2001-01-01 10:52:06.522 +0000,,,,1.253391763,-42.77370333,-62.60672898,,,,
0.089432,-0.673874,-0.753174,1.014581,39126.5022,2001-01-01 10:52:06.502 +0000,,,,5.004067909,-49.51345497,-58.46911658,,,,
0.006805,-0.627396,-0.708801,0.94661,39126.48261,2001-01-01 10:52:06.483 +0000,,,,0.435133467,-51.31078275,-60.95196255,,,,
0.024719,-0.691254,-0.671982,0.964366,39126.46301,2001-01-01 10:52:06.463 +0000,,,,1.52353445,-56.81004831,-54.54959104,,,,
-0.052475,-0.721466,-0.597153,0.938008,39126.44342,2001-01-01 10:52:06.443 +0000,,,,-3.423782701,-63.52317996,-48.77291332,,,,
0.069458,-0.866806,-0.719452,1.128622,39126.42383,2001-01-01 10:52:06.424 +0000,,,,3.133015299,-58.92206767,-43.57433324,,,,
-0.030914,-0.777054,-0.475784,0.911668,39126.40424,2001-01-01 10:52:06.404 +0000,,,,-2.132569612,-73.69323612,-38.19286447,,,,
0.038239,-0.867813,-0.39679,0.954989,39126.38465,2001-01-01 10:52:06.385 +0000,,,,2.40477364,-79.62356955,-27.73786265,,,,
-0.00061,-0.878021,-0.371368,0.953329,39126.36505,2001-01-01 10:52:06.365 +0000,,,,-0.038456286,-81.07324281,-25.72103629,,,,
-0.035599,-0.877686,-0.294891,0.926585,39126.34546,2001-01-01 10:52:06.345 +0000,,,,-2.377833908,-84.25971751,-20.91591565,,,,
-0.004974,-0.920334,-0.164001,0.934845,39126.32587,2001-01-01 10:52:06.326 +0000,,,,-0.3261043,-88.32449685,-10.95783707,,,,
-0.048721,-0.91394,-0.138885,0.925716,39126.30628,2001-01-01 10:52:06.306 +0000,,,,-3.263011368,-88.64219525,-9.41406536,,,,
