x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-accel,Y-accel,Z-accel
-0.258911,-0.395615,-0.892029,1.009585,43932.47411,2001-01-01 12:12:12.474 +0000,,,,-14.85969357,-23.07022372,-62.07484252
-0.288422,-0.345398,-1.075775,1.166096,43932.45451,2001-01-01 12:12:12.455 +0000,,,,-14.32015901,-17.22953418,-67.30094596
-0.230316,-0.379669,-1.044052,1.134566,43932.43492,2001-01-01 12:12:12.435 +0000,,,,-11.71240638,-19.55054349,-66.95855728
-0.262238,-0.455612,-0.73262,0.901711,43932.4153,2001-01-01 12:12:12.415 +0000,,,,-16.90721045,-30.34959956,-54.33869326
-0.302521,-0.460464,-0.621399,0.830472,43932.39571,2001-01-01 12:12:12.396 +0000,,,,-21.36304815,-33.67359755,-48.43888645
-0.270477,-0.405991,-0.914169,1.036191,43932.37611,2001-01-01 12:12:12.376 +0000,,,,-15.13119372,-23.06723434,-61.91376528
-0.283737,-0.383499,-0.987061,1.096297,43932.35652,2001-01-01 12:12:12.357 +0000,,,,-14.99969733,-20.47587713,-64.20528965
-0.289871,-0.393738,-0.958267,1.075793,43932.33693,2001-01-01 12:12:12.337 +0000,,,,-15.63146367,-21.46901089,-62.96816443
-0.277222,-0.423264,-0.852417,0.991271,43932.31734,2001-01-01 12:12:12.317 +0000,,,,-16.24009507,-25.27675221,-59.30792079
-0.216736,-0.434525,-0.84462,0.974253,43932.29774,2001-01-01 12:12:12.298 +0000,,,,-12.85378042,-26.48786539,-60.10507638
-0.221054,-0.450806,-0.873657,1.007655,43932.27815,2001-01-01 12:12:12.278 +0000,,,,-12.67231536,-26.57581069,-60.11422133
-0.300613,-0.451538,-0.911957,1.061094,43932.25856,2001-01-01 12:12:12.259 +0000,,,,-16.45754515,-25.18485439,-59.25486783
-0.333603,-0.441559,-0.947449,1.097235,43932.23897,2001-01-01 12:12:12.239 +0000,,,,-17.7003975,-23.73010213,-59.71046386
-0.294205,-0.441467,-0.91951,1.061578,43932.21938,2001-01-01 12:12:12.219 +0000,,,,-16.08954077,-24.57343217,-60.01687559
-0.211288,-0.449448,-0.838745,0.974751,43932.19978,2001-01-01 12:12:12.200 +0000,,,,-12.51886339,-27.45747348,-59.36952354
-0.186737,-0.430573,-0.84935,0.970391,43932.18019,2001-01-01 12:12:12.180 +0000,,,,-11.09490762,-26.34088,-61.07641291
-0.289597,-0.458511,-0.960251,1.102806,43932.1606,2001-01-01 12:12:12.161 +0000,,,,-15.2244032,-24.56766898,-60.54409607
-0.477737,-0.50531,-0.957642,1.18349,43932.14101,2001-01-01 12:12:12.141 +0000,,,,-23.80767816,-25.27516487,-54.01469081
-0.661957,-0.501419,-0.908737,1.23102,43932.12138,2001-01-01 12:12:12.121 +0000,,,,-32.52926855,-24.03658267,-47.57815729
-0.527573,-0.480652,-0.972961,1.206654,43932.10179,2001-01-01 12:12:12.102 +0000,,,,-25.92663792,-23.47411575,-53.73890289
-0.172501,-0.481277,-1.047073,1.165224,43932.0822,2001-01-01 12:12:12.082 +0000,,,,-8.513423506,-24.39557155,-63.97499591
-0.059921,-0.465698,-0.955673,1.06479,43932.06261,2001-01-01 12:12:12.063 +0000,,,,-3.22602366,-25.93566761,-63.83438901
-0.221176,-0.428101,-0.906891,1.026957,43932.04301,2001-01-01 12:12:12.043 +0000,,,,-12.43725161,-24.63673341,-62.01686121
-0.416824,-0.469696,-0.883957,1.084314,43932.02342,2001-01-01 12:12:12.023 +0000,,,,-22.60728402,-25.66912624,-54.60936362
-0.439468,-0.515808,-0.907349,1.132463,43932.00383,2001-01-01 12:12:12.004 +0000,,,,-22.83408515,-27.09547049,-53.24651571
-0.297256,-0.589874,-1.01825,1.213732,43931.98424,2001-01-01 12:12:11.984 +0000,,,,-14.17655815,-29.07802264,-57.02849648
-0.220917,-0.586624,-1.039993,1.214297,43931.96465,2001-01-01 12:12:11.965 +0000,,,,-10.48219371,-28.88790672,-58.92104956
-0.177551,-0.535339,-0.989655,1.139091,43931.94505,2001-01-01 12:12:11.945 +0000,,,,-8.967298947,-28.03236186,-60.32074947
-0.232651,-0.481033,-0.874924,1.025188,43931.92546,2001-01-01 12:12:11.925 +0000,,,,-13.11668214,-27.98330418,-58.58644807
-0.207245,-0.589371,-0.847824,1.053145,43931.90587,2001-01-01 12:12:11.906 +0000,,,,-11.34912168,-34.03018233,-53.61413979
-0.159927,-0.611694,-0.910522,1.108512,43931.88628,2001-01-01 12:12:11.886 +0000,,,,-8.295120014,-33.49168358,-55.22438122
-0.106415,-0.582504,-1.012085,1.172583,43931.86674,2001-01-01 12:12:11.867 +0000,,,,-5.206906921,-29.78652872,-59.66921484
-0.214981,-0.557907,-0.886169,1.069006,43931.84711,2001-01-01 12:12:11.847 +0000,,,,-11.60151122,-31.45935205,-55.99265563
-0.332489,-0.597763,-0.706161,0.983124,43931.82752,2001-01-01 12:12:11.828 +0000,,,,-19.7670265,-37.44676141,-45.91287942
-0.341858,-0.662796,-0.726318,1.041011,43931.80793,2001-01-01 12:12:11.808 +0000,,,,-19.17111349,-39.54507832,-44.24313718
-0.246536,-0.62413,-0.795319,1.040601,43931.78834,2001-01-01 12:12:11.788 +0000,,,,-13.70464596,-36.85402628,-49.84369995
-0.121811,-0.582596,-0.816971,1.01079,43931.76875,2001-01-01 12:12:11.769 +0000,,,,-6.921572837,-35.19609068,-53.92525506
-0.184021,-0.472443,-0.806656,0.952764,43931.74915,2001-01-01 12:12:11.749 +0000,,,,-11.13633839,-29.7268391,-57.84892951
-0.245377,-0.481033,-0.893448,1.04396,43931.72956,2001-01-01 12:12:11.730 +0000,,,,-13.59424636,-27.43728005,-58.85112029
-0.288589,-0.549362,-0.911057,1.102319,43931.70997,2001-01-01 12:12:11.710 +0000,,,,-15.1769971,-29.89217727,-55.73997743
-0.264435,-0.530228,-0.809586,1.003243,43931.69038,2001-01-01 12:12:11.690 +0000,,,,-15.28260145,-31.90509898,-53.80082132
-0.132431,-0.450653,-0.721069,0.860562,43931.67078,2001-01-01 12:12:11.671 +0000,,,,-8.852368164,-31.5789556,-56.919547
-0.126953,-0.495773,-0.608215,0.79488,43931.65119,2001-01-01 12:12:11.651 +0000,,,,-9.19026825,-38.58744888,-49.92178934
-0.163498,-0.515198,-0.589798,0.800014,43931.63157,2001-01-01 12:12:11.632 +0000,,,,-11.79256048,-40.0897151,-47.4963834
-0.210754,-0.508194,-0.742889,0.924426,43931.61198,2001-01-01 12:12:11.612 +0000,,,,-13.1783968,-33.34920351,-53.47742086
-0.256546,-0.470032,-0.752594,0.923658,43931.59238,2001-01-01 12:12:11.592 +0000,,,,-16.12596741,-30.58933122,-54.56734128
-0.339996,-0.506729,-0.6008,0.856348,43931.57279,2001-01-01 12:12:11.573 +0000,,,,-23.39264673,-36.28004497,-44.55421104
-0.418808,-0.521179,-0.485977,0.82656,43931.5532,2001-01-01 12:12:11.553 +0000,,,,-30.44347007,-39.0899653,-36.01176195
-0.418167,-0.620453,-0.677963,1.009683,43931.53361,2001-01-01 12:12:11.534 +0000,,,,-24.46622747,-37.91580819,-42.17995452
-0.38266,-0.539719,-0.655716,0.931498,43931.51401,2001-01-01 12:12:11.514 +0000,,,,-24.25513849,-35.40903191,-44.74373121
-0.39772,-0.512756,-0.385132,0.754604,43931.49442,2001-01-01 12:12:11.494 +0000,,,,-31.80690376,-42.80488071,-30.68891757
-0.457657,-0.564987,-0.313736,0.791891,43931.47483,2001-01-01 12:12:11.475 +0000,,,,-35.30505876,-45.51763131,-23.33996925
-0.525879,-0.653839,-0.34166,0.905972,43931.45524,2001-01-01 12:12:11.455 +0000,,,,-35.48277542,-46.19490822,-22.15538552
-0.498001,-0.622726,-0.359619,0.874711,43931.43565,2001-01-01 12:12:11.436 +0000,,,,-34.70368256,-45.39154276,-24.27578697
-0.438187,-0.600815,-0.317657,0.808636,43931.41605,2001-01-01 12:12:11.416 +0000,,,,-32.81198286,-47.98742282,-23.13074012
-0.530899,-0.563019,-0.320557,0.837616,43931.39646,2001-01-01 12:12:11.396 +0000,,,,-39.33261773,-42.23463078,-22.50112206
-0.713882,-0.544083,-0.344559,0.961444,43931.37687,2001-01-01 12:12:11.377 +0000,,,,-47.94568477,-34.46494249,-21.00052732
-0.830841,-0.567169,-0.357132,1.067483,43931.35728,2001-01-01 12:12:11.357 +0000,,,,-51.10678747,-32.09428964,-19.54548644
-0.828278,-0.560226,-0.344788,1.057722,43931.33768,2001-01-01 12:12:11.338 +0000,,,,-51.54317549,-31.98202775,-19.02448315
-0.772095,-0.522919,-0.38678,1.009541,43931.31809,2001-01-01 12:12:11.318 +0000,,,,-49.88900728,-31.19663749,-22.52735502
-0.810822,-0.538651,-0.353424,1.035608,43931.29847,2001-01-01 12:12:11.298 +0000,,,,-51.53076613,-31.34095681,-19.95437214
-0.841019,-0.593597,-0.250061,1.05934,43931.27888,2001-01-01 12:12:11.279 +0000,,,,-52.55229265,-34.07974085,-13.65373843
-0.815735,-0.634811,-0.201324,1.053062,43931.25928,2001-01-01 12:12:11.259 +0000,,,,-50.77162438,-37.07241075,-11.02163217
-0.770172,-0.671539,-0.198074,1.040848,43931.23969,2001-01-01 12:12:11.240 +0000,,,,-47.72692252,-40.17954921,-10.97033641
-0.748169,-0.678619,-0.19632,1.028991,43931.2201,2001-01-01 12:12:11.220 +0000,,,,-46.64299506,-41.26171796,-10.99882557
-0.689209,-0.671463,-0.171402,0.977369,43931.20051,2001-01-01 12:12:11.201 +0000,,,,-44.84308785,-43.39394456,-10.10023777
-0.666779,-0.707123,-0.119614,0.979247,43931.18092,2001-01-01 12:12:11.181 +0000,,,,-42.91478957,-46.22887391,-7.016141431
-0.683411,-0.725998,-0.124176,1.00476,43931.16132,2001-01-01 12:12:11.161 +0000,,,,-42.85717462,-46.26611063,-7.099203451
-0.692337,-0.729736,-0.151855,1.017303,43931.14173,2001-01-01 12:12:11.142 +0000,,,,-42.88752506,-45.8340055,-8.584750017
