x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,X_gyro,Y_gyro,Z_gyro
-0.216705,-0.032975,0.083039,0.234401,43933.64458,2001-01-01 12:12:13.645 +0000,,,,-0.216705,-0.032975,0.083039
-0.313498,0.154432,0.078671,0.358217,43933.62462,2001-01-01 12:12:13.625 +0000,,,,-0.530203,0.121457,0.16171
0.044249,-0.152228,0.029562,0.161262,43933.60463,2001-01-01 12:12:13.605 +0000,,,,0.044249,-0.152228,0.029562
0.04845,-0.120304,0.014545,0.130507,43933.58467,2001-01-01 12:12:13.585 +0000,,,,0.092699,-0.272532,0.044107
-0.011547,-0.042609,0.004312,0.044356,43933.56468,2001-01-01 12:12:13.565 +0000,,,,-0.011547,-0.042609,0.004312
0.008716,-0.068115,0.022683,0.072319,43933.54472,2001-01-01 12:12:13.545 +0000,,,,-0.002831,-0.110724,0.026995
0.028852,-0.09782,0.06564,0.121284,43933.52473,2001-01-01 12:12:13.525 +0000,,,,0.028852,-0.09782,0.06564
-0.008874,-0.053019,0.100524,0.113995,43933.50475,2001-01-01 12:12:13.505 +0000,,,,0.019978,-0.150839,0.166164
-0.01141,-0.002884,0.128152,0.128691,43933.48479,2001-01-01 12:12:13.485 +0000,,,,-0.01141,-0.002884,0.128152
0.009172,-0.06467,0.122048,0.138427,43933.4648,2001-01-01 12:12:13.465 +0000,,,,-0.002238,-0.067554,0.2502
0.030485,-0.072095,0.128623,0.150569,43933.44484,2001-01-01 12:12:13.445 +0000,,,,0.030485,-0.072095,0.128623
0.026849,0.006759,0.139069,0.141799,43933.42485,2001-01-01 12:12:13.425 +0000,,,,0.057334,-0.065336,0.267692
0.038234,0.067509,0.147529,0.166685,43933.40489,2001-01-01 12:12:13.405 +0000,,,,0.038234,0.067509,0.147529
0.062101,-0.031522,0.156507,0.171303,43933.3849,2001-01-01 12:12:13.385 +0000,,,,0.100335,0.035987,0.304036
0.079405,-0.106035,0.173923,0.218627,43933.36491,2001-01-01 12:12:13.365 +0000,,,,0.079405,-0.106035,0.173923
0.060764,-0.033536,0.203518,0.215027,43933.34496,2001-01-01 12:12:13.345 +0000,,,,0.140169,-0.139571,0.377441
0.054114,0.022913,0.201183,0.20959,43933.32497,2001-01-01 12:12:13.325 +0000,,,,0.054114,0.022913,0.201183
0.060957,-0.001722,0.145734,0.157978,43933.30501,2001-01-01 12:12:13.305 +0000,,,,0.115071,0.021191,0.346917
0.023919,-0.02525,0.119903,0.124846,43933.28502,2001-01-01 12:12:13.285 +0000,,,,0.023919,-0.02525,0.119903
0.018177,0.028076,0.146432,0.150204,43933.26506,2001-01-01 12:12:13.265 +0000,,,,0.042096,0.002826,0.266335
0.019943,0.078198,0.167678,0.186088,43933.24507,2001-01-01 12:12:13.245 +0000,,,,0.019943,0.078198,0.167678
0.026753,0.041883,0.127219,0.136582,43933.22508,2001-01-01 12:12:13.225 +0000,,,,0.046696,0.120081,0.294897
0.040515,-0.044628,0.033519,0.068968,43933.20512,2001-01-01 12:12:13.205 +0000,,,,0.040515,-0.044628,0.033519
0.014561,-0.105536,-0.033807,0.111771,43933.18513,2001-01-01 12:12:13.185 +0000,,,,0.055076,-0.150164,-0.000288
-0.1409,0.016995,0.021442,0.143532,43933.16518,2001-01-01 12:12:13.165 +0000,,,,-0.1409,0.016995,0.021442
-0.237486,0.264297,0.113078,0.372879,43933.14519,2001-01-01 12:12:13.145 +0000,,,,-0.378386,0.281292,0.13452
-0.193459,-0.119434,0.007567,0.227482,43933.12523,2001-01-01 12:12:13.125 +0000,,,,-0.193459,-0.119434,0.007567
0.106302,-0.357914,-0.023954,0.374134,43933.10524,2001-01-01 12:12:13.105 +0000,,,,-0.087157,-0.477348,-0.016387
0.290159,-0.101955,0.039633,0.310093,43933.08525,2001-01-01 12:12:13.085 +0000,,,,0.290159,-0.101955,0.039633
-0.01962,-0.000896,0.073597,0.076173,43933.06529,2001-01-01 12:12:13.065 +0000,,,,0.270539,-0.102851,0.11323
0.024249,-0.073229,0.10294,0.128636,43933.0453,2001-01-01 12:12:13.045 +0000,,,,0.024249,-0.073229,0.10294
0.04071,-0.143583,0.079735,0.169207,43933.02534,2001-01-01 12:12:13.025 +0000,,,,0.064959,-0.216812,0.182675
0.015232,-0.129823,0.051744,0.140583,43933.00536,2001-01-01 12:12:13.005 +0000,,,,0.015232,-0.129823,0.051744
-0.018851,-0.106469,0.029012,0.111949,43932.9854,2001-01-01 12:12:12.985 +0000,,,,-0.003619,-0.236292,0.080756
-0.038234,-0.051116,0.018046,0.066335,43932.96541,2001-01-01 12:12:12.965 +0000,,,,-0.038234,-0.051116,0.018046
-0.072613,-0.024449,0.042317,0.087528,43932.94542,2001-01-01 12:12:12.945 +0000,,,,-0.110847,-0.075565,0.060363
-0.084505,-0.061598,0.100037,0.144717,43932.92546,2001-01-01 12:12:12.925 +0000,,,,-0.084505,-0.061598,0.100037
-0.147751,-0.056178,0.156227,0.222246,43932.90547,2001-01-01 12:12:12.905 +0000,,,,-0.232256,-0.117776,0.256264
-0.186311,-0.014664,0.154785,0.242663,43932.88551,2001-01-01 12:12:12.886 +0000,,,,-0.186311,-0.014664,0.154785
-0.127092,-0.056333,0.087982,0.164519,43932.86555,2001-01-01 12:12:12.866 +0000,,,,-0.313403,-0.070997,0.242767
-0.05599,-0.123576,0.014917,0.136486,43932.8456,2001-01-01 12:12:12.846 +0000,,,,-0.05599,-0.123576,0.014917
-0.105175,-0.071452,-0.000516,0.127151,43932.82561,2001-01-01 12:12:12.826 +0000,,,,-0.161165,-0.195028,0.014401
-0.258033,0.013674,0.005701,0.258458,43932.80562,2001-01-01 12:12:12.806 +0000,,,,-0.258033,0.013674,0.005701
-0.259799,-0.000301,-0.044493,0.263581,43932.78566,2001-01-01 12:12:12.786 +0000,,,,-0.517832,0.013373,-0.038792
-0.196785,-0.100691,-0.164536,0.275563,43932.76567,2001-01-01 12:12:12.766 +0000,,,,-0.196785,-0.100691,-0.164536
-0.330418,0.01739,-0.191404,0.382248,43932.74571,2001-01-01 12:12:12.746 +0000,,,,-0.527203,-0.083301,-0.35594
-0.592032,0.267686,-0.131876,0.662985,43932.72572,2001-01-01 12:12:12.726 +0000,,,,-0.592032,0.267686,-0.131876
-0.614993,0.279606,-0.044445,0.677032,43932.70576,2001-01-01 12:12:12.706 +0000,,,,-1.207025,0.547292,-0.176321
-0.445024,0.190216,-0.056946,0.48731,43932.68578,2001-01-01 12:12:12.686 +0000,,,,-0.445024,0.190216,-0.056946
-0.425133,0.300949,-0.084894,0.527746,43932.66579,2001-01-01 12:12:12.666 +0000,,,,-0.870157,0.491165,-0.14184
-0.5556,0.605542,-0.076986,0.825409,43932.64583,2001-01-01 12:12:12.646 +0000,,,,-0.5556,0.605542,-0.076986
-0.580197,0.780361,-0.024201,0.972717,43932.62584,2001-01-01 12:12:12.626 +0000,,,,-1.135797,1.385903,-0.101187
-0.38714,0.543979,-0.037215,0.668712,43932.60588,2001-01-01 12:12:12.606 +0000,,,,-0.38714,0.543979,-0.037215
-0.181364,0.183865,-0.118191,0.284022,43932.58589,2001-01-01 12:12:12.586 +0000,,,,-0.568504,0.727844,-0.155406
-0.137625,0.01652,-0.169798,0.219192,43932.5659,2001-01-01 12:12:12.566 +0000,,,,-0.137625,0.01652,-0.169798
-0.22793,0.290453,-0.080329,0.377846,43932.54594,2001-01-01 12:12:12.546 +0000,,,,-0.365555,0.306973,-0.250127
-0.34765,0.635862,0.058968,0.727089,43932.52596,2001-01-01 12:12:12.526 +0000,,,,-0.34765,0.635862,0.058968
-0.238069,0.442087,0.068782,0.506802,43932.506,2001-01-01 12:12:12.506 +0000,,,,-0.585719,1.077949,0.12775
0.2416,-0.23021,-0.11528,0.353068,43932.48601,2001-01-01 12:12:12.486 +0000,,,,0.2416,-0.23021,-0.11528
0.438321,-0.687303,-0.208876,0.841511,43932.46605,2001-01-01 12:12:12.466 +0000,,,,0.679921,-0.917513,-0.324156
-0.101834,-0.191646,0.071424,0.228472,43932.44606,2001-01-01 12:12:12.446 +0000,,,,-0.101834,-0.191646,0.071424
-0.67913,0.722626,0.34713,1.050669,43932.42607,2001-01-01 12:12:12.426 +0000,,,,-0.780964,0.53098,0.418554
-0.561259,0.651219,0.298968,0.910208,43932.40611,2001-01-01 12:12:12.406 +0000,,,,-0.561259,0.651219,0.298968
0.157953,-0.241308,0.157724,0.328718,43932.38612,2001-01-01 12:12:12.386 +0000,,,,-0.403306,0.409911,0.456692
0.113894,-0.384098,0.153541,0.429043,43932.36617,2001-01-01 12:12:12.366 +0000,,,,0.113894,-0.384098,0.153541
-0.110812,-0.013027,0.361513,0.378339,43932.34618,2001-01-01 12:12:12.346 +0000,,,,0.003082,-0.397125,0.515054
-0.169496,0.214298,0.547488,0.611879,43932.32622,2001-01-01 12:12:12.326 +0000,,,,-0.169496,0.214298,0.547488
-0.044712,-0.190533,0.500279,0.537198,43932.30623,2001-01-01 12:12:12.306 +0000,,,,-0.214208,0.023765,1.047767
0.032937,-0.3731,0.315378,0.489645,43932.28624,2001-01-01 12:12:12.286 +0000,,,,0.032937,-0.3731,0.315378
0.066887,-0.313473,0.294075,0.434994,43932.26628,2001-01-01 12:12:12.266 +0000,,,,0.099824,-0.686573,0.609453
0.053205,-0.011348,0.559221,0.561861,43932.24629,2001-01-01 12:12:12.246 +0000,,,,0.053205,-0.011348,0.559221
-0.062297,0.371738,0.854446,0.933889,43932.22633,2001-01-01 12:12:12.226 +0000,,,,-0.009092,0.36039,1.413667
-0.104943,0.225615,0.794719,0.832763,43932.20634,2001-01-01 12:12:12.206 +0000,,,,-0.104943,0.225615,0.794719
0.10555,-0.270596,0.389317,0.485727,43932.18639,2001-01-01 12:12:12.186 +0000,,,,0.000607,-0.044981,1.184036
0.088982,-0.364813,0.204609,0.427635,43932.1664,2001-01-01 12:12:12.166 +0000,,,,0.088982,-0.364813,0.204609
-0.013995,0.293132,0.503446,0.582735,43932.14641,2001-01-01 12:12:12.146 +0000,,,,0.074987,-0.071681,0.708055
0.098859,0.52726,1.230158,1.342038,43932.12645,2001-01-01 12:12:12.126 +0000,,,,0.098859,0.52726,1.230158
0.075057,-0.138146,1.820556,1.827332,43932.10646,2001-01-01 12:12:12.106 +0000,,,,0.173916,0.389114,3.050714
-0.329075,-0.038431,1.770543,1.801274,43932.0865,2001-01-01 12:12:12.087 +0000,,,,-0.329075,-0.038431,1.770543
-0.497595,0.688693,1.209667,1.47824,43932.06651,2001-01-01 12:12:12.067 +0000,,,,-0.82667,0.650262,2.98021
-0.373077,1.014188,0.980961,1.459468,43932.04655,2001-01-01 12:12:12.047 +0000,,,,-0.373077,1.014188,0.980961
-0.139372,0.874348,1.223333,1.510117,43932.02657,2001-01-01 12:12:12.027 +0000,,,,-0.512449,1.888536,2.204294
-0.007768,0.587007,1.725065,1.822221,43932.00658,2001-01-01 12:12:12.007 +0000,,,,-0.007768,0.587007,1.725065
-0.193955,0.759852,1.88789,2.04429,43931.98662,2001-01-01 12:12:11.987 +0000,,,,-0.201723,1.346859,3.612955
-0.462775,1.111037,1.824216,2.185481,43931.96663,2001-01-01 12:12:11.967 +0000,,,,-0.462775,1.111037,1.824216
-0.526413,1.929762,1.653805,2.595412,43931.94667,2001-01-01 12:12:11.947 +0000,,,,-0.989188,3.040799,3.478021
