x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-accel,Y-accel,Z-accel
-0.171326,-0.578995,-0.835297,1.030683,44035.84572,2001-01-01 12:13:55.846 +0000,,,,-9.568438711,-34.17747569,-54.13796676
-0.141708,-0.551682,-0.852249,1.025067,44035.82613,2001-01-01 12:13:55.826 +0000,,,,-7.946169342,-32.56058536,-56.24364931
-0.158524,-0.593811,-0.792999,1.003289,44035.80654,2001-01-01 12:13:55.807 +0000,,,,-9.091079319,-36.2894221,-52.22285192
-0.195312,-0.626495,-0.645691,0.92063,44035.78695,2001-01-01 12:13:55.787 +0000,,,,-12.24839954,-42.88326068,-44.53603917
-0.185013,-0.673691,-0.59935,0.920494,44035.76736,2001-01-01 12:13:55.767 +0000,,,,-11.59503856,-47.0441992,-40.62591352
-0.152588,-0.634689,-0.739273,0.986224,44035.74776,2001-01-01 12:13:55.748 +0000,,,,-8.900523675,-40.05739159,-48.55569606
-0.149048,-0.631119,-0.755615,0.995731,44035.72817,2001-01-01 12:13:55.728 +0000,,,,-8.60878782,-39.33286985,-49.36331201
-0.147812,-0.615768,-0.796951,1.017915,44035.70858,2001-01-01 12:13:55.709 +0000,,,,-8.34947799,-37.22388365,-51.52921293
-0.169937,-0.61528,-0.818314,1.037827,44035.68899,2001-01-01 12:13:55.689 +0000,,,,-9.424221626,-36.35978838,-52.04439161
-0.161758,-0.621216,-0.780273,1.010397,44035.66939,2001-01-01 12:13:55.669 +0000,,,,-9.212329288,-37.93913588,-50.555867
-0.130402,-0.627899,-0.756393,0.991662,44035.6498,2001-01-01 12:13:55.650 +0000,,,,-7.556194877,-39.28504549,-49.70753237
-0.107391,-0.615448,-0.792175,1.008886,44035.63021,2001-01-01 12:13:55.630 +0000,,,,-6.110435091,-37.59149178,-51.73899438
-0.116653,-0.619568,-0.807526,1.024485,44035.61062,2001-01-01 12:13:55.611 +0000,,,,-6.538161697,-37.21158204,-52.02002268
-0.157257,-0.639297,-0.762268,1.007216,44035.59103,2001-01-01 12:13:55.591 +0000,,,,-8.982364774,-39.39901668,-49.18354093
-0.180435,-0.644196,-0.7509,1.005682,44035.57143,2001-01-01 12:13:55.571 +0000,,,,-10.33572094,-39.83332368,-48.30167034
-0.171219,-0.659531,-0.770782,1.028787,44035.55184,2001-01-01 12:13:55.552 +0000,,,,-9.580205466,-39.87214285,-48.5223923
-0.183563,-0.683853,-0.770004,1.046067,44035.53225,2001-01-01 12:13:55.532 +0000,,,,-10.10654458,-40.82396748,-47.39976012
-0.202805,-0.69249,-0.764832,1.051494,44035.51266,2001-01-01 12:13:55.513 +0000,,,,-11.12050488,-41.19144045,-46.66688695
-0.193253,-0.667816,-0.788452,1.051181,44035.49306,2001-01-01 12:13:55.493 +0000,,,,-10.59372503,-39.44228943,-48.59583857
-0.140839,-0.658737,-0.815475,1.057719,44035.47347,2001-01-01 12:13:55.473 +0000,,,,-7.651859939,-38.52017488,-50.44153116
-0.135132,-0.672531,-0.791687,1.047534,44035.45388,2001-01-01 12:13:55.454 +0000,,,,-7.41181833,-39.94214085,-49.0920652
-0.17952,-0.70787,-0.738205,1.03839,44035.43429,2001-01-01 12:13:55.434 +0000,,,,-9.95548573,-42.97659122,-45.30924754
-0.187485,-0.710098,-0.694016,1.010469,44035.41469,2001-01-01 12:13:55.415 +0000,,,,-10.69276422,-44.64732054,-43.37934175
-0.145233,-0.671463,-0.765503,1.028567,44035.3951,2001-01-01 12:13:55.395 +0000,,,,-8.117254174,-40.75410931,-48.09405584
-0.103043,-0.65062,-0.794312,1.031918,44035.37551,2001-01-01 12:13:55.376 +0000,,,,-5.7308643,-39.08669171,-50.33081307
-0.093918,-0.66864,-0.738739,1.000817,44035.35592,2001-01-01 12:13:55.356 +0000,,,,-5.38463333,-41.92012475,-47.57284711
-0.129807,-0.667236,-0.708847,0.982099,44035.33633,2001-01-01 12:13:55.336 +0000,,,,-7.595184135,-42.79662918,-46.20061077
-0.171036,-0.650757,-0.710541,0.978573,44035.31673,2001-01-01 12:13:55.317 +0000,,,,-10.06590868,-41.68275613,-46.56031622
-0.172318,-0.669449,-0.718018,0.996697,44035.29714,2001-01-01 12:13:55.297 +0000,,,,-9.955835525,-42.19588583,-46.08729523
-0.190903,-0.712265,-0.698578,1.015764,44035.27755,2001-01-01 12:13:55.278 +0000,,,,-10.83260696,-44.52425023,-43.45119893
-0.210846,-0.734833,-0.685806,1.027018,44035.25796,2001-01-01 12:13:55.258 +0000,,,,-11.8470192,-45.68433592,-41.89476295
-0.215881,-0.726242,-0.672165,1.012837,44035.23836,2001-01-01 12:13:55.238 +0000,,,,-12.30671902,-45.81044868,-41.57854126
