x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date
-0.040205,-0.342934,0.045538,0.348273,44037.11272,2001-01-01 12:13:57.113 +0000
-0.27265,-0.090653,0.037941,0.28982,44037.09276,2001-01-01 12:13:57.093 +0000
-0.349636,0.012518,-0.003462,0.349877,44037.07277,2001-01-01 12:13:57.073 +0000
-0.093448,-0.058686,-0.011156,0.11091,44037.05278,2001-01-01 12:13:57.053 +0000
-0.090522,-0.060697,0.035883,0.114743,44037.03282,2001-01-01 12:13:57.033 +0000
0.002452,-0.137279,0.055952,0.148264,44037.01283,2001-01-01 12:13:57.013 +0000
0.061176,-0.160668,0.057481,0.181275,44036.99287,2001-01-01 12:13:56.993 +0000
0.032057,-0.081874,0.051727,0.102013,44036.97288,2001-01-01 12:13:56.973 +0000
-0.009856,-0.000961,0.044814,0.045895,44036.95292,2001-01-01 12:13:56.953 +0000
-0.021618,-0.011585,0.059722,0.064562,44036.93296,2001-01-01 12:13:56.933 +0000
-0.013959,-0.097778,0.095269,0.137228,44036.91297,2001-01-01 12:13:56.913 +0000
-0.00107,-0.115883,0.093268,0.148758,44036.89302,2001-01-01 12:13:56.893 +0000
0.036,-0.087053,0.109468,0.144421,44036.87303,2001-01-01 12:13:56.873 +0000
0.058929,-0.031535,0.152212,0.166239,44036.85307,2001-01-01 12:13:56.853 +0000
0.048008,-0.021865,0.188441,0.195686,44036.83308,2001-01-01 12:13:56.833 +0000
0.035541,-0.034767,0.144583,0.152893,44036.81309,2001-01-01 12:13:56.813 +0000
0.01002,0.006653,0.101558,0.102268,44036.79313,2001-01-01 12:13:56.793 +0000
-0.025519,0.085453,0.100036,0.134017,44036.77314,2001-01-01 12:13:56.773 +0000
0.012666,0.086622,0.130208,0.156901,44036.75318,2001-01-01 12:13:56.753 +0000
0.052416,0.017414,0.132802,0.14383,44036.7332,2001-01-01 12:13:56.733 +0000
0.008809,0.043923,0.096106,0.106034,44036.71321,2001-01-01 12:13:56.713 +0000
-0.040154,0.073628,0.061503,0.104,44036.69325,2001-01-01 12:13:56.693 +0000
-0.040852,0.040516,0.026327,0.063274,44036.67326,2001-01-01 12:13:56.673 +0000
-0.065353,0.029861,0.032602,0.078903,44036.6533,2001-01-01 12:13:56.653 +0000
-0.095243,0.027732,0.042022,0.107732,44036.63331,2001-01-01 12:13:56.633 +0000
-0.056208,-0.068201,0.007286,0.088678,44036.61335,2001-01-01 12:13:56.613 +0000
-0.063595,-0.060795,-0.010949,0.088658,44036.59336,2001-01-01 12:13:56.593 +0000
-0.198355,0.209787,0.029078,0.290173,44036.57337,2001-01-01 12:13:56.573 +0000
-0.322131,0.051962,-0.000178,0.326295,44036.55342,2001-01-01 12:13:56.553 +0000
-0.128792,-0.332762,-0.120706,0.37668,44036.53343,2001-01-01 12:13:56.533 +0000
0.161353,-0.07979,-0.005105,0.180076,44036.51347,2001-01-01 12:13:56.513 +0000
-0.02027,-0.030839,0.027728,0.04616,44036.49348,2001-01-01 12:13:56.493 +0000
0.006505,-0.050009,0.02155,0.054842,44036.47349,2001-01-01 12:13:56.473 +0000
-0.049811,-0.051186,-0.006608,0.071728,44036.45353,2001-01-01 12:13:56.454 +0000
-0.075582,-0.056441,0.029562,0.098854,44036.43354,2001-01-01 12:13:56.434 +0000
0.005287,-0.079715,0.070774,0.106731,44036.41358,2001-01-01 12:13:56.414 +0000
0.050439,-0.126622,0.043425,0.143049,44036.3936,2001-01-01 12:13:56.394 +0000
-0.03016,-0.127913,-0.023363,0.133482,44036.37361,2001-01-01 12:13:56.374 +0000
-0.137901,-0.071607,-0.053093,0.164205,44036.35365,2001-01-01 12:13:56.354 +0000
-0.155424,-0.027835,-0.009521,0.158183,44036.33366,2001-01-01 12:13:56.334 +0000
-0.054814,-0.102358,-0.020393,0.117888,44036.3137,2001-01-01 12:13:56.314 +0000
-0.030119,-0.209175,-0.143884,0.255664,44036.29371,2001-01-01 12:13:56.294 +0000
-0.244213,-0.109454,-0.247108,0.364256,44036.27375,2001-01-01 12:13:56.274 +0000
-0.419608,0.020372,-0.250782,0.489262,44036.25376,2001-01-01 12:13:56.254 +0000
-0.37948,0.039694,-0.203549,0.43245,44036.23377,2001-01-01 12:13:56.234 +0000
-0.263147,0.000377,-0.198383,0.329548,44036.21382,2001-01-01 12:13:56.214 +0000
-0.182635,-0.064656,-0.24254,0.310422,44036.19383,2001-01-01 12:13:56.194 +0000
-0.252747,-0.048858,-0.294345,0.391033,44036.17387,2001-01-01 12:13:56.174 +0000
-0.5143,0.064885,-0.314584,0.606364,44036.15388,2001-01-01 12:13:56.154 +0000
-0.642962,0.161856,-0.264427,0.713806,44036.13389,2001-01-01 12:13:56.134 +0000
-0.494383,0.20901,-0.195168,0.57113,44036.11393,2001-01-01 12:13:56.114 +0000
-0.369146,0.267797,-0.152811,0.480973,44036.09394,2001-01-01 12:13:56.094 +0000
-0.241332,0.223275,-0.102676,0.344434,44036.07398,2001-01-01 12:13:56.074 +0000
-0.122732,0.097787,-0.051314,0.165102,44036.054,2001-01-01 12:13:56.054 +0000
-0.187749,0.110498,-0.061404,0.22634,44036.03404,2001-01-01 12:13:56.034 +0000
-0.326718,0.247714,-0.10225,0.422566,44036.01405,2001-01-01 12:13:56.014 +0000
-0.331027,0.251983,-0.098016,0.427413,44035.99406,2001-01-01 12:13:55.994 +0000
-0.283827,0.148765,-0.06643,0.327264,44035.9741,2001-01-01 12:13:55.974 +0000
-0.201642,0.044587,-0.002551,0.206528,44035.95415,2001-01-01 12:13:55.954 +0000
-0.081212,-0.005289,0.039001,0.090246,44035.9342,2001-01-01 12:13:55.934 +0000
-0.18083,0.142624,0.003735,0.230336,44035.91421,2001-01-01 12:13:55.914 +0000
-0.361765,0.272534,0.035284,0.454305,44035.89422,2001-01-01 12:13:55.894 +0000
-0.208502,0.000124,0.110786,0.236107,44035.87426,2001-01-01 12:13:55.874 +0000
0.135743,-0.376862,0.058571,0.404823,44035.85427,2001-01-01 12:13:55.854 +0000
0.033767,-0.385586,0.007687,0.387138,44035.83431,2001-01-01 12:13:55.834 +0000
-0.362173,-0.04607,0.000887,0.365092,44035.81432,2001-01-01 12:13:55.814 +0000
-0.617516,0.273388,0.026076,0.675831,44035.79433,2001-01-01 12:13:55.794 +0000
-0.441484,0.11291,0.126003,0.472793,44035.77437,2001-01-01 12:13:55.774 +0000
-0.075132,-0.108279,0.173954,0.218241,44035.75439,2001-01-01 12:13:55.754 +0000
0.033977,-0.158331,0.148114,0.219456,44035.73443,2001-01-01 12:13:55.734 +0000
0.089047,-0.221314,0.079204,0.251362,44035.71444,2001-01-01 12:13:55.714 +0000
-0.030299,-0.192708,0.051608,0.201787,44035.69448,2001-01-01 12:13:55.694 +0000
-0.15018,-0.172385,0.120197,0.258298,44035.67449,2001-01-01 12:13:55.674 +0000
-0.066141,-0.166939,0.143188,0.229665,44035.6545,2001-01-01 12:13:55.655 +0000
0.003422,-0.142554,0.076275,0.161713,44035.63454,2001-01-01 12:13:55.635 +0000
-0.124502,-0.017186,-0.020027,0.127268,44035.61455,2001-01-01 12:13:55.615 +0000
-0.196928,0.031645,-0.067663,0.210619,44035.5946,2001-01-01 12:13:55.595 +0000
-0.127558,-0.047015,-0.019966,0.137405,44035.57461,2001-01-01 12:13:55.575 +0000
-0.089654,-0.004267,0.023982,0.092904,44035.55462,2001-01-01 12:13:55.555 +0000
-0.105899,0.039418,0.032302,0.117524,44035.53466,2001-01-01 12:13:55.535 +0000
-0.071124,-0.109677,0.039353,0.136515,44035.51467,2001-01-01 12:13:55.515 +0000
-0.117792,-0.204428,0.076693,0.248088,44035.49471,2001-01-01 12:13:55.495 +0000
-0.305433,0.029796,0.076928,0.316378,44035.47472,2001-01-01 12:13:55.475 +0000
-0.472085,0.374741,0.043879,0.604335,44035.45473,2001-01-01 12:13:55.455 +0000
-0.462564,0.369461,0.059985,0.595034,44035.43478,2001-01-01 12:13:55.435 +0000
-0.214617,-0.022323,0.081956,0.230816,44035.41479,2001-01-01 12:13:55.415 +0000
-0.187326,-0.134204,0.063211,0.238951,44035.39483,2001-01-01 12:13:55.395 +0000
-0.454382,0.296872,-0.002805,0.542774,44035.37484,2001-01-01 12:13:55.375 +0000
-0.575818,0.63103,-0.102836,0.86043,44035.35488,2001-01-01 12:13:55.355 +0000
-0.515006,0.565752,-0.239017,0.801521,44035.33489,2001-01-01 12:13:55.335 +0000
-0.525621,0.379229,-0.27598,0.704455,44035.3149,2001-01-01 12:13:55.315 +0000
-0.623136,0.43785,-0.235125,0.797054,44035.29494,2001-01-01 12:13:55.295 +0000
-0.620918,0.554144,-0.163836,0.848209,44035.27495,2001-01-01 12:13:55.275 +0000
-0.53795,0.530885,-0.117267,0.76484,44035.255,2001-01-01 12:13:55.255 +0000
-0.435368,0.446862,-0.093908,0.630912,44035.23501,2001-01-01 12:13:55.235 +0000
-0.516871,0.535253,-0.080807,0.748453,44035.21502,2001-01-01 12:13:55.215 +0000
-0.630346,0.770779,-0.007417,0.995736,44035.19506,2001-01-01 12:13:55.195 +0000
-0.478122,0.77097,0.024596,0.907525,44035.17507,2001-01-01 12:13:55.175 +0000
-0.29411,0.560313,0.077699,0.637565,44035.15511,2001-01-01 12:13:55.155 +0000
-0.194118,0.437143,0.209067,0.522,44035.13512,2001-01-01 12:13:55.135 +0000
0.038405,0.387719,0.398828,0.557553,44035.11516,2001-01-01 12:13:55.115 +0000
0.268516,0.416021,0.573403,0.757605,44035.09518,2001-01-01 12:13:55.095 +0000
0.301205,0.597373,0.666091,0.944064,44035.07519,2001-01-01 12:13:55.075 +0000
0.328154,0.462245,0.723271,0.918954,44035.05523,2001-01-01 12:13:55.055 +0000
0.419711,-0.009512,0.760432,0.868623,44035.03524,2001-01-01 12:13:55.035 +0000
0.442092,-0.146197,1.048384,1.147139,44035.01528,2001-01-01 12:13:55.015 +0000
0.241982,0.234426,1.235126,1.280252,44034.99529,2001-01-01 12:13:54.995 +0000
0.262292,0.737734,1.002028,1.271656,44034.9753,2001-01-01 12:13:54.975 +0000
0.151033,1.249647,0.840678,1.513661,44034.95538,2001-01-01 12:13:54.955 +0000
0.088636,1.443164,1.139982,1.841233,44034.93539,2001-01-01 12:13:54.935 +0000
0.716263,0.576152,1.858202,2.073138,44034.91543,2001-01-01 12:13:54.915 +0000
1.422603,-0.777141,1.920073,2.512853,44034.89544,2001-01-01 12:13:54.895 +0000
1.37355,-1.154413,1.86841,2.590418,44034.87545,2001-01-01 12:13:54.875 +0000
1.469219,-0.661723,2.053638,2.610347,44034.85549,2001-01-01 12:13:54.855 +0000
1.803871,-0.149201,2.005352,2.701416,44034.83551,2001-01-01 12:13:54.836 +0000
1.724398,0.324541,1.906293,2.590912,44034.81555,2001-01-01 12:13:54.816 +0000
0.5446,0.597044,1.316321,1.544588,44034.79556,2001-01-01 12:13:54.796 +0000
-0.362254,0.384293,1.277655,1.382502,44034.7756,2001-01-01 12:13:54.776 +0000
-0.425793,0.582885,1.050162,1.274322,44034.75561,2001-01-01 12:13:54.756 +0000
-0.360306,1.168362,0.860955,1.495371,44034.73562,2001-01-01 12:13:54.736 +0000
-0.422774,1.426761,1.120548,1.862797,44034.71566,2001-01-01 12:13:54.716 +0000
-0.381957,0.873818,1.509127,1.785193,44034.69567,2001-01-01 12:13:54.696 +0000
-0.315315,0.426218,1.415696,1.511714,44034.67572,2001-01-01 12:13:54.676 +0000
-0.398392,0.708487,1.001923,1.290163,44034.65573,2001-01-01 12:13:54.656 +0000
-0.406782,1.21325,0.933178,1.583752,44034.63574,2001-01-01 12:13:54.636 +0000
-0.35346,1.103153,1.194554,1.663983,44034.61578,2001-01-01 12:13:54.616 +0000
-0.443363,0.877409,1.258671,1.597082,44034.59579,2001-01-01 12:13:54.596 +0000
-0.643316,0.632114,1.204563,1.504791,44034.57583,2001-01-01 12:13:54.576 +0000
-0.648652,0.80966,1.064069,1.486117,44034.55584,2001-01-01 12:13:54.556 +0000
-0.422457,1.273708,0.832468,1.579178,44034.53585,2001-01-01 12:13:54.536 +0000
-0.307163,1.259895,0.812982,1.530564,44034.5159,2001-01-01 12:13:54.516 +0000
-0.367985,0.885203,0.945017,1.346126,44034.49591,2001-01-01 12:13:54.496 +0000
-0.409368,0.817054,0.96843,1.331546,44034.47595,2001-01-01 12:13:54.476 +0000
-0.311492,1.197193,0.874028,1.51467,44034.45596,2001-01-01 12:13:54.456 +0000
-0.330962,1.419942,0.922443,1.725304,44034.436,2001-01-01 12:13:54.436 +0000
-0.497305,1.044111,1.055906,1.56602,44034.41601,2001-01-01 12:13:54.416 +0000
-0.504951,0.596768,1.086988,1.338899,44034.39602,2001-01-01 12:13:54.396 +0000
-0.151725,0.743116,0.719269,1.045271,44034.37606,2001-01-01 12:13:54.376 +0000
-0.041624,1.421802,0.302517,1.454225,44034.35607,2001-01-01 12:13:54.356 +0000
-0.233593,1.751734,0.237283,1.783099,44034.33612,2001-01-01 12:13:54.336 +0000
-0.259786,1.373042,0.463591,1.472294,44034.31613,2001-01-01 12:13:54.316 +0000
-0.28642,1.182713,0.61352,1.36281,44034.29614,2001-01-01 12:13:54.296 +0000
-0.271813,1.864164,0.479271,1.943886,44034.27618,2001-01-01 12:13:54.276 +0000
-0.228017,2.67925,0.526503,2.739996,44034.25619,2001-01-01 12:13:54.256 +0000
-0.200701,2.820217,0.658799,2.903088,44034.23623,2001-01-01 12:13:54.236 +0000
-0.2596,2.336282,0.556072,2.415538,44034.21624,2001-01-01 12:13:54.216 +0000
-0.636498,2.172282,0.261202,2.278633,44034.19628,2001-01-01 12:13:54.196 +0000
-0.899616,3.07492,0.051819,3.204236,44034.1763,2001-01-01 12:13:54.176 +0000
-0.965418,4.145278,0.400006,4.27497,44034.15631,2001-01-01 12:13:54.156 +0000
-0.898761,4.52943,1.068299,4.739701,44034.13635,2001-01-01 12:13:54.136 +0000
-0.801145,4.186286,1.416088,4.491339,44034.11636,2001-01-01 12:13:54.116 +0000
-0.635213,3.407157,1.202418,3.668518,44034.0964,2001-01-01 12:13:54.096 +0000
-0.640219,2.902366,0.837257,3.087817,44034.07641,2001-01-01 12:13:54.076 +0000
-0.780561,3.375494,0.936532,3.588917,44034.05642,2001-01-01 12:13:54.056 +0000
-0.667069,3.722223,1.109455,3.940916,44034.03646,2001-01-01 12:13:54.036 +0000
-0.234161,3.250154,0.921327,3.386322,44034.01648,2001-01-01 12:13:54.016 +0000
0.332449,1.828489,0.519776,1.929782,44033.99652,2001-01-01 12:13:53.997 +0000
0.466946,1.320043,0.356446,1.444855,44033.97653,2001-01-01 12:13:53.977 +0000
0.587147,2.295243,0.510609,2.423552,44033.95657,2001-01-01 12:13:53.957 +0000
0.98264,2.784829,0.644443,3.022608,44033.93661,2001-01-01 12:13:53.937 +0000
1.437212,1.977736,0.665732,2.533815,44033.91662,2001-01-01 12:13:53.917 +0000
1.471933,1.132025,0.702457,1.985325,44033.89666,2001-01-01 12:13:53.897 +0000
0.982835,1.318557,0.889913,1.869894,44033.87667,2001-01-01 12:13:53.877 +0000
0.883433,1.916811,1.172908,2.414608,44033.85671,2001-01-01 12:13:53.857 +0000
1.837447,1.738245,1.480083,2.930589,44033.83673,2001-01-01 12:13:53.837 +0000
2.655017,1.222739,1.701773,3.382342,44033.81674,2001-01-01 12:13:53.817 +0000
2.23588,1.772909,2.020139,3.496188,44033.79678,2001-01-01 12:13:53.797 +0000
1.39994,2.86847,2.448541,4.022847,44033.77679,2001-01-01 12:13:53.777 +0000
1.099488,2.94502,2.903627,4.279377,44033.75683,2001-01-01 12:13:53.757 +0000
1.721181,2.131143,3.145107,4.170843,44033.73684,2001-01-01 12:13:53.737 +0000
2.648891,1.083447,2.660564,3.907567,44033.71685,2001-01-01 12:13:53.717 +0000
3.033343,0.571495,1.872784,3.610414,44033.69689,2001-01-01 12:13:53.697 +0000
2.766969,0.505522,1.553818,3.213412,44033.6769,2001-01-01 12:13:53.677 +0000
2.453917,-0.102961,1.988243,3.159971,44033.65695,2001-01-01 12:13:53.657 +0000
2.046329,-0.508041,3.277354,3.897001,44033.63696,2001-01-01 12:13:53.637 +0000
1.532127,-0.306917,4.622866,4.879805,44033.61697,2001-01-01 12:13:53.617 +0000
1.393148,-0.445672,4.982393,5.192661,44033.59701,2001-01-01 12:13:53.597 +0000
0.97957,-0.648233,4.613653,4.760836,44033.57702,2001-01-01 12:13:53.577 +0000
0.587085,0.029533,4.829276,4.86492,44033.55706,2001-01-01 12:13:53.557 +0000
1.101715,0.291344,5.006204,5.134271,44033.53707,2001-01-01 12:13:53.537 +0000
1.919039,-0.939933,4.412427,4.902621,44033.51711,2001-01-01 12:13:53.517 +0000
1.527469,-2.142849,4.012362,4.798335,44033.49713,2001-01-01 12:13:53.497 +0000
0.366794,-2.449009,4.60907,5.23218,44033.47714,2001-01-01 12:13:53.477 +0000
-0.415625,-1.825102,5.554136,5.861073,44033.45718,2001-01-01 12:13:53.457 +0000
-0.815588,-1.573486,5.755908,6.022584,44033.43719,2001-01-01 12:13:53.437 +0000
-0.980429,-1.772841,5.318316,5.691106,44033.41723,2001-01-01 12:13:53.417 +0000
-0.913234,-2.192238,4.574089,5.153852,44033.39724,2001-01-01 12:13:53.397 +0000
-0.699259,-2.361558,3.68165,4.429499,44033.37725,2001-01-01 12:13:53.377 +0000
-0.553058,-2.145977,2.94371,3.684633,44033.35729,2001-01-01 12:13:53.357 +0000
-0.32781,-2.249803,2.253117,3.200876,44033.3373,2001-01-01 12:13:53.337 +0000
0.186079,-2.969172,1.552255,3.355607,44033.31735,2001-01-01 12:13:53.317 +0000
0.399267,-3.522408,0.919434,3.662258,44033.29736,2001-01-01 12:13:53.297 +0000
-0.066408,-3.249385,0.327868,3.26656,44033.2774,2001-01-01 12:13:53.277 +0000
-0.777521,-3.035956,-0.166889,3.138379,44033.25741,2001-01-01 12:13:53.257 +0000
-1.353825,-3.146732,-0.845776,3.52847,44033.23742,2001-01-01 12:13:53.237 +0000
-1.493796,-3.30688,-1.374129,3.880092,44033.21746,2001-01-01 12:13:53.217 +0000
-1.417472,-3.473837,-1.706536,4.121775,44033.19747,2001-01-01 12:13:53.197 +0000
-1.588681,-3.48671,-2.119033,4.37851,44033.17751,2001-01-01 12:13:53.178 +0000
-1.952434,-3.423333,-2.654847,4.75178,44033.15753,2001-01-01 12:13:53.158 +0000
-2.362417,-3.468092,-3.394764,5.397508,44033.13754,2001-01-01 12:13:53.138 +0000
-2.770204,-3.273665,-4.336197,6.098649,44033.11758,2001-01-01 12:13:53.118 +0000
-2.713753,-2.766482,-4.734681,6.118422,44033.09759,2001-01-01 12:13:53.098 +0000
-2.017268,-2.718335,-4.855127,5.918697,44033.07763,2001-01-01 12:13:53.078 +0000
-1.154892,-3.118213,-5.268145,6.229798,44033.05764,2001-01-01 12:13:53.058 +0000
-0.642717,-3.198529,-6.013496,6.841477,44033.03765,2001-01-01 12:13:53.038 +0000
-0.470038,-2.871227,-6.812466,7.407738,44033.01769,2001-01-01 12:13:53.018 +0000
-0.05506,-2.728613,-6.987426,7.501499,44032.99771,2001-01-01 12:13:52.998 +0000
0.991915,-2.666663,-6.375751,6.981776,44032.97775,2001-01-01 12:13:52.978 +0000
2.147076,-2.543813,-5.723978,6.621544,44032.95777,2001-01-01 12:13:52.958 +0000
2.090877,-2.045257,-5.278006,6.034252,44032.93781,2001-01-01 12:13:52.938 +0000
1.800364,-1.094658,-5.043204,5.465665,44032.91783,2001-01-01 12:13:52.918 +0000
2.907189,-0.398375,-4.251203,5.165576,44032.89784,2001-01-01 12:13:52.898 +0000
4.385942,-0.249151,-3.370793,5.53722,44032.87788,2001-01-01 12:13:52.878 +0000
4.640387,-0.677295,-2.980043,5.556309,44032.85789,2001-01-01 12:13:52.858 +0000
4.133695,-1.365798,-2.539227,5.039892,44032.83793,2001-01-01 12:13:52.838 +0000
4.544769,-0.986328,-1.713663,4.956249,44032.81794,2001-01-01 12:13:52.818 +0000
5.32207,0.040701,-0.620259,5.358246,44032.79795,2001-01-01 12:13:52.798 +0000
5.816427,0.065423,-0.250491,5.822186,44032.77799,2001-01-01 12:13:52.778 +0000
5.0833,-0.203991,-0.421394,5.104813,44032.758,2001-01-01 12:13:52.758 +0000
3.768946,-0.072605,-0.319496,3.78316,44032.73805,2001-01-01 12:13:52.738 +0000
3.481411,-0.471774,0.315412,3.527362,44032.71806,2001-01-01 12:13:52.718 +0000
5.056427,-1.297187,1.203395,5.35708,44032.69807,2001-01-01 12:13:52.698 +0000
5.888857,-0.884597,1.944095,6.264236,44032.67811,2001-01-01 12:13:52.678 +0000
5.266526,0.445449,1.933075,5.627744,44032.65812,2001-01-01 12:13:52.658 +0000
4.328065,0.777302,1.576436,4.671349,44032.63816,2001-01-01 12:13:52.638 +0000
3.649137,0.1754,1.340555,3.891536,44032.61817,2001-01-01 12:13:52.618 +0000
