x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.391006,-0.088303,-0.895187,0.980838,45516.50547,2001-01-01 12:38:36.505 +0000
-0.411057,-0.092819,-0.914337,1.006775,45516.48592,2001-01-01 12:38:36.486 +0000
-0.426605,-0.095428,-0.969162,1.06319,45516.46633,2001-01-01 12:38:36.466 +0000
-0.4319,-0.095215,-0.884354,0.988779,45516.44674,2001-01-01 12:38:36.447 +0000
-0.373169,-0.099869,-0.819122,0.905644,45516.42717,2001-01-01 12:38:36.427 +0000
-0.363953,-0.100632,-0.905411,0.980998,45516.40758,2001-01-01 12:38:36.408 +0000
-0.368683,-0.100906,-0.920273,0.996499,45516.38799,2001-01-01 12:38:36.388 +0000
-0.383881,-0.104294,-0.972641,1.050843,45516.3684,2001-01-01 12:38:36.368 +0000
-0.409531,-0.116287,-0.959244,1.04947,45516.34881,2001-01-01 12:38:36.349 +0000
-0.419846,-0.104385,-0.949051,1.043007,45516.32924,2001-01-01 12:38:36.329 +0000
-0.408524,-0.098694,-0.947052,1.036117,45516.30965,2001-01-01 12:38:36.310 +0000
-0.378189,-0.100952,-0.902481,0.983713,45516.29006,2001-01-01 12:38:36.290 +0000
-0.370834,-0.102386,-0.900696,0.979415,45516.27047,2001-01-01 12:38:36.270 +0000
-0.376526,-0.09874,-0.901169,0.981645,45516.25087,2001-01-01 12:38:36.251 +0000
-0.329941,-0.085342,-0.874771,0.938812,45516.23128,2001-01-01 12:38:36.231 +0000
-0.310379,-0.089676,-0.849167,0.908549,45516.21172,2001-01-01 12:38:36.212 +0000
-0.321686,-0.106842,-0.903015,0.964538,45516.19213,2001-01-01 12:38:36.192 +0000
-0.291229,-0.089615,-0.938293,0.986529,45516.17254,2001-01-01 12:38:36.173 +0000
-0.301727,-0.082993,-0.910614,0.962884,45516.15294,2001-01-01 12:38:36.153 +0000
-0.383118,-0.082535,-0.9077,0.988691,45516.13335,2001-01-01 12:38:36.133 +0000
-0.437683,-0.093033,-0.985519,1.082345,45516.11379,2001-01-01 12:38:36.114 +0000
-0.331604,-0.122314,-0.901276,0.968101,45516.0942,2001-01-01 12:38:36.094 +0000
-0.326477,-0.172501,-0.846298,0.923344,45516.07461,2001-01-01 12:38:36.075 +0000
-0.356033,-0.172897,-0.842148,0.930519,45516.05501,2001-01-01 12:38:36.055 +0000
-0.367126,-0.165558,-0.803848,0.89909,45516.03542,2001-01-01 12:38:36.035 +0000
-0.350189,-0.118668,-0.8423,0.919883,45516.01583,2001-01-01 12:38:36.016 +0000
-0.371414,-0.053329,-0.973251,1.043078,45515.99624,2001-01-01 12:38:35.996 +0000
-0.4207,-0.032013,-1.002274,1.087458,45515.97664,2001-01-01 12:38:35.977 +0000
-0.400772,-0.032242,-0.805984,0.900705,45515.95705,2001-01-01 12:38:35.957 +0000
-0.354568,0.018875,-0.694061,0.779613,45515.93749,2001-01-01 12:38:35.937 +0000
-0.291214,0.063217,-0.683548,0.745681,45515.9179,2001-01-01 12:38:35.918 +0000
-0.322113,0.073807,-0.639633,0.719955,45515.89831,2001-01-01 12:38:35.898 +0000
-0.364136,0.019867,-0.473282,0.597482,45515.87871,2001-01-01 12:38:35.879 +0000
-0.326492,0.105698,-0.27478,0.439629,45515.85912,2001-01-01 12:38:35.859 +0000
-0.250626,0.212967,-0.364029,0.490597,45515.83956,2001-01-01 12:38:35.840 +0000
-0.216034,0.223251,-0.489594,0.579839,45515.81997,2001-01-01 12:38:35.820 +0000
-0.294785,0.407349,-0.374573,0.627005,45515.80037,2001-01-01 12:38:35.800 +0000
-0.391937,0.439453,-0.057083,0.591602,45515.78078,2001-01-01 12:38:35.781 +0000
-0.420532,0.512177,0.02507,0.663175,45515.76119,2001-01-01 12:38:35.761 +0000
-0.415314,0.660782,0.003387,0.780468,45515.7416,2001-01-01 12:38:35.742 +0000
-0.444,0.833954,0.107773,0.95091,45515.72204,2001-01-01 12:38:35.722 +0000
-0.531067,1.002243,0.279663,1.168219,45515.70244,2001-01-01 12:38:35.702 +0000
-0.697662,1.260864,0.356583,1.484474,45515.68285,2001-01-01 12:38:35.683 +0000
-0.816223,1.582535,0.327759,1.810542,45515.66326,2001-01-01 12:38:35.663 +0000
-0.833389,1.863953,0.175125,2.049274,45515.64367,2001-01-01 12:38:35.644 +0000
-0.939499,2.026367,0.036606,2.233867,45515.6241,2001-01-01 12:38:35.624 +0000
-1.069641,2.087402,0.012619,2.345536,45515.60451,2001-01-01 12:38:35.605 +0000
-1.160645,2.136169,0.132629,2.434729,45515.58492,2001-01-01 12:38:35.585 +0000
-1.128235,2.27327,0.094421,2.539603,45515.56533,2001-01-01 12:38:35.565 +0000
-1.097153,2.204727,0.04631,2.463069,45515.54574,2001-01-01 12:38:35.546 +0000
-1.11554,2.159851,0.020752,2.431011,45515.52614,2001-01-01 12:38:35.526 +0000
-1.056519,2.089676,-0.044647,2.342001,45515.50658,2001-01-01 12:38:35.507 +0000
-0.875153,1.910889,-0.172989,2.108865,45515.48699,2001-01-01 12:38:35.487 +0000
-0.728012,1.663177,-0.267059,1.83507,45515.46743,2001-01-01 12:38:35.467 +0000
-0.65419,1.548706,-0.296921,1.707225,45515.44783,2001-01-01 12:38:35.448 +0000
-0.571686,1.415466,-0.285385,1.553002,45515.42824,2001-01-01 12:38:35.428 +0000
-0.49498,1.262146,-0.315964,1.392067,45515.40865,2001-01-01 12:38:35.409 +0000
