x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,X_Gyro,Y_Gyro,Z_Gyro
0.162826,0.197351,0.062536,0.263383,117294.4174,2001-01-02 08:34:54.417 +0000,,,,0.162826,0.197351,0.062536
0.089072,0.095941,0.00034,0.130914,117294.3974,2001-01-02 08:34:54.397 +0000,,,,0.251898,0.293292,0.062876
-0.086715,-0.275088,-0.073565,0.297666,117294.3775,2001-01-02 08:34:54.377 +0000,,,,-0.086715,-0.275088,-0.073565
-0.206574,-0.192047,-0.058572,0.288073,117294.3575,2001-01-02 08:34:54.357 +0000,,,,-0.293289,-0.467135,-0.132137
-0.380588,0.188379,0.041797,0.426709,117294.3375,2001-01-02 08:34:54.338 +0000,,,,-0.380588,0.188379,0.041797
-0.068066,-0.113869,0.066098,0.148216,117294.3175,2001-01-02 08:34:54.318 +0000,,,,-0.448654,0.07451,0.107895
-0.03476,-0.136282,0.039671,0.146133,117294.2976,2001-01-02 08:34:54.298 +0000,,,,-0.03476,-0.136282,0.039671
-0.044128,-0.145951,0.009715,0.152785,117294.2776,2001-01-02 08:34:54.278 +0000,,,,-0.078888,-0.282233,0.049386
-0.059447,-0.070312,0.015818,0.093423,117294.2576,2001-01-02 08:34:54.258 +0000,,,,-0.059447,-0.070312,0.015818
-0.081064,-0.009603,0.017644,0.083515,117294.2376,2001-01-02 08:34:54.238 +0000,,,,-0.140511,-0.079915,0.033462
-0.055395,-0.014937,0.007146,0.057817,117294.2176,2001-01-02 08:34:54.218 +0000,,,,-0.055395,-0.014937,0.007146
-0.020126,-0.018141,-0.006498,0.027863,117294.1977,2001-01-02 08:34:54.198 +0000,,,,-0.075521,-0.033078,0.000648
-0.023464,0.007431,-0.003384,0.024844,117294.1777,2001-01-02 08:34:54.178 +0000,,,,-0.023464,0.007431,-0.003384
-0.071593,0.030855,0.005844,0.078178,117294.1577,2001-01-02 08:34:54.158 +0000,,,,-0.095057,0.038286,0.00246
-0.124771,0.018011,-0.003028,0.126101,117294.1377,2001-01-02 08:34:54.138 +0000,,,,-0.124771,0.018011,-0.003028
-0.140634,-0.000127,-0.009497,0.140954,117294.1177,2001-01-02 08:34:54.118 +0000,,,,-0.265405,0.017884,-0.012525
-0.14058,-0.012907,-0.008393,0.14142,117294.0978,2001-01-02 08:34:54.098 +0000,,,,-0.14058,-0.012907,-0.008393
-0.122239,-0.065081,-0.003854,0.138538,117294.0778,2001-01-02 08:34:54.078 +0000,,,,-0.262819,-0.077988,-0.012247
-0.071099,-0.059719,-0.004592,0.092965,117294.0578,2001-01-02 08:34:54.058 +0000,,,,-0.071099,-0.059719,-0.004592
-0.06541,0.091548,-0.007101,0.112739,117294.0378,2001-01-02 08:34:54.038 +0000,,,,-0.136509,0.031829,-0.011693
-0.151717,0.084032,-0.005526,0.173522,117294.0179,2001-01-02 08:34:54.018 +0000,,,,-0.151717,0.084032,-0.005526
-0.155275,-0.052349,-0.014796,0.164529,117293.9979,2001-01-02 08:34:53.998 +0000,,,,-0.306992,0.031683,-0.020322
-0.123977,-0.138604,-0.011145,0.186294,117293.9779,2001-01-02 08:34:53.978 +0000,,,,-0.123977,-0.138604,-0.011145
-0.101886,-0.039593,-0.041183,0.11681,117293.9579,2001-01-02 08:34:53.958 +0000,,,,-0.225863,-0.178197,-0.052328
-0.069086,0.0913,-0.105428,0.155639,117293.9379,2001-01-02 08:34:53.938 +0000,,,,-0.069086,0.0913,-0.105428
-0.077495,0.12314,-0.150449,0.209294,117293.9179,2001-01-02 08:34:53.918 +0000,,,,-0.146581,0.21444,-0.255877
-0.094179,0.070878,-0.170721,0.207459,117293.898,2001-01-02 08:34:53.898 +0000,,,,-0.094179,0.070878,-0.170721
-0.098183,-0.013222,-0.147013,0.177278,117293.878,2001-01-02 08:34:53.878 +0000,,,,-0.192362,0.057656,-0.317734
-0.15914,-0.015308,-0.111089,0.194681,117293.858,2001-01-02 08:34:53.858 +0000,,,,-0.15914,-0.015308,-0.111089
-0.253778,0.11468,-0.073615,0.288052,117293.838,2001-01-02 08:34:53.838 +0000,,,,-0.412918,0.099372,-0.184704
-0.22879,0.240398,-0.074856,0.340205,117293.8181,2001-01-02 08:34:53.818 +0000,,,,-0.22879,0.240398,-0.074856
-0.138951,0.182925,-0.080505,0.243413,117293.7981,2001-01-02 08:34:53.798 +0000,,,,-0.367741,0.423323,-0.155361
-0.064266,-0.097108,-0.048253,0.126049,117293.7781,2001-01-02 08:34:53.778 +0000,,,,-0.064266,-0.097108,-0.048253
-0.159761,-0.109052,-0.110838,0.222937,117293.7581,2001-01-02 08:34:53.758 +0000,,,,-0.224027,-0.20616,-0.159091
-0.092996,-0.045054,-0.09774,0.142236,117293.7381,2001-01-02 08:34:53.738 +0000,,,,-0.092996,-0.045054,-0.09774
-0.003898,0.041308,-0.094168,0.102903,117293.7181,2001-01-02 08:34:53.718 +0000,,,,-0.096894,-0.003746,-0.191908
0.105317,0.179834,-0.109835,0.235575,117293.6982,2001-01-02 08:34:53.698 +0000,,,,0.105317,0.179834,-0.109835
0.288166,0.019185,-0.080383,0.299782,117293.6782,2001-01-02 08:34:53.678 +0000,,,,0.393483,0.199019,-0.190218
0.008897,-0.010779,-0.053336,0.055137,117293.6582,2001-01-02 08:34:53.658 +0000,,,,0.008897,-0.010779,-0.053336
0.073679,0.06485,-0.074475,0.123209,117293.6383,2001-01-02 08:34:53.638 +0000,,,,0.082576,0.054071,-0.127811
0.055068,0.052902,-0.161117,0.178297,117293.6183,2001-01-02 08:34:53.618 +0000,,,,0.055068,0.052902,-0.161117
0.024688,-0.091931,-0.134216,0.164544,117293.5983,2001-01-02 08:34:53.598 +0000,,,,0.079756,-0.039029,-0.295333
-0.034645,-0.008751,-0.081417,0.088913,117293.5783,2001-01-02 08:34:53.578 +0000,,,,-0.034645,-0.008751,-0.081417
