x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.223160,0.148407,-0.880142,0.920041,117292.545258,2001-01-02 08:34:52.545 +0000
0.222122,0.157318,-0.940033,0.978647,117292.525665,2001-01-02 08:34:52.526 +0000
0.264297,0.170227,-0.991623,1.040263,117292.506073,2001-01-02 08:34:52.506 +0000
0.302307,0.179276,-0.989746,1.050298,117292.486481,2001-01-02 08:34:52.486 +0000
0.275848,0.190628,-0.955383,1.012516,117292.466889,2001-01-02 08:34:52.467 +0000
0.249527,0.201279,-1.005188,1.055073,117292.447296,2001-01-02 08:34:52.447 +0000
0.251099,0.182266,-0.733566,0.796487,117292.427704,2001-01-02 08:34:52.428 +0000
0.255051,0.191376,-0.991089,1.041121,117292.408112,2001-01-02 08:34:52.408 +0000
0.258530,0.187851,-1.006485,1.056001,117292.388519,2001-01-02 08:34:52.389 +0000
0.258331,0.188263,-0.973068,1.024226,117292.368927,2001-01-02 08:34:52.369 +0000
0.260620,0.192413,-0.938004,0.992369,117292.349335,2001-01-02 08:34:52.349 +0000
0.263214,0.192978,-0.915009,0.971475,117292.329743,2001-01-02 08:34:52.330 +0000
0.274277,0.195480,-0.932770,0.991716,117292.310150,2001-01-02 08:34:52.310 +0000
0.274857,0.211044,-0.968735,1.028850,117292.290558,2001-01-02 08:34:52.291 +0000
0.282822,0.222229,-0.950089,1.015895,117292.270966,2001-01-02 08:34:52.271 +0000
0.278717,0.213287,-0.919952,0.984625,117292.251373,2001-01-02 08:34:52.251 +0000
0.274689,0.194443,-0.940887,0.999265,117292.231781,2001-01-02 08:34:52.232 +0000
0.272278,0.201553,-0.956253,1.014485,117292.212189,2001-01-02 08:34:52.212 +0000
0.271729,0.219391,-0.983734,1.043888,117292.192597,2001-01-02 08:34:52.193 +0000
0.267288,0.232834,-0.950455,1.014406,117292.173004,2001-01-02 08:34:52.173 +0000
0.270432,0.222305,-0.919861,0.984224,117292.153412,2001-01-02 08:34:52.153 +0000
0.291473,0.204605,-0.957260,1.021355,117292.133820,2001-01-02 08:34:52.134 +0000
0.282990,0.202774,-0.975464,1.035727,117292.114227,2001-01-02 08:34:52.114 +0000
0.268036,0.195892,-0.987167,1.041497,117292.094635,2001-01-02 08:34:52.095 +0000
0.245895,0.183655,-0.971481,1.018808,117292.075043,2001-01-02 08:34:52.075 +0000
0.252640,0.165054,-0.939346,0.986631,117292.055451,2001-01-02 08:34:52.055 +0000
0.263565,0.159409,-0.956390,1.004769,117292.035858,2001-01-02 08:34:52.036 +0000
0.249084,0.161987,-0.989044,1.032711,117292.016297,2001-01-02 08:34:52.016 +0000
0.239182,0.153442,-0.996689,1.036408,117291.996704,2001-01-02 08:34:51.997 +0000
0.235046,0.110672,-0.984802,1.018494,117291.977112,2001-01-02 08:34:51.977 +0000
0.227982,0.066772,-0.977814,1.006257,117291.957520,2001-01-02 08:34:51.958 +0000
0.199265,0.032394,-0.975296,0.995971,117291.937927,2001-01-02 08:34:51.938 +0000
0.173752,-0.022888,-0.981964,0.997480,117291.918335,2001-01-02 08:34:51.918 +0000
0.205719,-0.085327,-0.947784,0.973600,117291.898743,2001-01-02 08:34:51.899 +0000
0.227524,-0.128677,-0.965912,1.000655,117291.879151,2001-01-02 08:34:51.879 +0000
0.222183,-0.150818,-0.979767,1.015901,117291.859558,2001-01-02 08:34:51.860 +0000
0.222122,-0.164841,-0.936966,0.976942,117291.839966,2001-01-02 08:34:51.840 +0000
0.238617,-0.202362,-0.951736,1.001844,117291.820374,2001-01-02 08:34:51.820 +0000
0.251343,-0.240906,-0.967255,1.028003,117291.800781,2001-01-02 08:34:51.801 +0000
0.226059,-0.279953,-0.965820,1.030672,117291.781189,2001-01-02 08:34:51.781 +0000
0.233643,-0.316010,-0.932846,1.012251,117291.761597,2001-01-02 08:34:51.762 +0000
0.259598,-0.334381,-0.901871,0.996279,117291.742035,2001-01-02 08:34:51.742 +0000
0.266586,-0.350281,-0.893692,0.996218,117291.722443,2001-01-02 08:34:51.722 +0000
0.249557,-0.368332,-0.907837,1.010997,117291.702850,2001-01-02 08:34:51.703 +0000
0.258148,-0.390884,-0.908630,1.022272,117291.683278,2001-01-02 08:34:51.683 +0000
0.265854,-0.399887,-0.896240,1.016777,117291.663686,2001-01-02 08:34:51.664 +0000
0.270874,-0.418198,-0.858398,0.992527,117291.644094,2001-01-02 08:34:51.644 +0000
0.278305,-0.419525,-0.850998,0.988763,117291.624501,2001-01-02 08:34:51.625 +0000
0.269775,-0.407700,-0.854584,0.984536,117291.604909,2001-01-02 08:34:51.605 +0000
0.265640,-0.409927,-0.869492,0.997307,117291.585317,2001-01-02 08:34:51.585 +0000
0.263214,-0.425018,-0.868271,1.001906,117291.565724,2001-01-02 08:34:51.566 +0000
0.268555,-0.435516,-0.865509,1.005436,117291.546132,2001-01-02 08:34:51.546 +0000
0.278656,-0.433762,-0.876007,1.016458,117291.526540,2001-01-02 08:34:51.527 +0000
0.263123,-0.425842,-0.865814,1.000105,117291.506948,2001-01-02 08:34:51.507 +0000
0.268982,-0.410828,-0.869186,0.998306,117291.487386,2001-01-02 08:34:51.487 +0000
0.255875,-0.424179,-0.872620,1.003426,117291.467794,2001-01-02 08:34:51.468 +0000
0.270523,-0.419037,-0.899292,1.028349,117291.448201,2001-01-02 08:34:51.448 +0000
0.257111,-0.419769,-0.895233,1.021643,117291.428609,2001-01-02 08:34:51.429 +0000
0.258453,-0.415375,-0.901733,1.025893,117291.409017,2001-01-02 08:34:51.409 +0000
0.258453,-0.403259,-0.887955,1.008900,117291.389424,2001-01-02 08:34:51.389 +0000
0.268616,-0.403381,-0.878372,1.003199,117291.369832,2001-01-02 08:34:51.370 +0000
0.273804,-0.402664,-0.875244,1.001578,117291.350240,2001-01-02 08:34:51.350 +0000
0.266205,-0.406723,-0.898346,1.021427,117291.330648,2001-01-02 08:34:51.331 +0000
0.252365,-0.418533,-0.891068,1.016297,117291.311086,2001-01-02 08:34:51.311 +0000
0.267563,-0.408493,-0.888443,1.013799,117291.291494,2001-01-02 08:34:51.291 +0000
0.282486,-0.394363,-0.876022,1.001367,117291.271901,2001-01-02 08:34:51.272 +0000
0.251846,-0.358932,-0.901154,1.002166,117291.252309,2001-01-02 08:34:51.252 +0000
0.254379,-0.381989,-0.896942,1.007536,117291.232717,2001-01-02 08:34:51.233 +0000
0.252670,-0.377701,-0.890808,1.000020,117291.213124,2001-01-02 08:34:51.213 +0000
0.250610,-0.360275,-0.893646,0.995594,117291.193563,2001-01-02 08:34:51.194 +0000
0.264832,-0.360107,-0.920547,1.023338,117291.173970,2001-01-02 08:34:51.174 +0000
0.261795,-0.331024,-0.912048,1.004961,117291.154378,2001-01-02 08:34:51.154 +0000
0.246841,-0.320068,-0.891800,0.979123,117291.134786,2001-01-02 08:34:51.135 +0000
0.228104,-0.304565,-0.902267,0.979223,117291.115193,2001-01-02 08:34:51.115 +0000
0.224518,-0.285004,-0.922699,0.991468,117291.095601,2001-01-02 08:34:51.096 +0000
0.236023,-0.243576,-0.953186,1.011731,117291.076009,2001-01-02 08:34:51.076 +0000
0.232025,-0.219971,-0.968307,1.019727,117291.056417,2001-01-02 08:34:51.056 +0000
0.248169,-0.187683,-0.971863,1.020456,117291.036824,2001-01-02 08:34:51.037 +0000
0.224091,-0.178696,-0.965057,1.006720,117291.017232,2001-01-02 08:34:51.017 +0000
0.226501,-0.189911,-0.983704,1.027152,117290.997640,2001-01-02 08:34:50.998 +0000
0.241455,-0.175278,-0.957275,1.002696,117290.978047,2001-01-02 08:34:50.978 +0000
0.271286,-0.151917,-0.962616,1.011585,117290.958486,2001-01-02 08:34:50.958 +0000
0.241135,-0.122971,-0.989395,1.025754,117290.938893,2001-01-02 08:34:50.939 +0000
0.201904,-0.055161,-1.000534,1.022192,117290.919301,2001-01-02 08:34:50.919 +0000
0.237244,-0.027771,-0.987000,1.015492,117290.899709,2001-01-02 08:34:50.900 +0000
0.298264,0.000427,-0.963120,1.008246,117290.880117,2001-01-02 08:34:50.880 +0000
0.289825,0.025955,-0.968658,1.011421,117290.860524,2001-01-02 08:34:50.861 +0000
0.246719,0.061996,-1.001816,1.033610,117290.840932,2001-01-02 08:34:50.841 +0000
0.222122,0.086411,-0.945267,0.974851,117290.821340,2001-01-02 08:34:50.821 +0000
0.231400,0.101425,-0.950989,0.983978,117290.801747,2001-01-02 08:34:50.802 +0000
0.277634,0.113327,-0.992310,1.036630,117290.782155,2001-01-02 08:34:50.782 +0000
0.309921,0.130188,-1.010559,1.065002,117290.762593,2001-01-02 08:34:50.763 +0000
0.285812,0.164307,-1.003815,1.056565,117290.743001,2001-01-02 08:34:50.743 +0000
0.287933,0.189667,-0.971756,1.031110,117290.723409,2001-01-02 08:34:50.723 +0000
0.294968,0.208710,-0.952499,1.018735,117290.703817,2001-01-02 08:34:50.704 +0000
0.293976,0.231430,-0.930145,1.002573,117290.684248,2001-01-02 08:34:50.684 +0000
0.306870,0.225998,-0.941574,1.015778,117290.664656,2001-01-02 08:34:50.665 +0000
0.309280,0.213531,-0.931473,1.004436,117290.645064,2001-01-02 08:34:50.645 +0000
0.308975,0.218781,-0.893845,0.970716,117290.625502,2001-01-02 08:34:50.626 +0000
0.327713,0.218750,-0.898224,0.980843,117290.605910,2001-01-02 08:34:50.606 +0000
0.327194,0.225388,-0.975632,1.053429,117290.586317,2001-01-02 08:34:50.586 +0000
0.301254,0.230591,-0.981491,1.052260,117290.566725,2001-01-02 08:34:50.567 +0000
0.275589,0.215775,-0.966888,1.028290,117290.547133,2001-01-02 08:34:50.547 +0000
0.255463,0.187378,-0.956085,1.007209,117290.527540,2001-01-02 08:34:50.528 +0000
0.279968,0.177673,-0.930298,0.987626,117290.507948,2001-01-02 08:34:50.508 +0000
0.296204,0.158981,-0.955551,1.012961,117290.488386,2001-01-02 08:34:50.488 +0000
0.279709,0.115356,-0.944229,0.991520,117290.468794,2001-01-02 08:34:50.469 +0000
