,,,,,,,,,,,Axis_X,Axis_Y,Axis_Z,,Total_Accel_Data,,Action pattern,Placement of Iphone,Height,Weight,Age,ground condition,Frequncy,Number of step (exactly),number of steps(by program),Accuracy,,Action pattern,Placement of Iphone,Height,Weight,Age,ground condition,Frequncy,Number of step (exactly),number of steps(by program),Accuracy
x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,,,-0.813599,0.974823,0.003281,,1.273723,,Walking ,in pocket of pants,173cm,60 Kilo,28,Flat,25Hz ,150,250,0.6,,Walking ,in pocket of pants,173cm,60 Kilo,28,Flat,25Hz ,150,250,0.6
-0.361786,-0.81723,-0.458527,1.00449,6414.483675,2001-01-01 01:46:54.484 +0000,,,,,,-0.795059,1.000732,-0.049728,,1.269738,,Walking,in pocket of pants,173cm,60 Kilo,28,Flat,50Hz ,235,250,0.94,,Walking,in pocket of pants,173cm,60 Kilo,28,Flat,50Hz ,235,250,0.94
-0.370102,-0.802505,-0.521866,1.026321,6414.473879,2001-01-01 01:46:54.474 +0000,,,,,,-0.767212,1.018127,-0.126877,,1.279085,,walking ,in hand(Natural Vertical),173cm,60 Kilo,28,Flat,50Hz ,243,258,0.94,,walking ,in hand(Natural Vertical),173cm,60 Kilo,28,Flat,50Hz ,243,258,0.94
-0.355118,-0.829727,-0.605667,1.086917,6414.464052,2001-01-01 01:46:54.464 +0000,,,,,,-0.731461,1.047272,-0.248978,,1.28113,,Walking,Put the Phone Beside Ear (to answer the phone call),173cm,60 Kilo,28,Flat,50Hz ,192,250,0.77,,Walking,Put the Phone Beside Ear (to answer the phone call),173cm,60 Kilo,28,Flat,50Hz ,192,250,0.77
-0.330109,-0.857407,-0.59201,1.092975,6414.454256,2001-01-01 01:46:54.454 +0000,,,,,,-0.686798,1.076675,-0.416489,,1.301462,,Running,In pocket of Pants,173cm,60 Kilo,28,Flat,50Hz ,258,250,0.97,,Running,In pocket of Pants,173cm,60 Kilo,28,Flat,50Hz ,258,250,0.97
-0.307404,-0.862854,-0.585587,1.087164,6414.44446,2001-01-01 01:46:54.444 +0000,,,,,,-0.649323,1.072433,-0.587158,,1.343274,,,,,,,,,,,,,,,,,,,,,,
-0.283524,-0.839096,-0.585968,1.061992,6414.434664,2001-01-01 01:46:54.435 +0000,,,,,,-0.631424,1.067932,-0.730423,,1.384373,,,,,,,,,,,,,,,,,,,,,,
-0.292084,-0.812332,-0.541092,1.018812,6414.424837,2001-01-01 01:46:54.425 +0000,,,,,,-0.625687,1.062576,-0.856888,,1.439685,,,,,,,,,,,,,,,,,,,,,,
-0.303818,-0.815903,-0.507675,1.007838,6414.415041,2001-01-01 01:46:54.415 +0000,,,,,,-0.64003,1.083206,-0.920624,,1.501602,,,,,,,,,,,,,,,,,,,,,,
-0.311203,-0.817596,-0.403549,0.963412,6414.405245,2001-01-01 01:46:54.405 +0000,,,,,,-0.660965,1.143448,-0.914459,,1.559013,,,,,,,,,,,,,,,,,,,,,,
-0.285568,-0.799789,-0.419189,0.947065,6414.395418,2001-01-01 01:46:54.395 +0000,,,,,,-0.696548,1.235291,-0.841171,,1.606419,,,,,,,,,,,,,,,,,,,,,,
-0.276917,-0.808212,-0.533966,1.007477,6414.385622,2001-01-01 01:46:54.386 +0000,,,,,,-0.713028,1.299561,-0.73793,,1.648846,,,,,,,,,,,,,,,,,,,,,,
-0.28508,-0.795853,-0.523178,0.994167,6414.375826,2001-01-01 01:46:54.376 +0000,,,,,,-0.697403,1.362488,-0.585037,,1.65584,,,,,,,,,,,,,,,,,,,,,,
-0.290405,-0.796143,-0.515869,0.992119,6414.365999,2001-01-01 01:46:54.366 +0000,,,,,,-0.668472,1.462708,-0.401047,,1.638601,,,,,,,,,,,,,,,,,,,,,,
-0.292053,-0.80603,-0.505035,0.995008,6414.356203,2001-01-01 01:46:54.356 +0000,,,,,,-0.595673,1.568527,-0.272736,,1.65747,,,,,,,,,,,,,,,,,,,,,,
