x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date
-0.016890,-0.018154,-0.012887,0.027945,29969.043267,2001-01-01 08:19:29.043 +0000
-0.017894,-0.029876,-0.013930,0.037507,29969.033287,2001-01-01 08:19:29.033 +0000
-0.022139,-0.036265,-0.011804,0.044098,29969.023308,2001-01-01 08:19:29.023 +0000
-0.020096,-0.020279,-0.009697,0.030152,29969.013329,2001-01-01 08:19:29.013 +0000
-0.023314,-0.016021,-0.009730,0.029915,29969.003319,2001-01-01 08:19:29.003 +0000
-0.026515,-0.013895,-0.010826,0.031833,29968.993340,2001-01-01 08:19:28.993 +0000
-0.031851,-0.013896,-0.009794,0.036104,29968.983361,2001-01-01 08:19:28.983 +0000
-0.026514,-0.012832,-0.011898,0.031768,29968.973381,2001-01-01 08:19:28.973 +0000
-0.021160,-0.018155,-0.011847,0.030293,29968.963372,2001-01-01 08:19:28.963 +0000
-0.023289,-0.016031,-0.014004,0.031551,29968.953392,2001-01-01 08:19:28.953 +0000
-0.023273,-0.019227,-0.013995,0.033275,29968.943413,2001-01-01 08:19:28.943 +0000
-0.027546,-0.021353,-0.010813,0.036491,29968.933434,2001-01-01 08:19:28.933 +0000
-0.033948,-0.022417,-0.008716,0.041605,29968.923424,2001-01-01 08:19:28.923 +0000
-0.055414,-0.009613,0.006063,0.056568,29968.913445,2001-01-01 08:19:28.913 +0000
-0.057464,-0.010712,-0.006770,0.058845,29968.903466,2001-01-01 08:19:28.903 +0000
-0.045812,-0.011736,0.006134,0.047688,29968.893486,2001-01-01 08:19:28.893 +0000
-0.036247,-0.012781,0.011544,0.040130,29968.883507,2001-01-01 08:19:28.884 +0000
-0.032994,-0.014928,0.004092,0.036445,29968.873497,2001-01-01 08:19:28.873 +0000
-0.040491,-0.012792,0.008310,0.043269,29968.863518,2001-01-01 08:19:28.864 +0000
-0.050039,-0.013881,0.001837,0.051961,29968.853568,2001-01-01 08:19:28.854 +0000
-0.063854,-0.011782,-0.006810,0.065288,29968.843589,2001-01-01 08:19:28.844 +0000
-0.074440,-0.010757,-0.019706,0.077752,29968.833579,2001-01-01 08:19:28.834 +0000
-0.076190,-0.022612,-0.074180,0.108715,29968.823600,2001-01-01 08:19:28.824 +0000
