x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,Calculation,,Roll_x_angular_velocity
-0.30946,-0.110024,-0.029571,0.329765,91166.87616,2001-01-02 01:19:26.876 +0000,,,,,,-0.30946
-0.420623,-0.023858,-0.045514,0.42375,91166.85617,2001-01-02 01:19:26.856 +0000,,,,,,-0.420623
-0.54487,0.128337,-0.064931,0.563533,91166.83621,2001-01-02 01:19:26.836 +0000,,,,,,-0.54487
-0.567084,0.114429,-0.082139,0.584316,91166.81622,2001-01-02 01:19:26.816 +0000,,,,,,-0.567084
-0.578072,-0.130412,-0.009958,0.592684,91166.79626,2001-01-02 01:19:26.796 +0000,,,,,,-0.578072
-0.49341,-0.260247,0.016611,0.558084,91166.77627,2001-01-02 01:19:26.776 +0000,,,,,,-0.49341
-0.512292,-0.083459,0.003181,0.519056,91166.75631,2001-01-02 01:19:26.756 +0000,,,,,,-0.512292
-0.484481,-0.095175,-0.004079,0.493758,91166.73633,2001-01-02 01:19:26.736 +0000,,,,,,-0.484481
-0.43349,-0.07593,0.009035,0.440183,91166.71637,2001-01-02 01:19:26.716 +0000,,,,,,-0.43349
-0.427378,-0.031154,0.020708,0.429013,91166.69638,2001-01-02 01:19:26.696 +0000,,,,,,-0.427378
-0.390452,0.050894,0.018597,0.394194,91166.67642,2001-01-02 01:19:26.676 +0000,,,,,,-0.390452
-0.358603,0.094559,0.004802,0.370891,91166.65643,2001-01-02 01:19:26.656 +0000,,,,,,-0.358603
-0.287638,-0.0109,-0.014734,0.288221,91166.63647,2001-01-02 01:19:26.636 +0000,,,,,,-0.287638
-0.203029,-0.075861,-0.031082,0.218956,91166.61648,2001-01-02 01:19:26.616 +0000,,,,,,-0.203029
-0.175466,-0.020494,-0.05028,0.183675,91166.59652,2001-01-02 01:19:26.597 +0000,,,,,,-0.175466
-0.191576,0.024197,-0.065469,0.203895,91166.57654,2001-01-02 01:19:26.577 +0000,,,,,,-0.191576
-0.18272,0.007056,-0.107035,0.211879,91166.55658,2001-01-02 01:19:26.557 +0000,,,,,,-0.18272
-0.127802,-0.054801,-0.151374,0.205549,91166.53659,2001-01-02 01:19:26.537 +0000,,,,,,-0.127802
-0.006687,-0.13473,-0.200559,0.241704,91166.51663,2001-01-02 01:19:26.517 +0000,,,,,,-0.006687
0.060133,-0.093081,-0.178851,0.210399,91166.49664,2001-01-02 01:19:26.497 +0000,,,,,,0.060133
0.065184,-0.095088,-0.130728,0.174301,91166.47668,2001-01-02 01:19:26.477 +0000,,,,,,0.065184
0.072372,-0.134306,-0.053641,0.161719,91166.45669,2001-01-02 01:19:26.457 +0000,,,,,,0.072372
0.131555,-0.059631,-0.028868,0.147296,91166.4367,2001-01-02 01:19:26.437 +0000,,,,,,0.131555
0.15701,-0.061687,-0.006252,0.168809,91166.41675,2001-01-02 01:19:26.417 +0000,,,,,,0.15701
0.181903,0.038555,0.028904,0.188177,91166.39676,2001-01-02 01:19:26.397 +0000,,,,,,0.181903
0.200879,0.081183,0.029985,0.218728,91166.3768,2001-01-02 01:19:26.377 +0000,,,,,,0.200879
0.278898,0.054572,0.015624,0.284616,91166.35681,2001-01-02 01:19:26.357 +0000,,,,,,0.278898
0.273148,0.163185,-0.000737,0.318183,91166.33685,2001-01-02 01:19:26.337 +0000,,,,,,0.273148
0.20004,0.053445,0.014027,0.207531,91166.31686,2001-01-02 01:19:26.317 +0000,,,,,,0.20004
0.181199,-0.029638,0.022674,0.185002,91166.2969,2001-01-02 01:19:26.297 +0000,,,,,,0.181199
0.172583,0.016108,0.001121,0.173337,91166.27691,2001-01-02 01:19:26.277 +0000,,,,,,0.172583
0.172613,0.050117,-0.031027,0.1824,91166.25696,2001-01-02 01:19:26.257 +0000,,,,,,0.172613
0.18155,-0.040416,-0.027515,0.188019,91166.23697,2001-01-02 01:19:26.237 +0000,,,,,,0.18155
