x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date
-0.011580,-0.012827,-0.013934,0.022198,37358.991775,2001-01-01 10:22:38.992 +0000
-0.010521,-0.012823,-0.012858,0.020987,37358.981796,2001-01-01 10:22:38.982 +0000
-0.009432,-0.014958,-0.014982,0.023177,37358.971786,2001-01-01 10:22:38.972 +0000
-0.008369,-0.017083,-0.012832,0.022946,37358.961807,2001-01-01 10:22:38.962 +0000
-0.011583,-0.014952,-0.011791,0.022288,37358.951828,2001-01-01 10:22:38.952 +0000
-0.014795,-0.011758,-0.011822,0.022291,37358.941818,2001-01-01 10:22:38.942 +0000
-0.016931,-0.009632,-0.012910,0.023369,37358.931839,2001-01-01 10:22:38.932 +0000
-0.014804,-0.008565,-0.012899,0.021422,37358.921859,2001-01-01 10:22:38.922 +0000
-0.016946,-0.006436,-0.012919,0.022259,37358.911850,2001-01-01 10:22:38.912 +0000
-0.012652,-0.012825,-0.012873,0.022142,37358.901870,2001-01-01 10:22:38.902 +0000
-0.012657,-0.011759,-0.012876,0.021547,37358.891891,2001-01-01 10:22:38.892 +0000
-0.012657,-0.011759,-0.012876,0.021547,37358.881912,2001-01-01 10:22:38.882 +0000
-0.011591,-0.011759,-0.012868,0.020934,37358.871902,2001-01-01 10:22:38.872 +0000
-0.013712,-0.012828,-0.013948,0.023391,37358.861923,2001-01-01 10:22:38.862 +0000
-0.012652,-0.012825,-0.012873,0.022142,37358.851944,2001-01-01 10:22:38.852 +0000
-0.012659,-0.012822,-0.011804,0.021540,37358.841934,2001-01-01 10:22:38.842 +0000
-0.012652,-0.012825,-0.012873,0.022142,37358.831955,2001-01-01 10:22:38.832 +0000
-0.013713,-0.013891,-0.012877,0.023384,37358.821975,2001-01-01 10:22:38.822 +0000
-0.012646,-0.012827,-0.013941,0.022777,37358.811992,2001-01-01 10:22:38.812 +0000
-0.012646,-0.012827,-0.013941,0.022777,37358.802012,2001-01-01 10:22:38.802 +0000
-0.012646,-0.012827,-0.013941,0.022777,37358.792033,2001-01-01 10:22:38.792 +0000
