x_rad_per_sec,y_rad_per_sec,z_rad_per_sec,rms_rad_per_sec,TimeInterval,Date,,,,,Angle Offest
-0.034765,-0.073554,-0.009651,0.081926,52096.03285,2001-01-01 14:28:16.033 +0000,,,,,-0.062577
-0.034574,-0.125728,0.000108,0.130395,52096.02287,2001-01-01 14:28:16.023 +0000,,,,,-0.1248102
-0.031368,-0.118287,-0.00737,0.122597,52096.01289,2001-01-01 14:28:16.013 +0000,,,,,-0.1812726
0.000527,-0.079956,-0.024355,0.083585,52096.00291,2001-01-01 14:28:16.003 +0000,,,,,-0.180324
0.031185,-0.008597,-0.039301,0.050902,52095.9929,2001-01-01 14:28:15.993 +0000,,,,,-0.124191
0.033147,0.039317,-0.049035,0.071056,52095.98292,2001-01-01 14:28:15.983 +0000,,,,,-0.0645264
0.016117,0.0478,-0.059858,0.078279,52095.97294,2001-01-01 14:28:15.973 +0000,,,,,-0.0355158
0.017138,0.047819,-0.052371,0.07296,52095.96296,2001-01-01 14:28:15.963 +0000,,,,,-0.0046674
0.056634,-0.000019,-0.024193,0.061585,52095.95295,2001-01-01 14:28:15.953 +0000,,,,,0.0972738
0.083602,-0.063923,-0.027043,0.108659,52095.94297,2001-01-01 14:28:15.943 +0000,,,,,0.2477574
0.061279,-0.068217,-0.033593,0.097658,52095.93299,2001-01-01 14:28:15.933 +0000,,,,,0.3580596
0.02936,-0.09059,-0.0252,0.098507,52095.92301,2001-01-01 14:28:15.923 +0000,,,,,0.4109076
-0.001419,-0.145951,-0.002818,0.145985,52095.91301,2001-01-01 14:28:15.913 +0000,,,,,0.4083534
-0.024789,-0.170453,0.003502,0.172282,52095.90303,2001-01-01 14:28:15.903 +0000,,,,,0.3637332
-0.019635,-0.116156,-0.010502,0.118271,52095.89305,2001-01-01 14:28:15.893 +0000,,,,,0.3283902
0.00975,-0.017069,-0.01271,0.023408,52095.88307,2001-01-01 14:28:15.883 +0000,,,,,0.3459402
-0.001875,-0.024561,-0.023453,0.034012,52095.87306,2001-01-01 14:28:15.873 +0000,,,,,0.3425652
-0.016637,-0.066102,-0.017029,0.070258,52095.86308,2001-01-01 14:28:15.863 +0000,,,,,0.3126186
-0.003862,-0.072465,-0.009446,0.07318,52095.8531,2001-01-01 14:28:15.853 +0000,,,,,0.305667
0.035467,-0.059634,-0.001736,0.069406,52095.84312,2001-01-01 14:28:15.843 +0000,,,,,0.3695076
0.066311,-0.0447,-0.002637,0.080014,52095.83311,2001-01-01 14:28:15.833 +0000,,,,,0.4888674
0.059871,-0.029801,-0.006995,0.067243,52095.82313,2001-01-01 14:28:15.823 +0000,,,,,0.5966352
0.035378,-0.023449,-0.015725,0.045264,52095.81315,2001-01-01 14:28:15.813 +0000,,,,,0.6603156
0.013098,-0.03414,-0.024395,0.043957,52095.80317,2001-01-01 14:28:15.803 +0000,,,,,0.683892
-0.015544,-0.065049,-0.022367,0.070521,52095.79316,2001-01-01 14:28:15.793 +0000,,,,,0.6559128
-0.034502,-0.134263,-0.00521,0.138723,52095.78318,2001-01-01 14:28:15.783 +0000,,,,,0.5938092
-0.041825,-0.167284,-0.001965,0.172444,52095.7732,2001-01-01 14:28:15.773 +0000,,,,,0.5185242
