Pitch_Axis,Roll_Aixs,Yaw_Axis,rms_rad_per_sec,TimeInterval,Date,,,,,,Pitch Angle Offset
-0.009315,-0.265293,-0.013232,0.265787,52856.11893,2001-01-01 14:40:56.119 +0000,,,,,,-0.016767
0.030028,-0.421954,-0.051008,0.426086,52856.10895,2001-01-01 14:40:56.109 +0000,,,,,,0.0372834
0.008357,-0.358033,-0.042779,0.360677,52856.09897,2001-01-01 14:40:56.099 +0000,,,,,,0.052326
-0.030908,-0.185457,-0.030691,0.190504,52856.08896,2001-01-01 14:40:56.089 +0000,,,,,,-0.0033084
-0.068926,-0.021461,-0.042079,0.083559,52856.07898,2001-01-01 14:40:56.079 +0000,,,,,,-0.1273752
-0.093907,0.075462,-0.041442,0.127399,52856.069,2001-01-01 14:40:56.069 +0000,,,,,,-0.2964078
-0.117564,0.122311,-0.043866,0.17523,52856.05899,2001-01-01 14:40:56.059 +0000,,,,,,-0.508023
-0.13898,0.144663,-0.04514,0.205622,52856.04901,2001-01-01 14:40:56.049 +0000,,,,,,-0.758187
-0.150807,0.174466,-0.051712,0.236337,52856.03903,2001-01-01 14:40:56.039 +0000,,,,,,-1.0296396
-0.154906,0.162699,-0.069872,0.235264,52856.02905,2001-01-01 14:40:56.029 +0000,,,,,,-1.3084704
-0.125691,0.047717,-0.051198,0.143863,52856.01904,2001-01-01 14:40:56.019 +0000,,,,,,-1.5347142
-0.085914,-0.066154,-0.017496,0.109834,52856.00906,2001-01-01 14:40:56.009 +0000,,,,,,-1.6893594
-0.053627,-0.158754,0.004344,0.167624,52855.99908,2001-01-01 14:40:55.999 +0000,,,,,,-1.785888
-0.006548,-0.185375,-0.004883,0.185555,52855.98911,2001-01-01 14:40:55.989 +0000,,,,,,-1.7976744
0.012486,-0.141709,-0.01449,0.142994,52855.9791,2001-01-01 14:40:55.979 +0000,,,,,,-1.7751996
0.011177,-0.101208,-0.006061,0.102004,52855.96912,2001-01-01 14:40:55.969 +0000,,,,,,-1.755081
0.013258,-0.090554,-0.006075,0.091721,52855.95914,2001-01-01 14:40:55.959 +0000,,,,,,-1.7312166
0.046457,-0.106543,-0.019699,0.117888,52855.94913,2001-01-01 14:40:55.949 +0000,,,,,,-1.647594
0.074149,-0.110767,-0.013089,0.133936,52855.93915,2001-01-01 14:40:55.939 +0000,,,,,,-1.5141258
0.069662,-0.075592,-0.003598,0.102859,52855.92917,2001-01-01 14:40:55.929 +0000,,,,,,-1.3887342
0.054316,0.00431,0.00356,0.054603,52855.91919,2001-01-01 14:40:55.919 +0000,,,,,,-1.2909654
0.033568,0.096997,0.012785,0.103434,52855.90918,2001-01-01 14:40:55.909 +0000,,,,,,-1.230543
0.009834,0.138562,0.027471,0.1416,52855.8992,2001-01-01 14:40:55.899 +0000,,,,,,-1.2128418
-0.001695,0.089567,0.033937,0.095796,52855.88922,2001-01-01 14:40:55.889 +0000,,,,,,-1.2158928
0.00841,-0.001008,0.020361,0.022053,52855.87921,2001-01-01 14:40:55.879 +0000,,,,,,-1.2007548
0.032362,-0.077748,-0.002776,0.084261,52855.86923,2001-01-01 14:40:55.869 +0000,,,,,,-1.1425032
0.044309,-0.104411,-0.01865,0.114947,52855.85925,2001-01-01 14:40:55.859 +0000,,,,,,-1.062747
0.018695,-0.081026,-0.031709,0.088996,52855.84927,2001-01-01 14:40:55.849 +0000,,,,,,-1.029096
-0.004924,-0.034194,-0.040544,0.053266,52855.83926,2001-01-01 14:40:55.839 +0000,,,,,,-1.0379592
-0.021159,0.012677,-0.036507,0.044058,52855.82929,2001-01-01 14:40:55.829 +0000,,,,,,-1.0760454
-0.024489,0.019108,-0.01945,0.036649,52855.81931,2001-01-01 14:40:55.819 +0000,,,,,,-1.1201256
-0.006235,-0.030903,-0.002095,0.031595,52855.80933,2001-01-01 14:40:55.809 +0000,,,,,,-1.1313486
0.03785,-0.119274,0.003785,0.125193,52855.79932,2001-01-01 14:40:55.799 +0000,,,,,,-1.0632186
0.089399,-0.210829,0.011861,0.229308,52855.78934,2001-01-01 14:40:55.789 +0000,,,,,,-0.9023004
0.127006,-0.284286,0.019794,0.311995,52855.77936,2001-01-01 14:40:55.779 +0000,,,,,,-0.6736896
0.12286,-0.30879,0.019833,0.332925,52855.76935,2001-01-01 14:40:55.769 +0000,,,,,,-0.4525416
0.076874,-0.259854,0.006568,0.271067,52855.75937,2001-01-01 14:40:55.759 +0000,,,,,,-0.3141684
0.026623,-0.207731,-0.008872,0.209618,52855.74939,2001-01-01 14:40:55.749 +0000,,,,,,-0.266247
-0.006389,-0.201389,-0.018729,0.202358,52855.73941,2001-01-01 14:40:55.739 +0000,,,,,,-0.2777472
-0.043622,-0.212077,-0.022157,0.217648,52855.7294,2001-01-01 14:40:55.729 +0000,,,,,,-0.3562668
-0.092728,-0.183376,-0.032183,0.207992,52855.71942,2001-01-01 14:40:55.719 +0000,,,,,,-0.5231772
-0.165437,-0.120606,-0.043529,0.209308,52855.70944,2001-01-01 14:40:55.709 +0000,,,,,,-0.8209638
-0.254227,-0.05143,-0.044316,0.263136,52855.69946,2001-01-01 14:40:55.699 +0000,,,,,,-1.2785724
-0.351571,0.006056,-0.031239,0.353008,52855.68945,2001-01-01 14:40:55.689 +0000,,,,,,-1.9114002
-0.433888,0.045436,-0.021216,0.436776,52855.67947,2001-01-01 14:40:55.679 +0000,,,,,,-2.6923986
-0.514994,0.063493,-0.018607,0.519227,52855.6695,2001-01-01 14:40:55.669 +0000,,,,,,-3.6193878
-0.594948,0.058125,-0.011653,0.597894,52855.65949,2001-01-01 14:40:55.659 +0000,,,,,,-4.6902942
-0.680178,0.054857,-0.015424,0.682561,52855.64951,2001-01-01 14:40:55.650 +0000,,,,,,-5.9146146
-0.762336,0.078224,-0.019248,0.766581,52855.63953,2001-01-01 14:40:55.640 +0000,,,,,,-7.2868194
-0.841222,0.069666,-0.010141,0.844163,52855.62955,2001-01-01 14:40:55.630 +0000,,,,,,-8.801019
-0.913437,-0.003854,0.004531,0.913456,52855.61954,2001-01-01 14:40:55.620 +0000,,,,,,-10.4452056
-0.984596,-0.065674,0.011698,0.986854,52855.60956,2001-01-01 14:40:55.610 +0000,,,,,,-12.2174784
-1.058171,-0.062525,0.014399,1.060114,52855.59958,2001-01-01 14:40:55.600 +0000,,,,,,-14.1221862
-1.131989,0.00664,0.005165,1.13202,52855.5896,2001-01-01 14:40:55.590 +0000,,,,,,-16.1597664
-1.186649,0.069453,0.005694,1.188694,52855.57959,2001-01-01 14:40:55.580 +0000,,,,,,-18.2957346
-1.23059,0.120553,0.005258,1.236492,52855.56961,2001-01-01 14:40:55.570 +0000,,,,,,-20.5107966
-1.243148,0.059847,0.014955,1.244678,52855.55963,2001-01-01 14:40:55.560 +0000,,,,,,-22.748463
-1.236253,-0.071125,0.035659,1.23881,52855.54962,2001-01-01 14:40:55.550 +0000,,,,,,-24.9737184
-1.24131,-0.129716,0.036853,1.248613,52855.53968,2001-01-01 14:40:55.540 +0000,,,,,,-27.2080764
-1.272129,-0.140408,0.030263,1.280212,52855.5297,2001-01-01 14:40:55.530 +0000,,,,,,-29.4979086
